removed_code,removed_name,removed_state,sd_pc1,mean_absolute_risk_shift,max_absolute_risk_shift,max_rank_shift
2607208,Ipojuca,PE,2.2510903734994354,0.0001229362407479045,0.0006243006741855628,2
2602902,Cabo de Santo Agostinho,PE,2.251071746873439,0.00012235898137837788,0.0006213685214882525,2
2606804,Igarassu,PE,2.2510657219654777,0.0001221722611031379,0.0006204200898069501,2
2906303,Canavieiras,BA,2.2510429163545607,0.00012141226789095669,0.0006168300344607802,2
2932507,Una,BA,2.251040083072816,0.00012137766614429322,0.0006163840162678458,2
2307254,Jijoca de Jericoacoara,CE,2.251036155084028,0.0001212559293399401,0.0006157656668725475,2
2702306,Coruripe,AL,2.2510307854286524,0.00012108951157685212,0.0006149203659574498,2
2601409,Barreiros,PE,2.25102634578891,0.0001209519165635848,0.0006142214677153923,2
2403608,Extremoz,RN,2.2510200144228674,0.00012070908032366125,0.0006132247663367396,2
2414209,Tibau do Sul,RN,2.251005164026471,0.00012023040607874981,0.0006108869603169143,2
2707800,Roteiro,AL,2.250998232591859,0.00012008061030450939,0.0006097957802447818,2
2706448,Paripueira,AL,2.2509888247536023,0.00011978903084117547,0.0006083147453546656,2
2303709,Caucaia,CE,2.2509884584745463,0.00011977767861938119,0.0006082570834716194,2
2301109,Aracati,CE,2.2509865545602215,0.00011971866984753167,0.0006079573574595543,2
2513703,Santa Rita,PB,2.250956444729075,0.00011878545200370655,0.0006032172349024201,2
2917300,Ituberá,BA,2.2509419458952107,0.00011825128351226143,0.0006009346854279896,2
2606200,Goiana,PE,2.250933794615637,0.0001180360869276394,0.0005996514217606608,2
2932705,Uruçuca,BA,2.2509179988003334,0.00011754747220395674,0.0005971646535288255,2
2905404,Cairu,BA,2.2509135016391424,0.00011735574235698497,0.0005964566516817871,2
2401107,Areia Branca,RN,2.250896714869149,0.00011693413087689807,0.0005938138420569783,2
2202083,Cajueiro da Praia,PI,2.243370845004418,0.00011695328547354707,0.0005937275087660177,1
2700607,Barra de São Miguel,AL,2.2508857289200197,0.00011659361287054052,0.0005920842647374469,2
2805307,Pirambu,SE,2.2508756625435966,0.0001162815951153994,0.0005904994505983585,2
2411056,Tibau,RN,2.2508511539818143,0.00011552191641244125,0.0005866408702218107,2
2407203,Macau,RN,2.250808075000531,0.00011418658444542913,0.0005798584600364975,1
4304630,Capão da Canoa,RS,2.2434613815322777,0.00011273541377747346,0.0005794091331176032,1
2304251,Cruz,CE,2.2507891572167265,0.00011360016980008011,0.0005768799638371513,1
2614857,Tamandaré,PE,2.250770587153586,0.00011302452522263858,0.0005739561810150229,1
2700508,Barra de Santo Antônio,AL,2.2507685155255706,0.00011296030728038151,0.0005736300093548974,1
2302602,Camocim,CE,2.250766959986543,0.00011291208739772193,0.0005733850940992102,1
3204302,Presidente Kennedy,ES,2.250761429311062,0.00011259356579247728,0.0005725143028902369,1
2906907,Caravelas,BA,2.2507532878188763,0.00011240124147400515,0.0005712324397174617,1
2312403,São Gonçalo do Amarante,CE,2.250751594886816,0.00011243578414305354,0.0005709658898412906,1
3202801,Itapemirim,ES,2.250751400860723,0.00011221457096467629,0.0005709353406764262,1
2404408,Grossos,RN,2.2507424871219612,0.0001121534494738909,0.0005695318798159543,1
3302502,Magé,RJ,2.2507172924627796,0.00011108392035574972,0.000565564960349263,1
2708709,São Miguel dos Milagres,AL,2.250716815159364,0.00011135762463262381,0.0005654898079552884,1
2401404,Baía Formosa,RN,2.2506923628459563,0.00011050508467252436,0.0005616397123486272,1
2404507,Guamaré,RN,2.2506919756589228,0.00011058759042444923,0.0005615787480422463,1
3300936,Carapebus,RJ,2.2506862652509585,0.00011022971288803227,0.0005606796174559836,1
2305357,Icapuí,CE,2.25068547581013,0.00011038609005867522,0.0005605553160403787,1
2607901,Jaboatão dos Guararapes,PE,2.2506835607544975,0.00011032672164617287,0.0005602537806840835,1
3301900,Itaboraí,RJ,2.2506505530916012,0.00010913696382746072,0.000555056499397355,1
4109500,Guaraqueçaba,PR,2.2506458728078718,0.00010896449211385318,0.0005543195484312702,1
4213500,Porto Belo,SC,2.2436391660569526,0.00010737205945909086,0.0005512947480659225,1
2923001,Nova Viçosa,BA,2.2506123844195876,0.00010799904827660066,0.0005490464523552063,1
2703759,Jequiá da Praia,AL,2.25059707293678,0.00010764542861244362,0.0005466354639823146,1
2605459,Fernando de Noronha,PE,2.2505970548075673,0.00010726042059972161,0.0005466326092931073,1
2925303,Porto Seguro,BA,2.250580265915668,0.00010694384730908712,0.0005439889582397606,1
1600303,Macapá,AP,2.2505747338642306,0.00010688458846372248,0.0005431178517550372,1
3304755,São Francisco de Itabapoana,RJ,2.250567843777998,0.00010658746277002698,0.0005420328977418509,1
2100204,Alcântara,MA,2.243709666520272,0.00010630504428593045,0.0005401468252076436,1
2910503,Entre Rios,BA,2.250552331961651,0.00010625829754954419,0.000539590298162973,1
4218004,Tijucas,SC,2.243762897378038,0.0001037096077818139,0.0005317299831643085,1
4202453,Bombinhas,SC,2.243803382632077,0.00010236368033543303,0.0005253286525661038,1
2804904,Pacatuba,SE,2.243829244526389,0.00010274510407176944,0.0005212395783245061,1
4318507,São José do Norte,RS,2.250405974811241,0.00010126933227095155,0.0005165427417165303,1
2913606,Ilhéus,BA,2.2503919032896555,0.0001012840253192894,0.0005143267244923644,1
2111300,São Luís,MA,2.2503467242440593,9.965066813660246e-05,0.0005072116913752422,1
2310258,Paraipaba,CE,2.2503155737133334,9.89171172543684e-05,0.0005023058288238791,1
2509305,Mataraca,PB,2.2502909456341427,9.809086177623341e-05,0.0004984271143287367,1
2402600,Ceará-Mirim,RN,2.2502837501891895,9.786302897325848e-05,0.0004972938815762662,1
2503209,Cabedelo,PB,2.2502763087348474,9.769949126711598e-05,0.0004961218988470129,1
2512903,Rio Tinto,PB,2.2502732643955703,9.755450206324925e-05,0.0004956424328398934,1
4321352,Tavares,RS,2.250271394348678,9.72365070572383e-05,0.0004953479107215886,1
2610707,Paulista,PE,2.2502517282777856,9.69372200011421e-05,0.0004922505923032894,1
2706802,Piaçabuçu,AL,2.2501952653269304,9.518617545800843e-05,0.0004833577241822318,1
2905701,Camaçari,BA,2.250185007865115,9.475215525806768e-05,0.00048174214973328855,1
2306405,Itapipoca,CE,2.2501747618981285,9.45502979865805e-05,0.0004801283757138175,1
1506203,Salinópolis,PA,2.2501720142337382,9.432519814420962e-05,0.00047969560769056674,1
3204906,São Mateus,ES,2.2501680108814406,9.418613770539686e-05,0.0004790650625582926,1
4313508,Osório,RS,2.244139192850287,9.234126391864447e-05,0.00047223803107748763,1
3551009,São Vicente,SP,2.2441723162039264,9.073760167908571e-05,0.0004670019099686229,1
2803203,Itaporanga d'Ajuda,SE,2.250084691472937,9.175680042837928e-05,0.0004659415513881271,1
2613404,São José da Coroa Grande,PE,2.2500490833602798,9.065237399602108e-05,0.0004603327703756599,1
2301000,Aquiraz,CE,2.2500386663295004,9.032927191830524e-05,0.0004586919178988791,1
4321600,Tramandaí,RS,2.2442360670635613,8.89665509739541e-05,0.00045692450558343367,1
2413201,Senador Georgino Avelino,RN,2.250003837826085,8.91684737015288e-05,0.00045320578453189597,1
2310209,Paracuru,CE,2.2499825611175392,8.858902639408627e-05,0.0004498542524517535,1
2925501,Prado,BA,2.2499743684983176,8.82087032693181e-05,0.0004485637299332934,1
2704302,Maceió,AL,2.2499716745291956,8.82513422140351e-05,0.0004481393675654366,1
1504307,Maracanã,PA,2.244316738553317,8.74172597360602e-05,0.00044417293369464206,1
4312500,Mostardas,RS,2.2499461800861753,8.707630492360299e-05,0.0004441233695376412,1
2401859,Caiçara do Norte,RN,2.24994502042124,8.742456297152127e-05,0.00044394069248421264,1
2102903,Carutapera,MA,2.244354296279369,8.638220846659364e-05,0.00043823647587126757,1
2910602,Esplanada,BA,2.2499049557375277,8.618177031159154e-05,0.00043762939545771706,1
2408201,Nísia Floresta,RN,2.2498791003574845,8.530549869164202e-05,0.0004335563757870142,1
2609600,Olinda,PE,2.2498757711822193,8.527645049188117e-05,0.00043303192337856844,1
2303501,Cascavel,CE,2.2498362010115467,8.404892993739531e-05,0.0004267982650088542,1
4119954,Pontal do Paraná,PR,2.2444445204845827,8.260009304334714e-05,0.00042397598892313093,1
4317301,Santa Vitória do Palmar,RS,2.244462671185252,8.224729628667918e-05,0.00042110725392968673,1
3301850,Guapimirim,RJ,2.249797887388679,8.253022958130211e-05,0.000420762413457787,1
3300209,Araruama,RJ,2.2497575285784057,8.129450873822182e-05,0.00041440421550476003,1
3305505,Saquarema,RJ,2.2497388408655463,8.060337778235083e-05,0.00041146006764408716,1
4313656,Palmares do Sul,RS,2.249704779614755,7.956027247799126e-05,0.0004060938163920613,1
2702702,Feliz Deserto,AL,2.2496738245775907,7.901138646308943e-05,0.00040121684394722745,1
2109452,Raposa,MA,2.2496546313529584,7.827669530249064e-05,0.00039819290149722963,1
2205706,Luís Correia,PI,2.2446384956219476,7.746542775517356e-05,0.0003933196718802767,1
1600204,Calçoene,AP,2.2446385956519155,7.752506604553396e-05,0.00039330386382269156,1
2900801,Alcobaça,BA,2.2496155620575973,7.708630571602623e-05,0.00039203732368137123,1
2905800,Camamu,BA,2.2496128624909466,7.703337843573978e-05,0.00039161198703580036,1
3200409,Anchieta,ES,2.2496117442849286,7.673855472224562e-05,0.00039143580522266186,1
4209409,Laguna,SC,2.2446604790495055,7.572535386314737e-05,0.0003898455831046199,1
4202107,Barra Velha,SC,2.244670796804178,7.571217600591318e-05,0.0003882150618885749,1
2402204,Canguaretama,RN,2.2495561211264246,7.531373466853915e-05,0.00038267180524831357,1
3305000,São João da Barra,RJ,2.2495273211979656,7.41314620554848e-05,0.0003781339645407833,1
2304459,Fortim,CE,2.2495256555095793,7.44140412544734e-05,0.00037787150908386025,1
4321436,Terra de Areia,RS,2.249518923153212,7.397310646187598e-05,0.0003768107175335378,1
4207007,Içara,SC,2.244745310227317,7.393596563121906e-05,0.00037643996161862425,1
2920700,Maraú,BA,2.2495127901105083,7.392970920630908e-05,0.0003758443537672518,1
4310330,Imbé,RS,2.244778903489131,7.226957469426152e-05,0.00037113150767653647,1
2614204,Sirinhaém,PE,2.2494470523079384,7.197494432061338e-05,0.00036548603444153116,1
3302700,Maricá,RJ,2.249428540897038,7.097580190129975e-05,0.00036256911304088923,1
1600501,Oiapoque,AP,2.2448549316114286,7.076391118433888e-05,0.0003591178369530823,1
3304151,Quissamã,RJ,2.2494043433063236,7.039111279855409e-05,0.00035875614683705814,1
3202207,Fundão,ES,2.2493856782118176,6.983592069046325e-05,0.000355814932554821,1
4212304,Paulo Lopes,SC,2.2493853466782268,6.976542268863947e-05,0.0003557626897467414,1
3203320,Marataízes,ES,2.249356043177032,6.879704148351631e-05,0.0003511450251009185,1
3303807,Paraty,RJ,2.2492953126567277,6.683075630505676e-05,0.0003415748092565618,1
1504109,Magalhães Barata,PA,2.249288522696967,6.697056262425551e-05,0.0003405047919016746,1
2917805,Jaguaripe,BA,2.2449960661357964,6.631342446909482e-05,0.0003368177704311526,1
1508209,Vigia,PA,2.2492144125652245,6.469969502282315e-05,0.00032882562517527747,1
3520400,Ilhabela,SP,2.2450521361128755,6.380379205665923e-05,0.0003279589207513256,1
2800605,Barra dos Coqueiros,SE,2.249201556868455,6.435611292027158e-05,0.0003267996163007769,1
2501401,Baía da Traição,PB,2.2450875917716564,6.347936404749754e-05,0.00032235721266343775,1
2110203,Santa Rita,MA,2.2451064410551154,6.295405421441066e-05,0.0003193792269068352,1
4202305,Biguaçu,SC,2.2451182588154808,6.189840417265695e-05,0.0003175121641500467,1
2411601,São Bento do Norte,RN,2.2491229893767346,6.191749406517049e-05,0.0003144173354908131,1
3302601,Mangaratiba,RJ,2.2490701029344122,5.984901139808082e-05,0.00030608207031579404,1
2300754,Amontada,CE,2.2452047352904363,5.984161098178398e-05,0.00030385033705521147,1
2917904,Jandaíra,BA,2.2490538725139797,5.97720824592897e-05,0.0003035239914022658,1
2101251,Bacabeira,MA,2.2490523866203733,5.967177447971119e-05,0.0003032897982380711,1
3301702,Duque de Caxias,RJ,2.2490225593514794,5.843198608309756e-05,0.00029858864819465314,1
4323804,Xangri-lá,RS,2.245245692778945,5.791371828279419e-05,0.00029737999320461617,1
4211900,Palhoça,SC,2.2452522996881608,5.775176983509656e-05,0.0002963362681113191,1
2409506,Pedra Grande,RN,2.248990896382868,5.781717836679812e-05,0.00029359807592355125,1
4202057,Balneário Barra do Sul,SC,2.2452816545763215,5.691807350021904e-05,0.0002916989863441799,1
2919207,Lauro de Freitas,BA,2.2489576607358583,5.6585042250546826e-05,0.00028835952221384353,1
2508604,Lucena,PB,2.2489339754578044,5.605015542510642e-05,0.0002846262191665838,1
2408953,Rio do Fogo,RN,2.248896522804106,5.488745140535468e-05,0.0002787227757978239,1
3301009,Campos dos Goytacazes,RJ,2.248866117016615,5.376645667722406e-05,0.00027392999025821485,1
4305454,Cidreira,RS,2.2454094697220186,5.285643442151073e-05,0.000271508596784098,1
2104305,Godofredo Viana,MA,2.2488387088739072,5.309257078662595e-05,0.00026960963998479137,1
2704500,Maragogi,AL,2.2488255524945373,5.2684108700747004e-05,0.0002675357721281246,1
2504603,Conde,PB,2.24881002857443,5.2153777958862376e-05,0.00026508868255120666,1
2407500,Maxaranguape,RN,2.2488094805460155,5.2185122016486564e-05,0.0002650022945032138,1
2607604,Ilha de Itamaracá,PE,2.2487948633675683,5.1731296107223075e-05,0.00026269811595242,1
2511905,Pitimbu,PB,2.248767284480338,5.0820760549961576e-05,0.00025835066315932353,1
1507904,Soure,PA,2.248754064251513,5.040826074236174e-05,0.00025626664029482216,1
2800704,Brejo Grande,SE,2.248718669958241,4.936560047154011e-05,0.0002506870391800198,1
3537602,Peruíbe,SP,2.2455872660795144,4.746115491148427e-05,0.0002434254975986483,1
2707404,Porto de Pedras,AL,2.248661771132214,4.7598880113604704e-05,0.00024171718539967024,1
2106201,Luís Domingues,MA,2.245604551813055,4.744640970870615e-05,0.0002406953613342533,1
3531100,Mongaguá,SP,2.2456243557193813,4.630947911776781e-05,0.00023756753599551983,1
1507102,São Caetano de Odivelas,PA,2.2485868735868677,4.527317357411187e-05,0.00022990943965078836,1
