grid_lat,grid_lon,compound_count_total,mean_overlap_duration,mean_compound_intensity_norm,compound_count_annual_mean,mean_compound_intensity_norm_abspeak,Hazard_Frequency,Hazard_Duration,Hazard_Intensity,Hazard_Index_raw,Hazard_Index,n_events,thr_hs_abs,thr_ssh_total_abs,intensity_abspeak,intensity_adopted,hs_term_abspeak,ssh_term_abspeak,hs_term_adopted,ssh_term_adopted,clipped_high_abspeak,clipped_high_adopted,hazard_adopted,hazard_abspeak_raw,hazard_abspeak,intensity_difference,hazard_difference,hs_term_difference,ssh_term_difference,hs_contribution,ssh_contribution
-34.400000,-53.600000,253,1.570000,0.475900,7.670000,0.372100,0.752688,0.248000,0.901028,0.633905,0.838353,253,2.250000,0.684484,0.372077,0.475878,0.597099,0.147056,0.427604,0.524152,0.039526,0.213439,0.838353,0.495902,0.654187,-0.103801,-0.184166,0.169495,-0.377096,0.084747,-0.188548
-34.400000,-53.400000,249,1.560000,0.489100,7.550000,0.443500,0.738351,0.240000,0.939794,0.639382,0.847779,249,2.630000,0.647297,0.443517,0.489122,0.766583,0.120452,0.506999,0.471244,0.164659,0.220884,0.847779,0.526336,0.717599,-0.045604,-0.130180,0.259584,-0.350793,0.129792,-0.175396
-34.200000,-53.600000,237,1.430000,0.437100,7.180000,0.306200,0.695341,0.136000,0.787078,0.539473,0.675814,237,1.950000,0.737133,0.306232,0.437103,0.440271,0.172192,0.338887,0.535319,0.008439,0.181435,0.675814,0.404539,0.463825,-0.130871,-0.211989,0.101385,-0.363127,0.050692,-0.181563
-34.200000,-53.400000,251,1.550000,0.479400,7.610000,0.413600,0.745520,0.232000,0.911307,0.629609,0.830958,251,2.440000,0.704151,0.413579,0.479398,0.674358,0.152801,0.446596,0.512201,0.087649,0.223108,0.830958,0.510184,0.683946,-0.065819,-0.147012,0.227762,-0.359400,0.113881,-0.179700
-34.200000,-53.200000,244,1.580000,0.490600,7.390000,0.453700,0.720430,0.256000,0.944200,0.640210,0.849204,244,2.690000,0.655482,0.453712,0.490616,0.781871,0.125553,0.500844,0.480388,0.172131,0.225410,0.849204,0.531101,0.727527,-0.036904,-0.121677,0.281027,-0.354835,0.140514,-0.177417
-34.000000,-53.400000,238,1.490000,0.459400,7.210000,0.360200,0.698925,0.184000,0.852570,0.578498,0.742985,238,2.150000,0.760127,0.360215,0.459414,0.539877,0.180552,0.386647,0.532180,0.029412,0.214286,0.742985,0.450357,0.559291,-0.099199,-0.183694,0.153230,-0.351628,0.076615,-0.175814
-34.000000,-53.200000,252,1.540000,0.475800,7.640000,0.415900,0.749104,0.224000,0.900734,0.624613,0.822358,252,2.450000,0.716269,0.415948,0.475822,0.675126,0.156770,0.441322,0.510323,0.091270,0.218254,0.822358,0.509969,0.683496,-0.059874,-0.138862,0.233804,-0.353553,0.116902,-0.176776
-34.000000,-53.000000,247,1.610000,0.498300,7.490000,0.462600,0.731183,0.280000,0.966814,0.659332,0.882118,247,2.720000,0.661232,0.462603,0.498254,0.796800,0.128406,0.514319,0.482189,0.210526,0.234818,0.882118,0.547399,0.761486,-0.035651,-0.120631,0.282481,-0.353783,0.141240,-0.176892
-33.800000,-53.400000,241,1.390000,0.409800,7.300000,0.261900,0.709677,0.104000,0.706902,0.506860,0.619680,241,1.700000,0.808810,0.261853,0.409845,0.321524,0.202182,0.286002,0.533688,0.000000,0.195021,0.619680,0.375121,0.402528,-0.147992,-0.217152,0.035522,-0.331506,0.017761,-0.165753
-33.800000,-53.200000,252,1.520000,0.467100,7.640000,0.358700,0.749104,0.208000,0.875184,0.610762,0.798519,252,2.120000,0.772089,0.358675,0.467052,0.530423,0.186928,0.392653,0.541450,0.019841,0.206349,0.798519,0.474268,0.609110,-0.108376,-0.189409,0.137770,-0.354523,0.068885,-0.177261
-33.800000,-53.000000,263,1.570000,0.478800,7.970000,0.425900,0.788530,0.248000,0.909545,0.648692,0.863803,263,2.490000,0.723174,0.425942,0.478791,0.692280,0.159604,0.447635,0.509948,0.102662,0.205323,0.863803,0.536410,0.738589,-0.052850,-0.125215,0.244645,-0.350344,0.122323,-0.175172
-33.800000,-52.800000,264,1.570000,0.486000,8.000000,0.463600,0.792115,0.248000,0.930690,0.656935,0.877992,264,2.740000,0.670262,0.463630,0.486002,0.798119,0.129141,0.505375,0.466628,0.212121,0.227273,0.877992,0.557588,0.782715,-0.022372,-0.095277,0.292743,-0.337487,0.146372,-0.168744
-33.600000,-53.000000,266,1.510000,0.430800,8.060000,0.251200,0.799283,0.200000,0.768576,0.589286,0.761554,266,1.630000,0.779094,0.251196,0.430804,0.312333,0.190060,0.317089,0.544518,0.000000,0.191729,0.761554,0.431339,0.519664,-0.179607,-0.241890,-0.004756,-0.354459,-0.002378,-0.177229
-33.600000,-52.800000,258,1.570000,0.464900,7.820000,0.388100,0.770609,0.248000,0.868722,0.629111,0.830100,258,2.320000,0.730191,0.388128,0.464893,0.611438,0.164819,0.407290,0.522495,0.042636,0.186047,0.830100,0.510386,0.684366,-0.076765,-0.145734,0.204147,-0.357677,0.102074,-0.178838
-33.600000,-52.600000,260,1.600000,0.478700,7.880000,0.451900,0.777778,0.272000,0.909251,0.653010,0.871235,260,2.680000,0.671725,0.451892,0.478678,0.774148,0.129635,0.490979,0.466377,0.169231,0.215385,0.871235,0.554585,0.776458,-0.026786,-0.094777,0.283169,-0.336742,0.141585,-0.168371
-33.400000,-52.800000,258,1.510000,0.453900,7.820000,0.313200,0.770609,0.200000,0.836417,0.602342,0.784026,258,1.910000,0.778192,0.313237,0.453928,0.435500,0.190974,0.356361,0.551495,0.011628,0.193798,0.784026,0.454676,0.568290,-0.140691,-0.215736,0.079139,-0.360521,0.039569,-0.180261
-33.400000,-52.600000,258,1.570000,0.461800,7.820000,0.376000,0.770609,0.248000,0.859618,0.626076,0.824876,258,2.270000,0.719828,0.376019,0.461808,0.592583,0.159455,0.404611,0.519005,0.027132,0.182171,0.824876,0.503965,0.670988,-0.085789,-0.153888,0.187972,-0.359550,0.093986,-0.179775
-33.400000,-52.400000,252,1.600000,0.455800,7.640000,0.426400,0.749104,0.272000,0.841997,0.621034,0.816198,252,2.610000,0.646401,0.426393,0.455842,0.735915,0.116870,0.456845,0.454838,0.107143,0.186508,0.816198,0.531507,0.728373,-0.029449,-0.087825,0.279070,-0.337967,0.139535,-0.168984
-33.200000,-52.600000,235,1.490000,0.433300,7.120000,0.293200,0.688172,0.184000,0.775918,0.549363,0.692838,235,1.870000,0.759926,0.293197,0.433251,0.406313,0.180082,0.330882,0.535619,0.004255,0.178723,0.692838,0.411239,0.477783,-0.140054,-0.215054,0.075430,-0.355538,0.037715,-0.177769
-33.200000,-52.400000,240,1.560000,0.438800,7.270000,0.368500,0.706093,0.240000,0.792070,0.579388,0.744516,240,2.300000,0.693146,0.368525,0.438751,0.593987,0.143064,0.387469,0.490033,0.033333,0.183333,0.744516,0.475820,0.612345,-0.070226,-0.132172,0.206517,-0.346969,0.103259,-0.173484
-33.200000,-52.200000,235,1.600000,0.444700,7.120000,0.426700,0.688172,0.272000,0.809398,0.589857,0.762535,235,2.680000,0.610924,0.426742,0.444704,0.753550,0.099934,0.447591,0.441817,0.136170,0.174468,0.762535,0.511381,0.686439,-0.017962,-0.076096,0.305959,-0.341883,0.152980,-0.170941
-33.000000,-52.400000,202,1.450000,0.407600,6.120000,0.274500,0.569892,0.152000,0.700441,0.474111,0.563312,202,1.860000,0.719403,0.274540,0.407553,0.390636,0.158444,0.306567,0.508539,0.000000,0.168317,0.563312,0.351253,0.352797,-0.133013,-0.210515,0.084069,-0.350095,0.042035,-0.175047
-33.000000,-52.200000,216,1.530000,0.440800,6.550000,0.393700,0.620072,0.216000,0.797944,0.544672,0.684763,216,2.470000,0.650282,0.393691,0.440768,0.665615,0.121767,0.410948,0.470588,0.064815,0.185185,0.684763,0.452490,0.563734,-0.047077,-0.121029,0.254668,-0.348822,0.127334,-0.174411
-32.800000,-52.400000,186,1.380000,0.396700,5.640000,0.269700,0.512545,0.096000,0.668429,0.425658,0.479914,186,1.840000,0.739072,0.269712,0.396670,0.372898,0.166527,0.287634,0.505706,0.000000,0.155914,0.479914,0.310911,0.268740,-0.126958,-0.211173,0.085263,-0.339179,0.042632,-0.169589
-32.800000,-52.200000,195,1.480000,0.419000,5.910000,0.330700,0.544803,0.176000,0.733921,0.484908,0.581896,195,2.160000,0.679438,0.330713,0.418951,0.523791,0.137635,0.350339,0.487563,0.025641,0.179487,0.581896,0.380674,0.414099,-0.088238,-0.167797,0.173451,-0.349928,0.086726,-0.174964
-32.800000,-52.000000,218,1.500000,0.438100,6.610000,0.411400,0.627240,0.192000,0.790015,0.536418,0.670556,218,2.600000,0.612853,0.411421,0.438066,0.722032,0.100811,0.435679,0.440453,0.100917,0.169725,0.670556,0.456281,0.571632,-0.026645,-0.098924,0.286353,-0.339642,0.143177,-0.169821
-32.600000,-52.200000,171,1.400000,0.409100,5.180000,0.306100,0.458781,0.112000,0.704846,0.425209,0.479141,171,2.040000,0.691841,0.306113,0.409079,0.467686,0.144539,0.324518,0.493640,0.017544,0.169591,0.479141,0.317623,0.282727,-0.102966,-0.196415,0.143168,-0.349101,0.071584,-0.174550
-32.600000,-52.000000,199,1.500000,0.448900,6.030000,0.401400,0.559140,0.192000,0.821733,0.524291,0.649682,199,2.510000,0.631778,0.401364,0.448936,0.688203,0.114525,0.427912,0.469960,0.085427,0.195980,0.649682,0.428248,0.513223,-0.047572,-0.136459,0.260291,-0.355435,0.130146,-0.177717
-32.400000,-52.200000,169,1.390000,0.399800,5.120000,0.273700,0.451613,0.104000,0.677533,0.411049,0.454768,169,1.880000,0.706331,0.273705,0.399825,0.395778,0.151632,0.304516,0.495134,0.000000,0.189349,0.454768,0.295383,0.236388,-0.126120,-0.218380,0.091262,-0.343502,0.045631,-0.171751
-32.400000,-52.000000,201,1.460000,0.422100,6.090000,0.336200,0.566308,0.160000,0.743025,0.489778,0.590278,201,2.220000,0.649631,0.336178,0.422138,0.545660,0.126695,0.349173,0.495103,0.029851,0.189055,0.590278,0.385407,0.423960,-0.085960,-0.166318,0.196487,-0.368407,0.098243,-0.184204
-32.400000,-51.800000,226,1.540000,0.448500,6.850000,0.404300,0.655914,0.224000,0.820558,0.566824,0.722891,226,2.570000,0.589720,0.404307,0.448523,0.714140,0.094474,0.439615,0.457432,0.101770,0.185841,0.722891,0.472733,0.605912,-0.044217,-0.116979,0.274525,-0.362958,0.137263,-0.181479
-32.200000,-52.000000,226,1.420000,0.413600,6.850000,0.290700,0.655914,0.128000,0.718062,0.500659,0.609006,226,1.990000,0.670291,0.290732,0.413640,0.442121,0.139343,0.311199,0.516081,0.008850,0.176991,0.609006,0.380512,0.413762,-0.122908,-0.195244,0.130923,-0.376738,0.065461,-0.188369
-32.200000,-51.800000,234,1.520000,0.428700,7.090000,0.330700,0.684588,0.208000,0.762408,0.551665,0.696800,234,2.210000,0.613093,0.330704,0.428714,0.550578,0.110830,0.364002,0.493426,0.029915,0.166667,0.696800,0.437931,0.533399,-0.098010,-0.163401,0.186576,-0.382596,0.093288,-0.191298
-32.200000,-51.600000,242,1.590000,0.437700,7.330000,0.384000,0.713262,0.264000,0.788840,0.588701,0.760545,242,2.520000,0.551976,0.384045,0.437701,0.690809,0.077280,0.426076,0.449325,0.090909,0.157025,0.760545,0.494438,0.651138,-0.053656,-0.109408,0.264734,-0.372045,0.132367,-0.186023
-32.000000,-51.800000,241,1.450000,0.384000,7.300000,0.181300,0.709677,0.152000,0.631131,0.497603,0.603746,241,1.520000,0.634263,0.181283,0.384022,0.238870,0.123695,0.255522,0.512522,0.000000,0.149378,0.603746,0.348400,0.346853,-0.202739,-0.256893,-0.016652,-0.388827,-0.008326,-0.194413
-32.000000,-51.600000,229,1.570000,0.421500,6.940000,0.279500,0.666667,0.248000,0.741263,0.551977,0.697335,229,2.000000,0.576889,0.279470,0.421467,0.461554,0.097386,0.341478,0.501456,0.013100,0.157205,0.697335,0.418125,0.492131,-0.141997,-0.205204,0.120076,-0.404070,0.060038,-0.202035
-32.000000,-51.400000,235,1.620000,0.438000,7.120000,0.385100,0.688172,0.288000,0.789721,0.588631,0.760426,235,2.560000,0.516691,0.385126,0.438026,0.707240,0.063013,0.432322,0.443731,0.097872,0.174468,0.760426,0.494649,0.651576,-0.052900,-0.108850,0.274919,-0.380719,0.137459,-0.190359
-32.000000,-51.200000,233,1.670000,0.432600,7.060000,0.432000,0.681004,0.328000,0.773862,0.594289,0.770164,233,2.880000,0.460872,0.431976,0.432645,0.830166,0.033786,0.491164,0.374127,0.257511,0.180258,0.770164,0.530434,0.726137,-0.000669,-0.044027,0.339002,-0.340340,0.169501,-0.170170
-31.800000,-51.400000,238,1.550000,0.414200,7.210000,0.275200,0.698925,0.232000,0.719824,0.550250,0.694363,238,2.020000,0.553626,0.275223,0.414231,0.463678,0.086767,0.332612,0.495850,0.016807,0.151261,0.694363,0.421292,0.498730,-0.139009,-0.195632,0.131065,-0.409083,0.065533,-0.204541
-31.800000,-51.200000,234,1.620000,0.439900,7.090000,0.392200,0.684588,0.288000,0.795301,0.589296,0.761571,234,2.630000,0.490965,0.392176,0.439915,0.730957,0.053395,0.434672,0.445159,0.136752,0.175214,0.761571,0.497192,0.656875,-0.047740,-0.104696,0.296285,-0.391764,0.148143,-0.195882
-31.800000,-51.000000,221,1.690000,0.431300,6.700000,0.437800,0.637993,0.344000,0.770044,0.584012,0.752476,221,2.920000,0.439048,0.437765,0.431251,0.850911,0.024618,0.515904,0.346598,0.303167,0.190045,0.752476,0.524499,0.713772,0.006514,-0.038704,0.335007,-0.321980,0.167504,-0.160990
-31.600000,-51.200000,228,1.570000,0.407200,6.910000,0.269800,0.663082,0.248000,0.699266,0.536783,0.671184,228,2.030000,0.530473,0.269800,0.407225,0.463836,0.075764,0.326077,0.488373,0.013158,0.135965,0.671184,0.411803,0.478958,-0.137425,-0.192225,0.137759,-0.412609,0.068879,-0.206305
-31.600000,-51.000000,227,1.630000,0.425400,6.880000,0.385900,0.659498,0.296000,0.752717,0.569405,0.727334,227,2.630000,0.471628,0.385897,0.425403,0.728357,0.043436,0.429127,0.421680,0.132159,0.145374,0.727334,0.488166,0.638068,-0.039507,-0.089265,0.299230,-0.378244,0.149615,-0.189122
-31.600000,-50.800000,220,1.640000,0.399400,6.670000,0.435800,0.634409,0.304000,0.676358,0.538256,0.673719,220,2.970000,0.424893,0.435829,0.399415,0.855195,0.016462,0.496524,0.302306,0.304545,0.181818,0.673719,0.508945,0.681363,0.036414,0.007644,0.358671,-0.285843,0.179335,-0.142922
-31.400000,-50.800000,201,1.650000,0.436500,6.090000,0.406400,0.566308,0.312000,0.785316,0.554541,0.701750,201,2.730000,0.460676,0.406402,0.436529,0.774151,0.038653,0.458809,0.414249,0.154229,0.159204,0.701750,0.473308,0.607111,-0.030127,-0.094639,0.315342,-0.375596,0.157671,-0.187798
-31.400000,-50.600000,210,1.620000,0.398100,6.360000,0.442300,0.598566,0.288000,0.672540,0.519702,0.641784,210,3.000000,0.422848,0.442319,0.398093,0.872004,0.012633,0.524265,0.271921,0.361905,0.200000,0.641784,0.495105,0.652527,0.044226,0.010742,0.347739,-0.259288,0.173870,-0.129644
-31.200000,-50.800000,211,1.570000,0.418900,6.390000,0.346400,0.602151,0.248000,0.733627,0.527926,0.655939,211,2.410000,0.505036,0.346368,0.418879,0.633630,0.059105,0.388591,0.449167,0.047393,0.146919,0.655939,0.432091,0.521230,-0.072511,-0.134709,0.245039,-0.390062,0.122520,-0.195031
-31.200000,-50.600000,222,1.650000,0.390400,6.730000,0.376500,0.641577,0.312000,0.649927,0.534501,0.667257,222,2.610000,0.453047,0.376549,0.390437,0.724961,0.028136,0.434983,0.345891,0.112613,0.126126,0.667257,0.482569,0.626407,-0.013888,-0.040850,0.289978,-0.317754,0.144989,-0.158877
-31.200000,-50.400000,209,1.610000,0.371800,6.330000,0.429500,0.594982,0.280000,0.595301,0.490094,0.590823,209,2.930000,0.423346,0.429489,0.371819,0.849168,0.009810,0.503413,0.240226,0.296651,0.172249,0.590823,0.484441,0.630308,0.057670,0.039485,0.345756,-0.230416,0.172878,-0.115208
-31.000000,-50.600000,195,1.560000,0.386500,5.910000,0.331700,0.544803,0.240000,0.638473,0.474425,0.563853,195,2.400000,0.488978,0.331728,0.386544,0.615779,0.047678,0.359992,0.413096,0.056410,0.138462,0.563853,0.402546,0.459671,-0.054816,-0.104182,0.255787,-0.365418,0.127893,-0.182709
-31.000000,-50.400000,222,1.590000,0.376800,6.730000,0.394200,0.641577,0.264000,0.609985,0.505187,0.616801,222,2.730000,0.448415,0.394165,0.376841,0.765353,0.022977,0.439719,0.313964,0.135135,0.126126,0.616801,0.475910,0.612531,0.017324,-0.004270,0.325634,-0.290987,0.162817,-0.145493
-31.000000,-50.200000,205,1.590000,0.375700,6.210000,0.443300,0.580645,0.264000,0.606755,0.483800,0.579989,205,3.028000,0.424028,0.443309,0.375739,0.877691,0.008928,0.519656,0.231822,0.360976,0.185366,0.579989,0.481657,0.624506,0.067571,0.044517,0.358036,-0.222894,0.179018,-0.111447
-30.800000,-50.400000,207,1.560000,0.377200,6.270000,0.345100,0.587814,0.240000,0.611160,0.479658,0.572859,207,2.480000,0.484530,0.345052,0.377245,0.648405,0.041698,0.370205,0.384285,0.053140,0.096618,0.572859,0.423947,0.504262,-0.032193,-0.068597,0.278200,-0.342587,0.139100,-0.171293
-30.800000,-50.200000,222,1.590000,0.378300,6.730000,0.414700,0.641577,0.264000,0.614391,0.506656,0.619329,222,2.850000,0.447775,0.414745,0.378281,0.808732,0.020759,0.453829,0.302733,0.180180,0.139640,0.619329,0.486822,0.635268,0.036465,0.015939,0.354903,-0.281974,0.177451,-0.140987
-30.600000,-50.400000,122,1.410000,0.355600,3.700000,0.231000,0.283154,0.120000,0.547724,0.316959,0.292820,122,1.940000,0.514421,0.231020,0.355589,0.400468,0.061571,0.269467,0.441710,0.000000,0.081967,0.292820,0.221931,0.083343,-0.124569,-0.209477,0.131001,-0.380139,0.065501,-0.190070
-30.600000,-50.200000,198,1.580000,0.375800,6.000000,0.354600,0.555556,0.256000,0.607048,0.472868,0.561173,198,2.530000,0.482518,0.354598,0.375847,0.670163,0.039033,0.379605,0.372088,0.060606,0.090909,0.561173,0.423590,0.503518,-0.021248,-0.057655,0.290558,-0.333055,0.145279,-0.166527
-30.600000,-50.000000,216,1.590000,0.377100,6.550000,0.422900,0.620072,0.264000,0.610866,0.498313,0.604968,216,2.890000,0.448779,0.422856,0.377102,0.827177,0.018534,0.469839,0.284364,0.222222,0.138889,0.604968,0.483954,0.629292,0.045754,0.024324,0.357338,-0.265830,0.178669,-0.132915
-30.400000,-50.200000,152,1.430000,0.345400,4.610000,0.258000,0.390681,0.136000,0.517768,0.348150,0.346505,152,2.100000,0.507896,0.258031,0.345391,0.462045,0.054017,0.276171,0.414612,0.013158,0.059211,0.346505,0.277428,0.198977,-0.087361,-0.147528,0.185874,-0.360595,0.092937,-0.180298
-30.400000,-50.000000,210,1.600000,0.368900,6.360000,0.371100,0.598566,0.272000,0.586784,0.485783,0.583403,210,2.620000,0.475719,0.371131,0.368858,0.709541,0.032721,0.397234,0.340482,0.090476,0.119048,0.583403,0.452026,0.562768,0.002273,-0.020635,0.312307,-0.307761,0.156154,-0.153881
-30.400000,-49.800000,214,1.640000,0.377800,6.490000,0.435300,0.612903,0.304000,0.612922,0.509942,0.624985,214,2.970000,0.446608,0.435280,0.377782,0.854610,0.015950,0.485878,0.269686,0.289720,0.149533,0.624985,0.501485,0.665821,0.057498,0.040836,0.368731,-0.253736,0.184366,-0.126868
-30.200000,-50.000000,165,1.580000,0.371700,5.000000,0.328900,0.437276,0.256000,0.595007,0.429428,0.486403,165,2.400000,0.494976,0.328874,0.371661,0.612476,0.045273,0.356551,0.386771,0.030303,0.078788,0.486403,0.370524,0.392950,-0.042786,-0.093453,0.255926,-0.341498,0.127963,-0.170749
-30.200000,-49.800000,208,1.600000,0.374200,6.300000,0.406900,0.591398,0.272000,0.602349,0.488582,0.588221,208,2.800000,0.464896,0.406914,0.374234,0.788462,0.025366,0.442060,0.306407,0.158654,0.125000,0.588221,0.468610,0.597321,0.032680,0.009101,0.346401,-0.281041,0.173201,-0.140521
-30.000000,-50.000000,131,1.460000,0.346000,3.970000,0.262700,0.315412,0.160000,0.519530,0.331647,0.318101,131,2.100000,0.517844,0.262673,0.345976,0.469284,0.056062,0.289740,0.402212,0.015267,0.061069,0.318101,0.262801,0.168499,-0.083303,-0.149603,0.179544,-0.346150,0.089772,-0.173075
-30.000000,-49.800000,200,1.590000,0.373600,6.060000,0.378300,0.562724,0.264000,0.600587,0.475770,0.566168,200,2.640000,0.484745,0.378325,0.373581,0.721850,0.034801,0.408860,0.338302,0.100000,0.115000,0.566168,0.441227,0.540266,0.004744,-0.025902,0.312990,-0.303501,0.156495,-0.151750
-29.800000,-49.800000,195,1.540000,0.370000,5.910000,0.339100,0.544803,0.224000,0.590015,0.452939,0.526871,195,2.430000,0.507395,0.339057,0.370026,0.631859,0.046256,0.373190,0.366862,0.035897,0.087179,0.526871,0.401099,0.456655,-0.030969,-0.070215,0.258669,-0.320606,0.129334,-0.160303
-29.800000,-49.600000,226,1.620000,0.373400,6.850000,0.398400,0.655914,0.288000,0.600000,0.514638,0.633068,226,2.740000,0.475572,0.398356,0.373411,0.768761,0.027951,0.441827,0.304994,0.159292,0.146018,0.633068,0.490911,0.643787,0.024945,0.010719,0.326934,-0.277043,0.163467,-0.138522
-29.600000,-49.800000,168,1.460000,0.356600,5.090000,0.276900,0.448029,0.160000,0.550661,0.386230,0.412049,168,2.140000,0.532095,0.276884,0.356569,0.491388,0.062381,0.302696,0.410442,0.017857,0.065476,0.412049,0.314541,0.276305,-0.079685,-0.135744,0.188692,-0.348061,0.094346,-0.174031
-29.600000,-49.600000,215,1.610000,0.376900,6.520000,0.371300,0.616487,0.280000,0.610279,0.502255,0.611755,215,2.580000,0.497567,0.371251,0.376871,0.702786,0.039715,0.410192,0.343551,0.093023,0.120930,0.611755,0.460730,0.580903,-0.005621,-0.030852,0.292594,-0.303836,0.146297,-0.151918
