grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,mhws_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_mhws,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-32.8,-52.4,1.84,0.39022,0.11447,0.111675,604,697,196,0,196,5.94,1.4,3.0,6,1.4,3.0,0.5493,0.8241,0.9966,0.7725,1.6485,3.6001
-32.8,-52.2,2.16,0.350609,0.112836,0.108258,594,657,218,0,218,6.61,1.49,3.0,6,1.49,3.0,0.5513,0.8548,1.0,0.8204,1.7689,3.3473
-32.8,-52.0,2.6,0.310739,0.107181,0.102791,593,613,242,0,242,7.33,1.57,3.0,6,1.57,3.0,0.5556,0.9218,1.0,0.8724,2.0442,3.3198
-32.6,-52.2,2.04,0.363758,0.115166,0.107091,604,670,186,0,186,5.64,1.42,3.0,6,1.42,3.0,0.5432,0.8572,1.0,0.7674,1.6963,3.3776
-32.6,-52.0,2.51,0.327647,0.109348,0.102432,583,633,226,0,226,6.85,1.54,3.0,6,1.54,3.0,0.5608,0.8894,1.0,0.862,1.9603,3.3709
-32.4,-52.2,1.88,0.38549,0.117442,0.105269,583,686,180,0,180,5.46,1.4,2.05,6,1.4,2.05,0.5423,0.8291,0.9595,0.757,1.565,2.7116
-32.4,-52.0,2.22,0.347667,0.110113,0.101058,593,657,221,0,221,6.7,1.46,3.0,5,1.46,3.0,0.5426,0.8953,1.0,0.7944,1.6992,3.4206
-32.4,-51.8,2.57,0.314133,0.09879,0.096108,594,625,245,0,245,7.43,1.57,3.0,5,1.57,3.0,0.5585,0.9097,1.0,0.8698,2.0612,3.3838
-32.2,-52.0,1.99,0.383239,0.114421,0.098656,619,681,245,0,245,7.43,1.43,3.0,5,1.43,3.0,0.5424,0.8835,1.0,0.7811,1.6816,3.3021
-32.2,-51.8,2.21,0.346649,0.105251,0.094181,601,651,256,0,256,7.76,1.52,3.0,5,1.52,3.0,0.5385,0.8822,1.0,0.8241,1.8242,3.2978
-32.2,-51.6,2.52,0.311231,0.098206,0.088906,603,623,266,0,266,8.06,1.59,3.0,5,1.59,3.0,0.5307,0.8869,1.0,0.8445,1.9637,3.3772
-32.0,-51.8,1.52,0.383822,0.111584,0.090927,617,678,268,0,268,8.12,1.42,3.0,5,1.42,3.0,0.4999,0.7722,1.0,0.7245,1.6089,3.0224
-32.0,-51.6,2.0,0.346131,0.102784,0.086617,588,649,251,0,251,7.61,1.53,3.0,5,1.53,3.0,0.5152,0.8345,1.0,0.793,1.8932,3.1373
-32.0,-51.4,2.56,0.303084,0.093313,0.082813,586,611,256,0,256,7.76,1.59,3.25,5,1.59,3.25,0.5197,0.9058,1.0,0.8252,2.0249,3.3558
-32.0,-51.2,2.88,0.254321,0.085132,0.080147,594,563,254,0,254,7.7,1.67,4.0,5,1.67,4.0,0.4985,0.8573,1.0,0.8261,2.1668,3.2864
-31.8,-51.4,2.02,0.352066,0.09802,0.079844,600,647,255,0,255,7.73,1.53,3.0,5,1.53,3.0,0.5097,0.8387,1.0,0.7783,1.8033,3.1239
-31.8,-51.2,2.63,0.298127,0.088323,0.078539,587,597,252,0,252,7.64,1.63,3.0,5,1.63,3.0,0.515,0.9065,1.0,0.8281,2.0289,3.2775
-31.8,-51.0,2.92,0.240462,0.082398,0.078346,582,546,245,0,245,7.43,1.7,4.0,5,1.7,4.0,0.4889,0.8391,1.0,0.822,2.0944,3.1645
-31.6,-51.2,2.03,0.345728,0.094876,0.077377,598,634,249,0,249,7.55,1.53,3.0,5,1.53,3.0,0.4902,0.8228,1.0,0.7557,1.6816,3.052
-31.6,-51.0,2.63,0.283773,0.086368,0.078725,580,580,246,0,246,7.46,1.61,3.0,5,1.61,3.0,0.4961,0.8807,0.9977,0.7942,1.8784,3.1493
-31.6,-50.8,2.97,0.227201,0.089498,0.079862,593,533,241,0,241,7.3,1.69,4.0,5,1.69,4.0,0.4562,0.814,0.9856,0.7678,1.9334,3.0281
-31.4,-50.8,2.73,0.272576,0.088925,0.081762,571,562,221,0,221,6.7,1.61,3.0,5,1.61,3.0,0.4892,0.8634,1.0,0.7803,2.0399,3.0884
-31.4,-50.6,3.0,0.22405,0.097127,0.083168,585,548,243,0,243,7.36,1.68,4.0,5,1.68,4.0,0.4458,0.7912,0.9488,0.7413,1.9169,2.9811
-31.2,-50.8,2.41,0.320875,0.093651,0.084032,586,609,229,0,229,6.94,1.52,3.0,5,1.52,3.0,0.4924,0.8442,1.0,0.7435,1.9193,3.0508
-31.2,-50.6,2.61,0.259785,0.095343,0.085774,589,548,240,0,240,7.27,1.62,3.0,5,1.62,3.0,0.4491,0.8099,1.0,0.7283,1.9616,2.9984
-31.2,-50.4,2.93,0.220443,0.104889,0.087101,600,578,250,0,250,7.58,1.63,3.55,5,1.63,3.55,0.4168,0.7659,0.9093,0.68,1.9013,2.9032
-31.0,-50.6,2.4,0.300475,0.09754,0.088716,575,590,206,0,206,6.24,1.52,3.0,5,1.52,3.0,0.4567,0.8181,0.9633,0.6937,1.8091,2.8595
-31.0,-50.4,2.73,0.251092,0.102053,0.090091,597,552,234,0,234,7.09,1.64,3.0,5,1.64,3.0,0.4412,0.7956,0.9796,0.7169,1.871,3.6031
-31.0,-50.2,3.028,0.218686,0.107627,0.091159,594,589,245,0,245,7.43,1.64,3.8,5,1.64,3.8,0.4191,0.7558,0.8886,0.6833,1.7642,3.5491
-30.8,-50.4,2.48,0.290833,0.102161,0.09291,577,565,216,0,216,6.55,1.56,3.0,5,1.56,3.0,0.4509,0.8104,0.9399,0.7042,1.7937,3.6088
-30.8,-50.2,2.85,0.247742,0.103453,0.094295,585,555,240,0,240,7.27,1.62,4.0,5,1.62,4.0,0.4358,0.7784,0.966,0.7089,1.8699,3.6222
