hs_percentile,ssh_percentile,n_accepted_episodes,n_accepted_matched,n_accepted_unmatched,n_points_with_episodes,n_points,H,M,U,R_pos,B,F_soft,term_fsoft_raw,Score,degenerate,episodes_per_positive,min_thr_hs_abs,median_thr_hs_abs,median_thr_zos_abs
65,85,2662,52,2610,12,12,64,83,5239,0.435374,0.7314,3865.599,26.296591836734695,-5.144366,False,18.1088,0.98,1.535,0.2312
65,90,2353,49,2304,12,12,60,87,4573,0.408163,0.639,3415.793,23.236687074829934,-4.530231,False,16.0068,0.98,1.535,0.2765
65,95,1647,47,1600,12,12,59,88,3076,0.401361,0.4324,2302.0418,15.660148299319728,-2.977686,False,11.2041,0.98,1.535,0.3505
65,99,510,24,486,12,12,29,118,897,0.197279,0.1277,678.7808,4.617556462585034,-0.830686,False,3.4694,0.98,1.535,0.5023
70,50,2558,46,2512,12,12,60,87,5159,0.408163,0.7198,3633.8314,24.71994149659864,-4.843046,False,17.4014,1.03,1.595,0.0796
70,55,2571,46,2525,12,12,60,87,5179,0.408163,0.7225,3660.4019,24.900693197278912,-4.879748,False,17.4898,1.03,1.595,0.096
70,60,2590,46,2544,12,12,60,87,5218,0.408163,0.7279,3704.3834,25.199887074829935,-4.940662,False,17.619,1.03,1.595,0.1141
70,65,2593,46,2547,12,12,60,87,5216,0.408163,0.7276,3721.2658,25.314733333333333,-4.963576,False,17.6395,1.03,1.595,0.1318
70,70,2607,46,2561,12,12,60,87,5228,0.408163,0.7293,3757.3471,25.560184353741498,-5.012998,False,17.7347,1.03,1.595,0.1509
70,75,2603,47,2556,12,12,60,87,5198,0.408163,0.7252,3764.2845,25.60737755102041,-5.021609,False,17.7075,1.03,1.595,0.1729
70,80,2570,48,2522,12,12,60,87,5100,0.408163,0.7116,3730.0756,25.37466394557823,-4.972363,False,17.483,1.03,1.595,0.1985
70,85,2488,49,2439,12,12,59,88,4870,0.401361,0.6798,3602.1519,24.50443469387755,-4.796027,False,16.9252,1.03,1.595,0.2312
70,90,2202,46,2156,12,12,55,92,4248,0.37415,0.5934,3176.3251,21.6076537414966,-4.21573,False,14.9796,1.03,1.595,0.2765
70,95,1570,44,1526,12,12,54,93,2912,0.367347,0.4091,2187.4898,14.880882993197277,-2.837579,False,10.6803,1.03,1.595,0.3505
70,99,484,23,461,12,12,28,119,831,0.190476,0.1185,628.8667,4.2780047619047625,-0.765009,False,3.2925,1.03,1.595,0.5023
75,50,2352,41,2311,12,12,52,95,4720,0.353741,0.6581,3340.2883,22.723049659863946,-4.463991,False,16.0,1.09,1.675,0.0796
75,55,2363,41,2322,12,12,52,95,4738,0.353741,0.6606,3364.5788,22.888291156462582,-4.497536,False,16.0748,1.09,1.675,0.096
75,60,2379,41,2338,12,12,52,95,4767,0.353741,0.6646,3400.1653,23.13037619047619,-4.546753,False,16.1837,1.09,1.675,0.1141
75,65,2380,41,2339,12,12,52,95,4762,0.353741,0.6639,3412.9473,23.21732857142857,-4.564005,False,16.1905,1.09,1.675,0.1318
75,70,2394,41,2353,12,12,52,95,4774,0.353741,0.6656,3444.4836,23.431861224489797,-4.607243,False,16.2857,1.09,1.675,0.1509
75,75,2390,42,2348,12,12,52,95,4746,0.353741,0.6617,3450.5117,23.472868707482995,-4.614672,False,16.2585,1.09,1.675,0.1729
75,80,2359,43,2316,12,12,52,95,4659,0.353741,0.6497,3420.4547,23.26839931972789,-4.571378,False,16.0476,1.09,1.675,0.1985
75,85,2280,44,2236,12,12,51,96,4437,0.346939,0.619,3290.3296,22.383194557823128,-4.392268,False,15.5102,1.09,1.675,0.2312
75,90,2022,41,1981,12,12,47,100,3881,0.319728,0.5417,2907.0657,19.775957142857145,-3.8717,False,13.7551,1.09,1.675,0.2765
75,95,1462,38,1424,12,12,44,103,2695,0.29932,0.3777,2032.05,13.823469387755102,-2.660652,False,9.9456,1.09,1.675,0.3505
