grid_lat,grid_lon,n_compound_events_days,A_absolute_total_level_m,B_excess_over_local_datum_m,C_dimensionless_tidal_phase,D_surge_anomaly_only_m,latitude_band,abs_lat
-32.2,-51.6,431,1.3045509581585912,0.9335740690251377,0.05926966167557386,0.38254678379174756,RS,32.2
-32.0,-51.8,391,1.1713026198603766,0.7782158645846503,0.05972199228080438,0.4652738146037893,RS,32.0
-32.0,-51.6,395,1.2249623188300978,0.8638360032363783,0.06450651067957221,0.4292528157551451,RS,32.0
-32.0,-51.4,416,1.2822428769861849,0.9489273853098545,0.061219972872622326,0.379041320289827,RS,32.0
-32.0,-51.2,431,1.2827479075337922,0.96875662316337,0.06121064238525092,0.3147896435438159,RS,32.0
-31.8,-51.4,398,1.207502602832626,0.8879035227468715,0.05792352112889784,0.4397558925326753,RS,31.8
-31.8,-51.2,417,1.2731613213710078,0.9684475357226617,0.058890458829057434,0.37260335522634735,RS,31.8
-31.8,-51.0,424,1.2635956518738618,0.9652199440091005,0.0521584241768419,0.2947554802859632,RS,31.8
-31.6,-51.2,389,1.17801190185861,0.8854919867546975,0.05040233785223194,0.42719982274845103,RS,31.6
-31.6,-51.0,404,1.2465712193879162,0.9543980721863781,0.04994243081072234,0.3567191813295834,RS,31.6
-31.6,-50.8,416,1.2415934182416934,0.9497272468816775,0.04979661362367205,0.260885749827845,RS,31.6
-31.4,-50.8,364,1.2539159695566684,0.9642978112162143,0.04517058210545045,0.33648066562704826,RS,31.4
-31.4,-50.6,419,1.2347062975426066,0.943116709615742,0.0506415824374315,0.2341491306305263,RS,31.4
-31.2,-50.8,357,1.2279157845225155,0.940088912650567,0.0432736113245055,0.39161924333634923,RS,31.2
-31.2,-50.6,399,1.1938214985667763,0.9021060196696816,0.04787999512220814,0.2987942873917621,RS,31.2
-31.2,-50.4,421,1.199966991717558,0.9059656329700755,0.04654323556403452,0.209003721030028,RS,31.2
-31.0,-50.6,321,1.1926659290733925,0.8999978606644264,0.04323498918070202,0.3554696547505572,RS,31.0
-31.0,-50.4,392,1.2083572912961245,0.9134638357907534,0.04510753247146055,0.2750868974097295,RS,31.0
