grid_lat,grid_lon,i_lat,i_lon,hs_q90,ssh_total_mean,ssh_total_q90,ssh_total_anomaly_q90,ssh_total_q90_minus_mean,threshold_translation_error,catalog_thr_ssh_total_abs,catalog_ssh_total_episode_count,ssh_total_exceedance_day_count,ssh_total_anomaly_exceedance_day_count,ssh_total_episode_count,ssh_total_anomaly_episode_count,ssh_total_mask_difference_day_count,compound_day_count_raw_ssh_total,compound_day_count_ssh_total_anomaly,compound_event_count_raw_ssh_total,compound_event_count_ssh_total_anomaly,delta_ssh_total_exceedance_day_count,delta_ssh_total_episode_count,delta_compound_day_count,delta_compound_event_count,delta_catalog_vs_recomputed_ssh_total_episode_count,ssh_total_episode_count_annual_mean,ssh_total_anomaly_episode_count_annual_mean,compound_event_count_raw_ssh_total_annual_mean,compound_event_count_ssh_total_anomaly_annual_mean
-34.0,-53.0,5,10,2.72,0.411751,0.661232,0.249481,0.249481,-0.0,0.661232,531,1206,1206,531,531,0,397,397,247,247,0,0,0,0,0,16.09090909090909,16.09090909090909,7.484848484848484,7.484848484848484
-33.8,-53.4,6,8,1.7,0.475463,0.80881,0.333347,0.333347,-0.0,0.80881,624,1206,1206,624,624,0,335,335,241,241,0,0,0,0,0,18.90909090909091,18.90909090909091,7.303030303030303,7.303030303030303
-33.8,-53.2,6,9,2.12,0.462762,0.772089,0.309327,0.309327,-0.0,0.772089,601,1206,1206,601,601,0,384,384,252,252,0,0,0,0,0,18.21212121212121,18.21212121212121,7.636363636363637,7.636363636363637
-33.8,-53.0,6,10,2.49,0.441207,0.723174,0.281968,0.281968,0.0,0.723174,580,1206,1206,580,580,0,412,412,263,263,0,0,0,0,0,17.575757575757574,17.575757575757574,7.96969696969697,7.96969696969697
-33.8,-52.8,6,11,2.74,0.411251,0.670262,0.25901,0.25901,0.0,0.670262,553,1206,1206,553,553,0,415,415,264,264,0,0,0,0,0,16.757575757575758,16.757575757575758,8.0,8.0
-33.6,-53.0,7,10,1.63,0.463319,0.779094,0.315775,0.315775,0.0,0.779094,607,1206,1206,607,607,0,401,401,266,266,0,0,0,0,0,18.393939393939394,18.393939393939394,8.06060606060606,8.06060606060606
-33.6,-52.8,7,11,2.32,0.437277,0.730191,0.292914,0.292914,0.0,0.730191,585,1206,1206,585,585,0,406,406,258,258,0,0,0,0,0,17.727272727272727,17.727272727272727,7.818181818181818,7.818181818181818
-33.6,-52.6,7,12,2.68,0.404734,0.671725,0.266991,0.266991,0.0,0.671725,557,1206,1206,557,557,0,416,416,260,260,0,0,0,0,0,16.87878787878788,16.87878787878788,7.878787878787879,7.878787878787879
-33.4,-52.8,8,11,1.91,0.453273,0.778192,0.324919,0.324919,-0.0,0.778192,613,1206,1206,613,613,0,390,390,258,258,0,0,0,0,0,18.575757575757574,18.575757575757574,7.818181818181818,7.818181818181818
-33.4,-52.6,8,12,2.27,0.42467,0.719828,0.295158,0.295158,0.0,0.719828,587,1206,1206,587,587,0,405,405,258,258,0,0,0,0,0,17.78787878787879,17.78787878787879,7.818181818181818,7.818181818181818
-33.4,-52.4,8,13,2.61,0.388838,0.646401,0.257564,0.257564,0.0,0.646401,546,1206,1206,546,546,0,402,402,252,252,0,0,0,0,0,16.545454545454547,16.545454545454547,7.636363636363637,7.636363636363637
-33.2,-52.6,9,12,1.87,0.434057,0.759926,0.325868,0.325868,-0.0,0.759926,615,1206,1206,615,615,0,350,350,235,235,0,0,0,0,0,18.636363636363637,18.636363636363637,7.121212121212121,7.121212121212121
-33.2,-52.4,9,13,2.3,0.403588,0.693146,0.289558,0.289558,0.0,0.693146,579,1206,1206,579,579,0,374,374,240,240,0,0,0,0,0,17.545454545454547,17.545454545454547,7.2727272727272725,7.2727272727272725
-33.2,-52.2,9,14,2.68,0.369352,0.610924,0.241572,0.241572,0.0,0.610924,525,1206,1206,525,525,0,375,375,235,235,0,0,0,0,0,15.909090909090908,15.909090909090908,7.121212121212121,7.121212121212121
-33.0,-52.4,10,13,1.86,0.412372,0.719403,0.307031,0.307031,-0.0,0.719403,601,1206,1206,601,601,0,292,292,202,202,0,0,0,0,0,18.21212121212121,18.21212121212121,6.121212121212121,6.121212121212121
-33.0,-52.2,10,14,2.47,0.382367,0.650282,0.267915,0.267915,0.0,0.650282,559,1206,1206,559,559,0,331,331,216,216,0,0,0,0,0,16.939393939393938,16.939393939393938,6.545454545454546,6.545454545454546
-32.8,-52.4,11,13,1.84,0.412753,0.739072,0.326319,0.326319,-0.0,0.739072,610,1206,1206,610,610,0,257,257,186,186,0,0,0,0,0,18.484848484848484,18.484848484848484,5.636363636363637,5.636363636363637
-32.8,-52.2,11,14,2.16,0.390597,0.679438,0.288841,0.288841,0.0,0.679438,581,1206,1206,581,581,0,288,288,195,195,0,0,0,0,0,17.606060606060606,17.606060606060606,5.909090909090909,5.909090909090909
-32.8,-52.0,11,15,2.6,0.360128,0.612853,0.252725,0.252725,0.0,0.612853,542,1206,1206,542,542,0,327,327,218,218,0,0,0,0,0,16.424242424242426,16.424242424242426,6.606060606060606,6.606060606060606
-32.6,-52.2,12,14,2.04,0.394007,0.691841,0.297834,0.297834,0.0,0.691841,594,1206,1206,594,594,0,239,239,171,171,0,0,0,0,0,18.0,18.0,5.181818181818182,5.181818181818182
-32.6,-52.0,12,15,2.51,0.365999,0.631778,0.265779,0.265779,0.0,0.631778,564,1206,1206,564,564,0,299,299,199,199,0,0,0,0,0,17.09090909090909,17.09090909090909,6.03030303030303,6.03030303030303
-32.4,-52.2,13,14,1.88,0.392874,0.706331,0.313457,0.313457,0.0,0.706331,611,1206,1206,611,611,0,235,235,169,169,0,0,0,0,0,18.515151515151516,18.515151515151516,5.121212121212121,5.121212121212121
-32.4,-52.0,13,15,2.22,0.365514,0.649631,0.284117,0.284117,0.0,0.649631,586,1206,1206,586,586,0,293,293,201,201,0,0,0,0,0,17.757575757575758,17.757575757575758,6.090909090909091,6.090909090909091
-32.4,-51.8,13,16,2.57,0.333041,0.58972,0.256679,0.256679,0.0,0.58972,557,1206,1206,557,557,0,348,348,226,226,0,0,0,0,0,16.87878787878788,16.87878787878788,6.848484848484849,6.848484848484849
-32.2,-52.0,14,15,1.99,0.363858,0.670291,0.306434,0.306434,0.0,0.670291,617,1206,1206,617,617,0,320,320,226,226,0,0,0,0,0,18.696969696969695,18.696969696969695,6.848484848484849,6.848484848484849
-32.2,-51.8,14,16,2.21,0.335453,0.613093,0.27764,0.27764,0.0,0.613093,600,1206,1206,600,600,0,356,356,234,234,0,0,0,0,0,18.181818181818183,18.181818181818183,7.090909090909091,7.090909090909091
-32.2,-51.6,14,17,2.52,0.306985,0.551976,0.244991,0.244991,0.0,0.551976,566,1206,1206,566,566,0,384,384,242,242,0,0,0,0,0,17.151515151515152,17.151515151515152,7.333333333333333,7.333333333333333
-32.0,-51.8,15,16,1.52,0.33354,0.634263,0.300723,0.300723,0.0,0.634263,630,1206,1206,630,630,0,349,349,241,241,0,0,0,0,0,19.09090909090909,19.09090909090909,7.303030303030303,7.303030303030303
-32.0,-51.6,15,17,2.0,0.306737,0.576889,0.270151,0.270151,0.0,0.576889,610,1206,1206,610,610,0,359,359,229,229,0,0,0,0,0,18.484848484848484,18.484848484848484,6.9393939393939394,6.9393939393939394
-32.0,-51.4,15,18,2.56,0.281745,0.516691,0.234946,0.234946,-0.0,0.516691,569,1206,1206,569,569,0,381,381,235,235,0,0,0,0,0,17.242424242424242,17.242424242424242,7.121212121212121,7.121212121212121
-32.0,-51.2,15,19,2.88,0.262846,0.460872,0.198026,0.198026,0.0,0.460872,518,1206,1206,518,518,0,388,388,233,233,0,0,0,0,0,15.696969696969697,15.696969696969697,7.0606060606060606,7.0606060606060606
-31.8,-51.4,16,18,2.02,0.279879,0.553626,0.273747,0.273747,0.0,0.553626,617,1206,1206,617,617,0,369,369,238,238,0,0,0,0,0,18.696969696969695,18.696969696969695,7.212121212121212,7.212121212121212
-31.8,-51.2,16,19,2.63,0.26186,0.490965,0.229105,0.229105,0.0,0.490965,567,1206,1206,567,567,0,380,380,234,234,0,0,0,0,0,17.181818181818183,17.181818181818183,7.090909090909091,7.090909090909091
-31.8,-51.0,16,20,2.92,0.252512,0.439048,0.186536,0.186536,0.0,0.439048,502,1206,1206,502,502,0,373,373,221,221,0,0,0,0,0,15.212121212121213,15.212121212121213,6.696969696969697,6.696969696969697
-31.6,-51.2,17,19,2.03,0.263487,0.530473,0.266986,0.266986,0.0,0.530473,616,1206,1206,616,616,0,359,359,228,228,0,0,0,0,0,18.666666666666668,18.666666666666668,6.909090909090909,6.909090909090909
-31.6,-51.0,17,20,2.63,0.253907,0.471628,0.217722,0.217722,-0.0,0.471628,545,1206,1206,545,545,0,371,371,227,227,0,0,0,0,0,16.515151515151516,16.515151515151516,6.878787878787879,6.878787878787879
-31.6,-50.8,17,21,2.97,0.257119,0.424893,0.167774,0.167774,0.0,0.424893,514,1206,1206,514,514,0,360,360,220,220,0,0,0,0,0,15.575757575757576,15.575757575757576,6.666666666666667,6.666666666666667
-31.4,-50.8,18,21,2.73,0.255598,0.460676,0.205078,0.205078,0.0,0.460676,530,1206,1206,530,530,0,331,331,201,201,0,0,0,0,0,16.060606060606062,16.060606060606062,6.090909090909091,6.090909090909091
-31.4,-50.6,18,22,3.0,0.264894,0.422848,0.157954,0.157954,0.0,0.422848,531,1206,1206,531,531,0,341,341,210,210,0,0,0,0,0,16.09090909090909,16.09090909090909,6.363636363636363,6.363636363636363
-31.2,-50.8,19,21,2.41,0.259779,0.505036,0.245257,0.245257,0.0,0.505036,579,1206,1206,579,579,0,332,332,211,211,0,0,0,0,0,17.545454545454547,17.545454545454547,6.393939393939394,6.393939393939394
-31.2,-50.6,19,22,2.61,0.263489,0.453047,0.189558,0.189558,0.0,0.453047,529,1206,1206,529,529,0,367,367,222,222,0,0,0,0,0,16.03030303030303,16.03030303030303,6.7272727272727275,6.7272727272727275
-31.2,-50.4,19,23,2.93,0.274226,0.423346,0.14912,0.14912,0.0,0.423346,541,1206,1206,541,541,0,336,336,209,209,0,0,0,0,0,16.393939393939394,16.393939393939394,6.333333333333333,6.333333333333333
-31.0,-50.6,20,22,2.4,0.266958,0.488978,0.22202,0.22202,0.0,0.488978,557,1206,1206,557,557,0,305,305,195,195,0,0,0,0,0,16.87878787878788,16.87878787878788,5.909090909090909,5.909090909090909
-31.0,-50.4,20,23,2.73,0.272783,0.448415,0.175632,0.175632,0.0,0.448415,542,1206,1206,542,542,0,353,353,222,222,0,0,0,0,0,16.424242424242426,16.424242424242426,6.7272727272727275,6.7272727272727275
-31.0,-50.2,20,24,3.028,0.278993,0.424028,0.145035,0.145035,0.0,0.424028,544,1206,1206,544,544,0,326,326,205,205,0,0,0,0,0,16.484848484848484,16.484848484848484,6.212121212121212,6.212121212121212
-30.8,-50.4,21,23,2.48,0.274959,0.48453,0.209571,0.209571,0.0,0.48453,545,1206,1206,545,545,0,322,322,207,207,0,0,0,0,0,16.515151515151516,16.515151515151516,6.2727272727272725,6.2727272727272725
-30.8,-50.2,21,24,2.85,0.277117,0.447775,0.170658,0.170658,0.0,0.447775,539,1206,1206,539,539,0,352,352,222,222,0,0,0,0,0,16.333333333333332,16.333333333333332,6.7272727272727275,6.7272727272727275
-30.6,-50.4,22,23,1.94,0.279962,0.514421,0.234459,0.234459,0.0,0.514421,579,1206,1206,579,579,0,172,172,122,122,0,0,0,0,0,17.545454545454547,17.545454545454547,3.696969696969697,3.696969696969697
-30.6,-50.2,22,24,2.53,0.280635,0.482518,0.201883,0.201883,0.0,0.482518,532,1206,1206,532,532,0,313,313,198,198,0,0,0,0,0,16.12121212121212,16.12121212121212,6.0,6.0
-30.6,-50.0,22,25,2.89,0.283729,0.448779,0.16505,0.16505,-0.0,0.448779,528,1206,1206,528,528,0,344,344,216,216,0,0,0,0,0,16.0,16.0,6.545454545454546,6.545454545454546
-30.4,-50.2,23,24,2.1,0.289696,0.507896,0.2182,0.2182,-0.0,0.507896,554,1206,1206,554,554,0,217,217,152,152,0,0,0,0,0,16.78787878787879,16.78787878787879,4.606060606060606,4.606060606060606
-30.4,-50.0,23,25,2.62,0.290721,0.475719,0.184997,0.184997,-0.0,0.475719,524,1206,1206,524,524,0,335,335,210,210,0,0,0,0,0,15.878787878787879,15.878787878787879,6.363636363636363,6.363636363636363
-30.4,-49.8,23,26,2.97,0.286656,0.446608,0.159951,0.159951,0.0,0.446608,526,1206,1206,526,526,0,350,350,214,214,0,0,0,0,0,15.93939393939394,15.93939393939394,6.484848484848484,6.484848484848484
-30.2,-50.0,24,25,2.4,0.298076,0.494976,0.196899,0.196899,0.0,0.494976,531,1206,1206,531,531,0,261,261,165,165,0,0,0,0,0,16.09090909090909,16.09090909090909,5.0,5.0
-30.2,-49.8,24,26,2.8,0.292489,0.464896,0.172406,0.172406,0.0,0.464896,535,1206,1206,535,535,0,332,332,208,208,0,0,0,0,0,16.21212121212121,16.21212121212121,6.303030303030303,6.303030303030303
-30.0,-50.0,25,25,2.1,0.305578,0.517844,0.212266,0.212266,0.0,0.517844,560,1206,1206,560,560,0,191,191,131,131,0,0,0,0,0,16.96969696969697,16.96969696969697,3.9696969696969697,3.9696969696969697
-30.0,-49.8,25,26,2.64,0.298627,0.484745,0.186118,0.186118,0.0,0.484745,536,1206,1206,536,536,0,318,318,200,200,0,0,0,0,0,16.242424242424242,16.242424242424242,6.0606060606060606,6.0606060606060606
-29.8,-49.8,26,26,2.43,0.305815,0.507395,0.20158,0.20158,-0.0,0.507395,556,1206,1206,556,556,0,300,300,195,195,0,0,0,0,0,16.848484848484848,16.848484848484848,5.909090909090909,5.909090909090909
-29.8,-49.6,26,27,2.74,0.297656,0.475572,0.177916,0.177916,-0.0,0.475572,540,1206,1206,540,540,0,367,367,226,226,0,0,0,0,0,16.363636363636363,16.363636363636363,6.848484848484849,6.848484848484849
-29.6,-49.8,27,26,2.14,0.313199,0.532095,0.218897,0.218897,0.0,0.532095,572,1206,1206,572,572,0,245,245,168,168,0,0,0,0,0,17.333333333333332,17.333333333333332,5.090909090909091,5.090909090909091
-29.6,-49.6,27,27,2.58,0.303738,0.497567,0.193829,0.193829,0.0,0.497567,551,1206,1206,551,551,0,346,346,215,215,0,0,0,0,0,16.696969696969695,16.696969696969695,6.515151515151516,6.515151515151516
-29.6,-49.4,27,28,2.83,0.298082,0.468765,0.170683,0.170683,0.0,0.468765,542,1206,1206,542,542,0,387,387,233,233,0,0,0,0,0,16.424242424242426,16.424242424242426,7.0606060606060606,7.0606060606060606
-29.4,-49.6,28,27,2.348,0.312336,0.526944,0.214608,0.214608,0.0,0.526944,570,1206,1206,570,570,0,299,299,192,192,0,0,0,0,0,17.272727272727273,17.272727272727273,5.818181818181818,5.818181818181818
-29.4,-49.4,28,28,2.66,0.302562,0.490445,0.187883,0.187883,0.0,0.490445,549,1206,1206,549,549,0,377,377,231,231,0,0,0,0,0,16.636363636363637,16.636363636363637,7.0,7.0
-29.4,-49.2,28,29,2.86,0.299885,0.463402,0.163516,0.163516,0.0,0.463402,547,1206,1206,547,547,0,405,405,242,242,0,0,0,0,0,16.575757575757574,16.575757575757574,7.333333333333333,7.333333333333333
-29.2,-49.4,29,28,2.47,0.308251,0.51803,0.209779,0.209779,0.0,0.51803,565,1206,1206,565,565,0,367,367,227,227,0,0,0,0,0,17.12121212121212,17.12121212121212,6.878787878787879,6.878787878787879
-29.2,-49.2,29,29,2.7,0.30092,0.48393,0.18301,0.18301,0.0,0.48393,546,1206,1206,546,546,0,417,417,248,248,0,0,0,0,0,16.545454545454547,16.545454545454547,7.515151515151516,7.515151515151516
-29.2,-49.0,29,30,2.9,0.304258,0.459714,0.155456,0.155456,0.0,0.459714,542,1206,1206,542,542,0,407,407,243,243,0,0,0,0,0,16.424242424242426,16.424242424242426,7.363636363636363,7.363636363636363
-29.0,-49.4,30,28,2.12,0.312437,0.54999,0.237554,0.237554,0.0,0.54999,590,1206,1206,590,590,0,305,305,203,203,0,0,0,0,0,17.87878787878788,17.87878787878788,6.151515151515151,6.151515151515151
-29.0,-49.2,30,29,2.48,0.302983,0.508942,0.20596,0.20596,0.0,0.508942,558,1206,1206,558,558,0,423,423,254,254,0,0,0,0,0,16.90909090909091,16.90909090909091,7.696969696969697,7.696969696969697
-29.0,-49.0,30,30,2.72,0.302059,0.477205,0.175146,0.175146,0.0,0.477205,546,1206,1206,546,546,0,431,431,251,251,0,0,0,0,0,16.545454545454547,16.545454545454547,7.606060606060606,7.606060606060606
-29.0,-48.8,30,31,2.92,0.307875,0.458207,0.150332,0.150332,-0.0,0.458207,547,1206,1206,547,547,0,413,413,242,242,0,0,0,0,0,16.575757575757574,16.575757575757574,7.333333333333333,7.333333333333333
-29.0,-48.6,30,32,3.06,0.313659,0.447448,0.133789,0.133789,-0.0,0.447448,509,1206,1206,509,509,0,366,366,217,217,0,0,0,0,0,15.424242424242424,15.424242424242424,6.575757575757576,6.575757575757576
-28.8,-49.0,31,30,2.468,0.299803,0.51014,0.210337,0.210337,-0.0,0.51014,555,1206,1206,555,555,0,450,450,268,268,0,0,0,0,0,16.818181818181817,16.818181818181817,8.121212121212121,8.121212121212121
-28.8,-48.8,31,31,2.74,0.30255,0.477725,0.175175,0.175175,0.0,0.477725,555,1206,1206,555,555,0,441,441,258,258,0,0,0,0,0,16.818181818181817,16.818181818181817,7.818181818181818,7.818181818181818
-28.8,-48.6,31,32,2.96,0.311223,0.459467,0.148243,0.148243,0.0,0.459467,548,1206,1206,548,548,0,409,409,243,243,0,0,0,0,0,16.606060606060606,16.606060606060606,7.363636363636363,7.363636363636363
-28.8,-48.4,31,33,3.08,0.319315,0.449542,0.130227,0.130227,-0.0,0.449542,503,1206,1206,503,503,0,344,344,206,206,0,0,0,0,0,15.242424242424242,15.242424242424242,6.242424242424242,6.242424242424242
-28.6,-48.8,32,31,2.45,0.301778,0.516035,0.214258,0.214258,-0.0,0.516035,561,1206,1206,561,561,0,472,472,277,277,0,0,0,0,0,17.0,17.0,8.393939393939394,8.393939393939394
-28.6,-48.6,32,32,2.71,0.310032,0.480004,0.169972,0.169972,0.0,0.480004,555,1206,1206,555,555,0,436,436,255,255,0,0,0,0,0,16.818181818181817,16.818181818181817,7.7272727272727275,7.7272727272727275
-28.6,-48.4,32,33,2.95,0.320102,0.461786,0.141684,0.141684,0.0,0.461786,534,1206,1206,534,534,0,369,369,221,221,0,0,0,0,0,16.181818181818183,16.181818181818183,6.696969696969697,6.696969696969697
-28.4,-48.6,33,32,2.34,0.313687,0.504572,0.190885,0.190885,-0.0,0.504572,550,1206,1206,550,550,0,397,397,248,248,0,0,0,0,0,16.666666666666668,16.666666666666668,7.515151515151516,7.515151515151516
-28.4,-48.4,33,33,2.81,0.324181,0.480016,0.155835,0.155835,0.0,0.480016,563,1206,1206,563,563,0,393,393,241,241,0,0,0,0,0,17.060606060606062,17.060606060606062,7.303030303030303,7.303030303030303
-28.2,-48.6,34,32,2.14,0.321508,0.5274,0.205892,0.205892,0.0,0.5274,567,1206,1206,567,567,0,303,303,211,211,0,0,0,0,0,17.181818181818183,17.181818181818183,6.393939393939394,6.393939393939394
-28.2,-48.4,34,33,2.58,0.330421,0.499477,0.169056,0.169056,-0.0,0.499477,574,1206,1206,574,574,0,387,387,245,245,0,0,0,0,0,17.393939393939394,17.393939393939394,7.424242424242424,7.424242424242424
-28.2,-48.2,34,34,2.87,0.33789,0.483843,0.145952,0.145952,0.0,0.483843,548,1206,1206,548,548,0,359,359,220,220,0,0,0,0,0,16.606060606060606,16.606060606060606,6.666666666666667,6.666666666666667
-28.0,-48.4,35,33,2.46,0.338479,0.520857,0.182379,0.182379,-0.0,0.520857,566,1206,1206,566,566,0,368,368,243,243,0,0,0,0,0,17.151515151515152,17.151515151515152,7.363636363636363,7.363636363636363
-28.0,-48.2,35,34,2.78,0.346722,0.502951,0.156229,0.156229,0.0,0.502951,575,1206,1206,575,575,0,361,361,229,229,0,0,0,0,0,17.424242424242426,17.424242424242426,6.9393939393939394,6.9393939393939394
-27.8,-48.4,36,33,2.23,0.349189,0.544138,0.194949,0.194949,0.0,0.544138,560,1206,1206,560,560,0,312,312,220,220,0,0,0,0,0,16.96969696969697,16.96969696969697,6.666666666666667,6.666666666666667
-27.8,-48.2,36,34,2.64,0.357498,0.523793,0.166295,0.166295,0.0,0.523793,572,1206,1206,572,572,0,359,359,231,231,0,0,0,0,0,17.333333333333332,17.333333333333332,7.0,7.0
-27.6,-48.4,37,33,1.9,0.364081,0.572124,0.208043,0.208043,0.0,0.572124,564,1206,1206,564,564,0,266,266,194,194,0,0,0,0,0,17.09090909090909,17.09090909090909,5.878787878787879,5.878787878787879
-27.6,-48.2,37,34,2.55,0.371953,0.551046,0.179093,0.179093,-0.0,0.551046,577,1206,1206,577,577,0,328,328,220,220,0,0,0,0,0,17.484848484848484,17.484848484848484,6.666666666666667,6.666666666666667
-27.6,-48.0,37,35,2.81,0.372283,0.531472,0.159189,0.159189,0.0,0.531472,540,1206,1206,540,540,0,323,323,206,206,0,0,0,0,0,16.363636363636363,16.363636363636363,6.242424242424242,6.242424242424242
-27.4,-48.4,38,33,1.5,0.407039,0.627894,0.220855,0.220855,0.0,0.627894,552,1206,1206,552,552,0,214,214,163,163,0,0,0,0,0,16.727272727272727,16.727272727272727,4.9393939393939394,4.9393939393939394
-27.4,-48.2,38,34,2.5,0.3955,0.587243,0.191743,0.191743,-0.0,0.587243,570,1206,1206,570,570,0,292,292,197,197,0,0,0,0,0,17.272727272727273,17.272727272727273,5.96969696969697,5.96969696969697
-27.4,-48.0,38,35,2.77,0.388042,0.558743,0.170701,0.170701,0.0,0.558743,546,1206,1206,546,546,0,321,321,210,210,0,0,0,0,0,16.545454545454547,16.545454545454547,6.363636363636363,6.363636363636363
-27.2,-48.4,39,33,1.64,0.431888,0.663706,0.231818,0.231818,0.0,0.663706,566,1206,1206,566,566,0,191,191,149,149,0,0,0,0,0,17.151515151515152,17.151515151515152,4.515151515151516,4.515151515151516
