grid_lat,grid_lon,thr_hs_pct,thr_zos_pct,thr_hs_abs,thr_zos_abs,zos_mean,hat_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-29.2,-49.0,0.7,0.99,2.3,0.390634,0.095278,0.443349,1016,86,82,5,77,2.33,1.45,3.0,5.0,1.39,3.0,0.4033,0.6542,0.8479,0.5522,1.6035,1.8164
-29.0,-49.4,0.7,0.99,1.71,0.564854,0.092442,0.449269,1000,89,77,0,77,2.33,1.36,2.2,5.0,1.36,2.2,0.4175,0.6689,0.7675,0.5663,1.3725,2.0871
-29.0,-49.2,0.7,0.99,1.99,0.501091,0.085944,0.447561,1029,87,79,0,79,2.39,1.41,3.0,5.0,1.41,3.0,0.4273,0.7058,0.8151,0.6093,1.6564,2.2136
-29.0,-49.0,0.7,0.99,2.16,0.435328,0.088502,0.445677,1018,85,79,2,77,2.33,1.49,3.0,5.0,1.49,3.0,0.4277,0.707,0.8436,0.6147,1.5644,2.1035
-29.0,-48.8,0.7,0.99,2.29,0.378113,0.097313,0.443778,1017,86,82,7,75,2.27,1.48,3.0,5.0,1.37,3.0,0.4012,0.6573,0.8302,0.5594,1.5887,2.4503
-29.0,-48.6,0.7,0.99,2.38,0.322592,0.105334,0.442453,1005,89,84,28,56,1.7,1.52,3.25,5.0,1.36,2.25,0.3727,0.6207,0.7254,0.5106,1.1931,2.2781
-28.8,-49.0,0.7,0.99,1.94,0.506818,0.083165,0.445228,1038,86,80,0,80,2.42,1.44,3.0,5.0,1.44,3.0,0.4543,0.7367,0.8408,0.6574,1.7038,2.3011
-28.8,-48.8,0.7,0.99,2.15,0.432148,0.087761,0.444728,1018,84,78,1,77,2.33,1.51,3.0,5.0,1.51,3.0,0.4394,0.6992,0.8436,0.6448,1.7116,2.0622
-28.8,-48.6,0.7,0.99,2.3,0.361943,0.097997,0.444776,1009,86,81,10,71,2.15,1.51,3.0,5.0,1.41,3.0,0.4057,0.6655,0.7851,0.5544,1.5631,1.833
-28.8,-48.4,0.7,0.99,2.38,0.308629,0.107444,0.444843,1030,89,86,38,48,1.45,1.58,3.0,5.0,1.33,2.65,0.3406,0.599,0.6784,0.476,1.2047,2.2499
-28.6,-48.8,0.7,0.99,1.91,0.511988,0.083504,0.441854,1050,86,79,0,79,2.39,1.46,3.0,5.0,1.46,3.0,0.4874,0.7746,0.8632,0.7171,1.8354,2.4165
-28.6,-48.6,0.7,0.99,2.114,0.41232,0.091288,0.446283,1028,84,78,2,76,2.3,1.53,3.0,5.0,1.5,3.0,0.4164,0.6935,0.7783,0.6084,1.6181,1.9662
-28.6,-48.4,0.7,0.99,2.28,0.338439,0.102172,0.448277,1027,85,81,21,60,1.82,1.55,3.05,5.0,1.5,3.05,0.3854,0.6455,0.717,0.5683,1.4532,2.3787
-28.4,-48.6,0.7,0.99,1.85,0.459957,0.088191,0.447478,1040,83,73,1,72,2.18,1.51,3.0,5.0,1.51,3.0,0.3787,0.6649,0.7213,0.5838,1.4817,1.9364
-28.4,-48.4,0.7,0.99,2.17,0.375002,0.098764,0.451957,1027,83,78,7,71,2.15,1.55,3.0,5.0,1.48,3.0,0.3818,0.6713,0.7353,0.5502,1.503,1.8979
-28.2,-48.6,0.7,0.99,1.7,0.497254,0.087313,0.449557,1040,83,68,0,68,2.06,1.46,3.0,4.0,1.46,3.0,0.3652,0.6198,0.7343,0.5386,1.2111,1.7745
-28.2,-48.4,0.7,0.99,2.01,0.407737,0.096169,0.455688,1041,82,72,2,70,2.12,1.56,3.0,5.0,1.53,3.0,0.3664,0.6461,0.7836,0.5618,1.468,1.9354
