grid_lat,grid_lon,n_finite_days,hat_m,thr_hs_q50,thr_zos_q50,thr_hs_q55,thr_zos_q55,thr_hs_q60,thr_zos_q60,thr_hs_q65,thr_zos_q65,thr_hs_q70,thr_zos_q70,thr_hs_q75,thr_zos_q75,thr_hs_q80,thr_zos_q80,thr_hs_q85,thr_zos_q85,thr_hs_q90,thr_zos_q90,thr_hs_q95,thr_zos_q95,thr_hs_q99,thr_zos_q99
-32.8,-52.4,12053,0.642113,1.25,0.095302,1.3,0.119256,1.35,0.146037,1.4,0.172497,1.46,0.201637,1.53,0.235529,1.61,0.275183,1.7,0.324439,1.84,0.39022,2.07,0.498346,2.63,0.707425
-32.8,-52.2,12053,0.602867,1.45,0.094657,1.51,0.115853,1.57,0.137877,1.63,0.159849,1.71,0.183874,1.79,0.213119,1.88,0.246407,2.0,0.290344,2.16,0.350609,2.44,0.446471,3.11,0.646512
-32.8,-52.0,12053,0.555541,1.72,0.091006,1.79,0.108463,1.87,0.126469,1.95,0.145927,2.04,0.166753,2.13,0.190069,2.26,0.219855,2.4,0.256294,2.6,0.310739,2.96,0.394592,3.77,0.580579
-32.6,-52.2,12053,0.61308,1.37,0.095962,1.43,0.117952,1.48,0.141012,1.55,0.164164,1.62,0.190058,1.69,0.220612,1.78,0.254541,1.89,0.301244,2.04,0.363758,2.31,0.463376,2.93,0.666568
-32.6,-52.0,12053,0.570541,1.66,0.092227,1.73,0.110599,1.8,0.13057,1.88,0.150139,1.97,0.173833,2.06,0.198615,2.17,0.23039,2.32,0.270162,2.51,0.327647,2.85,0.417811,3.6548,0.610661
-32.4,-52.2,12053,0.612179,1.25,0.096915,1.31,0.120785,1.36,0.146131,1.42,0.171705,1.49,0.200996,1.56,0.232392,1.65,0.270564,1.75,0.320304,1.88,0.38549,2.11,0.491066,2.72,0.695739
-32.4,-52.0,12053,0.572813,1.48,0.0918,1.54,0.11326,1.61,0.134281,1.68,0.15667,1.75,0.182342,1.83,0.21015,1.93,0.243904,2.05,0.287081,2.22,0.347667,2.5,0.443922,3.17,0.64468
-32.4,-51.8,12053,0.530149,1.7,0.08246,1.78,0.10095,1.85,0.119891,1.93,0.140312,2.03,0.163864,2.12,0.18892,2.23,0.219898,2.38,0.257594,2.57,0.314133,2.92,0.401854,3.74,0.588882
-32.2,-52.0,12053,0.562711,1.32,0.094852,1.38,0.118448,1.44,0.143706,1.5,0.169744,1.57,0.199188,1.65,0.230964,1.73,0.26943,1.84,0.318088,1.99,0.383239,2.23,0.486184,2.8448,0.696337
-32.2,-51.8,12053,0.522609,1.47,0.088552,1.54,0.108609,1.6,0.131033,1.67,0.154562,1.75,0.181382,1.83,0.209051,1.92,0.243558,2.05,0.287007,2.21,0.346649,2.49,0.44376,3.13,0.640756
-32.2,-51.6,12053,0.475387,1.67,0.082082,1.75,0.099766,1.82,0.119223,1.9,0.139702,1.99,0.16294,2.08,0.188495,2.19,0.217945,2.34,0.255134,2.52,0.311231,2.844,0.398002,3.62,0.581334
-32.0,-51.8,12053,0.50218,1.01,0.09186,1.06,0.115787,1.1,0.14014,1.15,0.168436,1.2,0.196929,1.26,0.229437,1.32,0.269025,1.4,0.318319,1.52,0.383822,1.71,0.487416,2.19,0.695939
-32.0,-51.6,12053,0.460966,1.34,0.086124,1.4,0.105289,1.46,0.128228,1.52,0.152275,1.59,0.179412,1.66,0.208137,1.74,0.24172,1.86,0.285995,2.0,0.346131,2.24,0.442276,2.87,0.640666
-32.0,-51.4,12053,0.421791,1.7,0.078066,1.78,0.095401,1.85,0.114396,1.93,0.13494,2.02,0.157169,2.11,0.182744,2.22,0.211846,2.37,0.247565,2.56,0.303084,2.88,0.387839,3.6248,0.570662
-32.0,-51.2,12053,0.388714,1.9,0.072694,1.99,0.088212,2.07,0.103519,2.16,0.119756,2.25,0.13831,2.36,0.159674,2.5,0.182966,2.66,0.210702,2.88,0.254321,3.24,0.327018,4.17,0.484353
-31.8,-51.4,12053,0.402355,1.36,0.081204,1.42,0.103265,1.48,0.12591,1.54,0.152367,1.61,0.180143,1.68,0.210101,1.77,0.245604,1.88,0.291529,2.02,0.352066,2.27,0.450184,2.87,0.643971
-31.8,-51.2,12053,0.381555,1.76,0.074017,1.83,0.091806,1.91,0.110128,1.99,0.131205,2.07,0.153352,2.18,0.178551,2.29,0.208543,2.43,0.243896,2.63,0.298127,2.96,0.381514,3.72,0.55995
-31.8,-51.0,12053,0.383175,1.94,0.069826,2.02,0.084597,2.11,0.099368,2.19,0.114689,2.29,0.131925,2.4,0.152226,2.53,0.17503,2.69,0.202216,2.92,0.240462,3.28,0.307871,4.2348,0.45395
-31.6,-51.2,12053,0.376494,1.37,0.077628,1.43,0.099943,1.49,0.122668,1.55,0.149141,1.62,0.176477,1.7,0.206491,1.78,0.241943,1.89,0.286858,2.03,0.345728,2.28,0.438984,2.87,0.626257
-31.6,-51.0,12053,0.380624,1.76,0.071596,1.83,0.088321,1.91,0.106766,1.99,0.125919,2.08,0.147099,2.17,0.171758,2.29,0.198566,2.43,0.233711,2.63,0.283773,2.95,0.36195,3.75,0.533029
-31.6,-50.8,12053,0.382144,1.98,0.079045,2.06,0.092011,2.15,0.104925,2.24,0.118547,2.34,0.133065,2.45,0.151418,2.58,0.17051,2.74,0.195703,2.97,0.227201,3.33,0.286367,4.31,0.414176
-31.4,-50.8,12053,0.381983,1.84,0.075072,1.92,0.089775,2.0,0.107894,2.09,0.125452,2.18,0.145014,2.27,0.167754,2.39,0.194077,2.53,0.227611,2.73,0.272576,3.07,0.346849,3.85,0.507877
-31.4,-50.6,12053,0.38644,2.0,0.089053,2.09,0.100735,2.17,0.112166,2.26,0.125244,2.36,0.139102,2.47,0.154497,2.61,0.172536,2.77,0.195317,3.0,0.22405,3.37,0.275612,4.33,0.387117
-31.2,-50.8,12053,0.380958,1.65,0.07493,1.72,0.09478,1.78,0.117542,1.86,0.139622,1.93,0.164923,2.02,0.192093,2.12,0.225144,2.24,0.265641,2.41,0.320875,2.69,0.405318,3.3248,0.578968
-31.2,-50.6,12053,0.387122,1.78,0.082534,1.85,0.09804,1.93,0.113612,2.01,0.129425,2.09,0.146821,2.18,0.167449,2.3,0.191059,2.43,0.221652,2.61,0.259785,2.93,0.328399,3.64,0.473308
-31.2,-50.4,12053,0.39104,1.97,0.099027,2.06,0.109565,2.14,0.120529,2.23,0.131554,2.32,0.144186,2.43,0.15794,2.56,0.175171,2.72,0.19536,2.93,0.220443,3.31,0.266565,4.1748,0.364967
