rank_published,rank_without_relative_term,municipality_name,state,pop_municipality,pop_eff,Exposure_absolute,Exposure_relative,Exposure_Index,Risk_Hazard,positions_gained
170,160,Araioses,MA,38436,5200.5,0.429011,0.135303,0.240928,0.177877,10
194,185,Parnamirim,RN,252371,16558.9,0.554758,0.065613,0.190787,0.11765,9
178,169,Cândido Mendes,MA,19940,1328.1,0.280808,0.066605,0.136759,0.161167,9
29,21,Ubatuba,SP,92691,34857.8,0.635575,0.376065,0.488894,0.372571,8
146,138,Serra,ES,520895,167914.6,0.806272,0.322358,0.509812,0.216402,8
122,115,São José,SC,271013,114391.3,0.764598,0.422088,0.568091,0.248551,7
190,183,Canguaretama,RN,29258,1087.5,0.259107,0.037169,0.098137,0.12689,7
11,4,Maricá,RJ,197166,65836.2,0.704616,0.333913,0.485057,0.426837,7
77,71,Axixá,MA,12102,2808.0,0.362099,0.232028,0.289857,0.306858,6
18,12,Mostardas,RS,12037,3176.0,0.37547,0.263853,0.314752,0.402897,6
36,30,Tavares,RS,5220,796.1,0.225242,0.15251,0.185342,0.3607,6
147,141,Lauro de Freitas,BA,203236,68911.9,0.709574,0.339073,0.490507,0.2145,6
45,39,Jaguaruna,SC,20353,6723.9,0.456905,0.330364,0.388517,0.350641,6
166,161,Bacuri,MA,16318,2020.5,0.326365,0.12382,0.201024,0.182223,5
193,188,Parnaíba,PI,162156,13803.3,0.534996,0.085124,0.213403,0.118977,5
58,53,Mongaguá,SP,61689,27696.1,0.610605,0.448963,0.523583,0.333962,5
138,133,Humberto de Campos,MA,25901,4742.9,0.419011,0.183116,0.276998,0.227714,5
185,181,Santo Amaro do Maranhão,MA,13561,314.8,0.124509,0.023214,0.053761,0.134754,4
54,50,Garopaba,SC,29979,11436.8,0.514576,0.381494,0.443066,0.337077,4
85,81,Capão da Canoa,RS,63315,24681.5,0.598093,0.389821,0.482855,0.297574,4
31,27,Imbituba,SC,52489,22381.7,0.587473,0.426407,0.500503,0.371014,4
184,180,Natal,RN,751406,142714.7,0.788617,0.18993,0.387017,0.141256,4
39,36,Paranaguá,PR,145574,84817.5,0.732121,0.582642,0.653119,0.35772,3
27,24,Cabo Frio,RJ,221296,133800.4,0.781614,0.604622,0.687445,0.382092,3
9,6,Saquarema,RJ,89580,34078.0,0.633119,0.38042,0.490766,0.430434,3
59,56,Peruíbe,SP,68089,30612.8,0.621476,0.4496,0.528598,0.325475,3
153,150,Amontada,CE,41713,8124.4,0.477448,0.194769,0.304946,0.200118,3
191,189,Rio Tinto,PB,24404,1567.3,0.298788,0.064223,0.138525,0.122854,2
42,40,São Vicente,SP,328987,221981.3,0.836579,0.674742,0.751315,0.355414,2
3,1,Magé,RJ,228147,62216.9,0.698477,0.272705,0.436438,0.468027,2
149,147,Navegantes,SC,86269,29056.1,0.615809,0.336808,0.455422,0.213029,2
151,149,Paulino Neves,MA,17355,2516.2,0.350186,0.144984,0.225325,0.201468,2
70,68,Alcobaça,BA,24297,8684.4,0.484685,0.357427,0.41622,0.315952,2
72,70,Prado,BA,34522,13064.8,0.529026,0.378449,0.447447,0.314029,2
169,168,Macapá,AP,441451,142918.7,0.788772,0.323748,0.505335,0.178303,1
187,186,Camaçari,BA,300589,44085.8,0.661075,0.146665,0.311378,0.130631,1
196,196,Oiapoque,AP,27264,124.3,0.023618,0.004559,0.010377,0.071752,0
82,82,Quatipuru,PA,11238,2980.9,0.368587,0.265252,0.312679,0.301001,0
87,87,Praia Grande,SP,349895,184587.2,0.81655,0.52755,0.656332,0.294167,0
195,195,Uruçuca,BA,21444,3358.0,0.38152,0.156594,0.244425,0.108079,0
79,79,Tramandaí,RS,54404,23556.6,0.593028,0.432994,0.506732,0.305599,0
179,179,Goiana,PE,80881,19952.4,0.574999,0.246688,0.376624,0.157852,0
129,129,Igrapiúna,BA,12838,2271.6,0.339083,0.176943,0.244946,0.236491,0
157,158,Salvador,BA,2416356,1223554.9,1.0,0.506364,0.711592,0.196715,-1
1,2,São José do Norte,RS,24947,21003.5,0.580573,0.841925,0.699141,0.566342,-1
172,173,Apicum-Açu,MA,17526,3258.9,0.378268,0.185947,0.265212,0.175136,-1
161,162,Nísia Floresta,RN,31868,7665.6,0.471137,0.240542,0.336643,0.189369,-1
19,20,Angra dos Reis,RJ,166050,116465.1,0.766549,0.701386,0.733244,0.401956,-1
34,35,Itapemirim,ES,39949,19327.6,0.571544,0.483807,0.525849,0.365047,-1
75,76,Primeira Cruz,MA,13521,3601.5,0.389121,0.266363,0.321943,0.308729,-1
8,10,São Sebastião,SP,81344,50646.7,0.676138,0.622624,0.648829,0.432443,-2
5,7,Paraty,RJ,44399,23457.2,0.592569,0.528327,0.559527,0.440631,-2
133,135,Fundão,ES,17898,4410.8,0.411129,0.246441,0.318307,0.234379,-2
108,110,Magalhães Barata,PA,7974,1532.0,0.296315,0.192124,0.238599,0.263611,-2
180,182,Mataraca,PB,8343,1067.7,0.257112,0.127976,0.181395,0.157728,-2
123,125,Canavieiras,BA,32663,10617.5,0.506506,0.325062,0.405766,0.248111,-2
107,109,Bacurituba,MA,5272,663.4,0.205444,0.125835,0.160785,0.264216,-2
192,194,João Pessoa,PB,832386,335138.5,0.881306,0.402624,0.59568,0.121934,-2
32,34,Icatu,MA,24618,10838.7,0.508744,0.440275,0.473273,0.368353,-2
6,8,Guarujá,SP,287487,231730.9,0.841246,0.806057,0.823464,0.438005,-2
91,94,Casimiro de Abreu,RJ,46635,16893.5,0.55693,0.362249,0.449163,0.286142,-3
2,5,Guaraqueçaba,PR,7308,4318.4,0.408831,0.590914,0.491512,0.505445,-3
189,192,Ilha Grande,PI,9423,964.8,0.246109,0.102388,0.158741,0.127285,-3
16,19,Bertioga,SP,64183,36670.6,0.64108,0.571344,0.605208,0.406928,-3
12,15,Rio Grande,RS,190452,148524.3,0.792949,0.779852,0.786373,0.421935,-3
13,17,Palmares do Sul,RS,12857,5423.5,0.43357,0.421832,0.427661,0.418606,-4
140,144,Valença,BA,85560,36514.0,0.640615,0.426765,0.522869,0.223137,-4
57,61,São João da Barra,RJ,36489,19362.6,0.571741,0.530642,0.550808,0.334953,-4
168,172,Conde,PB,27734,6988.7,0.461099,0.25199,0.34087,0.180449,-4
113,118,Tutóia,MA,52212,21715.8,0.584194,0.415916,0.492925,0.258183,-5
78,83,Biguaçu,SC,76590,40350.3,0.651462,0.526835,0.585844,0.306858,-5
98,104,Niterói,RJ,480647,316690.0,0.875159,0.658883,0.75936,0.279088,-6
186,193,Balneário Camboriú,SC,136326,61825.8,0.697792,0.453514,0.562547,0.130837,-7
38,45,Cajapió,MA,10057,3762.4,0.393866,0.374108,0.38386,0.35798,-7
104,111,Jaguaripe,BA,17676,5654.2,0.438093,0.31988,0.374349,0.26884,-7
81,88,Santa Cruz Cabrália,BA,29244,11379.4,0.51403,0.389119,0.447235,0.302006,-7
171,178,Vitória,ES,322636,214480.8,0.832847,0.664776,0.744081,0.175936,-7
22,29,Alcântara,MA,18355,10567.7,0.505995,0.57574,0.539742,0.393562,-7
148,156,Vila Velha,ES,464614,326484.8,0.878466,0.702701,0.785684,0.213452,-8
120,128,Belmonte,BA,20092,6304.0,0.449904,0.313757,0.375713,0.249754,-8
109,117,Florianópolis,SC,536876,369250.6,0.89183,0.687776,0.783186,0.261843,-8
55,63,Macaé,RJ,245856,192370.9,0.821035,0.782454,0.801512,0.336096,-8
43,52,Balneário Rincão,SC,16025,7574.7,0.469841,0.47268,0.471259,0.353047,-9
127,136,Turiaçu,MA,37274,13302.5,0.530983,0.356884,0.435315,0.238291,-9
182,191,Itacaré,BA,27606,12884.8,0.527519,0.466739,0.4962,0.148018,-9
23,32,Balneário Pinhal,RS,14943,8493.6,0.482273,0.5684,0.523568,0.392858,-9
165,175,Marcação,PB,8751,2701.3,0.357893,0.308685,0.33238,0.184029,-10
164,174,Luís Correia,PI,30514,12014.8,0.519929,0.393747,0.452461,0.188008,-10
160,170,Itarema,CE,42857,17136.0,0.558477,0.399841,0.472549,0.191149,-10
174,184,Vigia,PA,50518,35191.1,0.636608,0.696605,0.665931,0.171897,-10
136,146,Penha,SC,33389,15401.0,0.546887,0.46126,0.502252,0.229737,-10
28,38,Raposa,MA,30845,18280.9,0.565499,0.59267,0.578925,0.373527,-10
15,25,Iguape,SP,29078,20723.6,0.579116,0.71269,0.642441,0.408137,-10
119,130,Tijucas,SC,51595,22976.4,0.59032,0.445322,0.512721,0.250529,-11
132,143,Balneário Piçarras,SC,27180,12351.7,0.522932,0.454441,0.487485,0.234542,-11
30,41,Maracanã,PA,25442,14408.6,0.539655,0.566331,0.552832,0.371047,-11
4,16,Mangaratiba,RJ,39932,34162.5,0.633387,0.855517,0.736121,0.444282,-12
83,95,Caraguatatuba,SP,134675,87958.7,0.73607,0.653118,0.693355,0.299897,-12
21,33,Guimarães,MA,10285,5767.2,0.440241,0.560739,0.49685,0.393606,-12
14,26,Arroio do Sal,RS,11070,7100.7,0.462825,0.641436,0.54486,0.41496,-12
10,23,Passo de Torres,SC,12883,9145.9,0.490307,0.70992,0.589982,0.429505,-13
139,152,Itapema,SC,75330,49681.2,0.674048,0.659514,0.666741,0.226699,-13
124,137,Conceição da Barra,ES,27366,11700.7,0.517053,0.427563,0.470184,0.245541,-13
33,46,Marapanim,PA,26801,16517.4,0.554485,0.616298,0.584575,0.365189,-13
176,190,Colares,PA,12916,7438.4,0.46787,0.575906,0.519085,0.162545,-14
66,80,São João de Pirabas,PA,20716,10117.9,0.501273,0.48841,0.494799,0.320293,-14
41,55,Cedral,MA,9914,4861.2,0.421686,0.490337,0.454718,0.356003,-14
99,113,Nilo Peçanha,BA,12345,4734.8,0.418825,0.38354,0.400795,0.274842,-14
17,31,Arraial do Cabo,RJ,30935,26032.1,0.603877,0.84151,0.712859,0.406446,-14
7,22,Balneário Gaivota,SC,15715,12272.7,0.522235,0.780955,0.638625,0.434647,-15
26,42,Laguna,SC,42793,35887.2,0.638735,0.838623,0.731887,0.38399,-16
92,108,Guarapari,ES,124017,86802.5,0.734633,0.699924,0.717069,0.285058,-16
46,62,Armação dos Búzios,RJ,39919,30382.8,0.620657,0.761111,0.687306,0.350561,-16
150,166,Amapá,AP,8065,2655.1,0.35602,0.329213,0.342354,0.204642,-16
61,78,Imbé,RS,26841,14892.4,0.543241,0.554838,0.549009,0.323694,-17
110,127,Santos,SP,418360,331392.3,0.880086,0.792122,0.834946,0.261002,-17
128,145,Maraú,BA,24460,13447.6,0.532161,0.549779,0.540898,0.237973,-17
52,69,Chaves,PA,19848,11737.6,0.517395,0.591374,0.553149,0.339802,-17
80,98,Guaratuba,PR,41972,26822.0,0.607123,0.639045,0.622879,0.304095,-18
47,66,Anchieta,ES,29477,21392.9,0.582567,0.725749,0.650229,0.349391,-19
35,54,Ilhabela,SP,34612,26324.4,0.60509,0.760557,0.678384,0.36105,-19
73,92,Rio das Ostras,RJ,155775,115664.1,0.7658,0.742507,0.754064,0.31141,-19
40,60,Marataízes,ES,41520,34979.3,0.635953,0.842469,0.731963,0.356014,-20
167,187,Cajueiro da Praia,PI,8243,5852.0,0.441826,0.709936,0.560061,0.181598,-20
76,96,Torres,RS,41671,26347.9,0.605187,0.632284,0.618587,0.307212,-20
37,58,Cidreira,RS,17037,12075.9,0.52048,0.708804,0.607387,0.360356,-21
68,89,Porto Rico do Maranhão,MA,6050,2114.9,0.331322,0.34957,0.340324,0.318293,-21
144,165,Soure,PA,24146,17497.7,0.560745,0.724662,0.637457,0.217272,-21
154,176,Tibau do Sul,RN,17601,14068.6,0.537063,0.799307,0.655193,0.200063,-22
97,119,Barra Velha,SC,45128,32621.0,0.628374,0.722855,0.673961,0.279626,-22
145,167,Pitimbu,PB,16589,11293.5,0.513207,0.680782,0.591086,0.216984,-22
69,91,São Francisco do Sul,SC,52658,36380.3,0.640217,0.690879,0.665065,0.317983,-22
44,67,Cananéia,SP,12290,7916.8,0.474637,0.644166,0.552942,0.35142,-23
117,140,Matinhos,PR,39200,28354.3,0.613155,0.723324,0.665965,0.253096,-23
20,43,Balneário Arroio do Silva,SC,15765,13398.3,0.531762,0.849876,0.672259,0.395732,-23
152,177,Senador Georgino Avelino,RN,4065,2045.7,0.32771,0.503247,0.406103,0.200653,-25
137,163,Cairu,BA,17106,15352.2,0.546543,0.897475,0.700363,0.22785,-26
49,75,Salinópolis,PA,44759,39025.9,0.647838,0.871912,0.75157,0.346147,-26
105,131,Vera Cruz,BA,42537,30538.2,0.621211,0.717921,0.667818,0.26839,-26
50,77,Xangri-lá,RS,16876,11677.9,0.516841,0.691983,0.598034,0.342145,-27
63,90,Itapoá,SC,30679,20664.0,0.578804,0.673555,0.624385,0.323122,-27
89,116,Ituberá,BA,21999,16256.0,0.552753,0.738943,0.639103,0.287083,-27
143,171,Baía da Traição,PB,9242,6928.2,0.460155,0.749643,0.587326,0.217754,-28
65,93,Governador Celso Ramos,SC,16638,10594.9,0.506274,0.636789,0.567794,0.321647,-28
84,114,Pontal do Paraná,PR,30413,29345.0,0.616884,0.964883,0.771505,0.298846,-30
121,154,Baía Formosa,RN,8817,7739.1,0.472173,0.877748,0.643777,0.249045,-33
101,134,Bombinhas,SC,24956,19346.3,0.571649,0.775216,0.665697,0.273927,-33
90,124,Piúma,ES,21986,19077.5,0.57013,0.867711,0.703355,0.28702,-34
96,132,Porto Belo,SC,27606,24723.5,0.598277,0.895584,0.731989,0.280167,-36
88,126,Balneário Barra do Sul,SC,14876,12428.6,0.523606,0.83548,0.661409,0.287834,-38
56,97,Ilha Comprida,SP,13414,13143.6,0.529679,0.979842,0.720417,0.335069,-41
