grid_lat,grid_lon,municipality,compound_count_total,production_mean_compound_intensity_norm,production_p95_compound_intensity_norm,production_max_compound_intensity_norm,global_mean_compound_intensity_norm,global_mean_compound_intensity_norm_recomputed,global_q90_compound_intensity_norm,global_q95_compound_intensity_norm,global_max_compound_intensity_norm,local_mean_compound_intensity_norm,local_q90_compound_intensity_norm,local_q95_compound_intensity_norm,local_p95_compound_intensity_norm,local_max_compound_intensity_norm,delta_mean_local_minus_global,delta_q90_local_minus_global,delta_q95_local_minus_global,delta_max_local_minus_global,delta_local_minus_global,local_hs_ref_low,local_hs_ref_high,local_ssh_ref_low,local_ssh_ref_high
-33.8,-53.4,,241,0.2619,0.4263,0.5724,0.2619,0.2619,0.3676,0.4263,0.5724,0.3701,0.6809,0.801,0.801,0.986,0.1082,0.3133,0.3747,0.4136,0.1082,1.72,2.79,0.8297,1.4439
-33.8,-53.2,,252,0.3587,0.5536,0.6375,0.3587,0.3587,0.4863,0.5536,0.6375,0.3974,0.7039,0.8017,0.8017,0.9997,0.0387,0.2176,0.2481,0.3622,0.0387,2.1455,3.51,0.79194,1.373115
-33.8,-53.0,,263,0.4259,0.5975,0.6641,0.4259,0.4259,0.5713,0.5975,0.6641,0.3794,0.681,0.7988,0.7988,1.0,-0.0465,0.1097,0.2013,0.3359,-0.0465,2.5309999999999997,4.266999999999999,0.7448400000000001,1.2841699999999998
-33.8,-52.8,,264,0.4636,0.6045,0.6432,0.4636,0.4636,0.5784,0.6045,0.6432,0.3816,0.692,0.7975,0.7975,1.0,-0.082,0.1136,0.193,0.3568,-0.082,2.8,4.7669999999999995,0.68635,1.183615
-33.6,-53.0,,266,0.2512,0.4204,0.5756,0.2512,0.2512,0.3644,0.4204,0.5756,0.3799,0.6568,0.8074,0.8074,0.9929,0.1287,0.2924,0.387,0.4173,0.1287,1.6524999999999999,2.8425000000000002,0.799975,1.38205
-33.6,-52.8,,258,0.3881,0.5758,0.6416,0.3881,0.3881,0.5332,0.5758,0.6416,0.3852,0.6971,0.8039,0.8039,0.9975,-0.0029,0.1639,0.2281,0.3559,-0.0029,2.35,3.837499999999999,0.766275,1.28681
-33.6,-52.6,,260,0.4519,0.5969,0.6409,0.4519,0.4519,0.5725,0.5969,0.6409,0.3781,0.6821,0.7994,0.7994,1.0,-0.0738,0.1096,0.2025,0.3591,-0.0738,2.76,4.62,0.689645,1.1799849999999998
-33.4,-52.8,,258,0.3132,0.4737,0.6154,0.3132,0.3132,0.4362,0.4737,0.6154,0.3832,0.6973,0.7989,0.7989,0.9834,0.07,0.2611,0.3252,0.368,0.07,1.95,3.243,0.8065,1.3734849999999998
-33.4,-52.6,,258,0.376,0.5609,0.6259,0.376,0.376,0.5203,0.5609,0.6259,0.3757,0.6708,0.7972,0.7972,0.986,-0.0003,0.1505,0.2363,0.3601,-0.0003,2.3185,3.8529999999999998,0.75835,1.258465
-33.4,-52.4,,252,0.4264,0.5837,0.6289,0.4264,0.4264,0.5554,0.5837,0.6289,0.3675,0.6705,0.7845,0.7845,1.0,-0.0589,0.1151,0.2008,0.3711,-0.0589,2.68,4.3845,0.673725,1.149125
-33.2,-52.6,,235,0.2932,0.4409,0.6005,0.2932,0.2932,0.4048,0.4409,0.6005,0.3845,0.6857,0.7911,0.7911,0.9606,0.0913,0.2809,0.3502,0.3601,0.0913,1.9,3.0889999999999995,0.78544,1.3437899999999996
-33.2,-52.4,,240,0.3685,0.5535,0.6091,0.3685,0.3685,0.5036,0.5535,0.6091,0.3706,0.676,0.7744,0.7744,0.9791,0.0021,0.1724,0.2209,0.37,0.0021,2.3394999999999997,3.8009999999999993,0.719575,1.2351149999999997
-33.2,-52.2,,235,0.4267,0.5705,0.6215,0.4267,0.4267,0.5521,0.5705,0.6215,0.3672,0.6697,0.7725,0.7725,1.0,-0.0595,0.1176,0.202,0.3785,-0.0595,2.717,4.505999999999999,0.6283,1.10965
-33.0,-52.4,,202,0.2745,0.4271,0.5733,0.2745,0.2745,0.3714,0.4271,0.5733,0.3659,0.6656,0.7446,0.7446,0.937,0.0914,0.2942,0.3175,0.3637,0.0914,1.9,2.9984999999999995,0.74294,1.3148149999999998
-33.0,-52.2,,216,0.3937,0.5579,0.6282,0.3937,0.3937,0.5293,0.5579,0.6282,0.3648,0.6727,0.767,0.767,0.9961,-0.0289,0.1434,0.2091,0.3679,-0.0289,2.51,4.1025,0.67105,1.187425
-32.8,-52.4,,186,0.2697,0.4065,0.5278,0.2697,0.2697,0.3706,0.4065,0.5278,0.3565,0.6554,0.7245,0.7245,0.8944,0.0868,0.2848,0.318,0.3666,0.0868,1.87,2.9975,0.7577499999999999,1.3337750000000002
-32.8,-52.2,,195,0.3307,0.5031,0.5973,0.3307,0.3307,0.4445,0.5031,0.5973,0.3676,0.6584,0.7651,0.7651,0.97,0.0369,0.2139,0.262,0.3727,0.0369,2.18,3.5339999999999985,0.6950999999999999,1.24687
-32.8,-52.0,,218,0.4114,0.5694,0.6175,0.4114,0.4114,0.5395,0.5694,0.6175,0.3636,0.6818,0.772,0.772,1.0,-0.0478,0.1423,0.2026,0.3825,-0.0478,2.64,4.320499999999998,0.6281749999999999,1.1335199999999999
-32.6,-52.2,,171,0.3061,0.4639,0.5763,0.3061,0.3061,0.4145,0.4639,0.5763,0.3529,0.6384,0.7299,0.7299,0.9003,0.0468,0.2239,0.266,0.324,0.0468,2.07,3.375,0.71305,1.2724
-32.6,-52.0,,199,0.4014,0.5639,0.6221,0.4014,0.4014,0.5343,0.5639,0.6221,0.3559,0.6485,0.7874,0.7874,0.9781,-0.0455,0.1142,0.2235,0.356,-0.0455,2.57,4.294,0.6525700000000001,1.1725299999999999
-32.4,-52.2,,169,0.2737,0.4239,0.5538,0.2737,0.2737,0.3838,0.4239,0.5538,0.3565,0.6614,0.7131,0.7131,0.8566,0.0828,0.2776,0.2892,0.3028,0.0828,1.91,3.091999999999999,0.7327,1.28438
-32.4,-52.0,,201,0.3362,0.5158,0.6029,0.3362,0.3362,0.4713,0.5158,0.6029,0.3502,0.6429,0.7765,0.7765,0.9476,0.014,0.1716,0.2607,0.3447,0.014,2.27,3.7,0.6787,1.2019
-32.4,-51.8,,226,0.4043,0.5695,0.6142,0.4043,0.4043,0.5353,0.5695,0.6142,0.3717,0.6782,0.8091,0.8091,1.0,-0.0326,0.1429,0.2396,0.3858,-0.0326,2.6,4.29,0.6089249999999999,1.1133250000000001
-32.2,-52.0,,226,0.2907,0.4588,0.5802,0.2907,0.2907,0.4168,0.4588,0.5802,0.3548,0.6551,0.7756,0.7756,0.9495,0.0641,0.2383,0.3168,0.3693,0.0641,2.0025,3.36,0.703325,1.231475
-32.2,-51.8,,234,0.3307,0.5155,0.604,0.3307,0.3307,0.4559,0.5155,0.604,0.3565,0.6559,0.7658,0.7658,0.9545,0.0258,0.2,0.2503,0.3505,0.0258,2.24,3.78,0.641255,1.15231
-32.2,-51.6,,242,0.384,0.5448,0.6144,0.384,0.384,0.5188,0.5448,0.6144,0.3693,0.6589,0.7935,0.7935,1.0,-0.0147,0.1401,0.2487,0.3856,-0.0147,2.5505,4.2485,0.571765,1.050055
-32.0,-51.8,,241,0.1813,0.3174,0.476,0.1813,0.1813,0.2802,0.3174,0.476,0.3624,0.6638,0.7556,0.7556,1.0,0.1811,0.3836,0.4382,0.524,0.1811,1.55,2.59,0.6611,1.1747
-32.0,-51.6,,229,0.2795,0.4325,0.604,0.2795,0.2795,0.4072,0.4325,0.604,0.3732,0.6562,0.7834,0.7834,0.9878,0.0937,0.249,0.3509,0.3838,0.0937,2.04,3.388,0.60176,1.0948
-32.0,-51.4,,235,0.3851,0.5553,0.6105,0.3851,0.3851,0.5148,0.5553,0.6105,0.3771,0.6834,0.8411,0.8411,1.0,-0.008,0.1686,0.2858,0.3895,-0.008,2.6069999999999998,4.23,0.53955,0.9939199999999998
-32.0,-51.2,,233,0.432,0.5487,0.5896,0.432,0.432,0.5329,0.5487,0.5896,0.3859,0.7069,0.8277,0.8277,1.0,-0.0461,0.174,0.279,0.4104,-0.0461,2.922,4.803999999999999,0.4727,0.8661599999999998
-31.8,-51.4,,238,0.2752,0.4361,0.6031,0.2752,0.2752,0.4077,0.4361,0.6031,0.3735,0.6752,0.8304,0.8304,1.0,0.0983,0.2675,0.3943,0.3969,0.0983,2.0585,3.3514999999999997,0.582195,1.06344
-31.8,-51.2,,234,0.3922,0.5607,0.6088,0.3922,0.3922,0.5201,0.5607,0.6088,0.3871,0.7031,0.8472,0.8472,1.0,-0.0051,0.183,0.2865,0.3912,-0.0051,2.66,4.327999999999999,0.51542,0.94601
-31.8,-51.0,,221,0.4378,0.5431,0.5806,0.4378,0.4378,0.5284,0.5431,0.5806,0.3899,0.7264,0.857,0.857,1.0,-0.0479,0.198,0.3139,0.4194,-0.0479,2.98,4.87,0.4553,0.8108
-31.6,-51.2,,228,0.2698,0.4251,0.595,0.2698,0.2698,0.3869,0.4251,0.595,0.3891,0.6924,0.873,0.873,1.0,0.1193,0.3055,0.4479,0.405,0.1193,2.06,3.265999999999999,0.56075,1.01205
-31.6,-51.0,,227,0.3859,0.5503,0.6016,0.3859,0.3859,0.5105,0.5503,0.6016,0.387,0.6932,0.8812,0.8812,1.0,0.0011,0.1827,0.3309,0.3984,0.0011,2.6630000000000003,4.33,0.49133,0.89921
-31.6,-50.8,,220,0.4358,0.5342,0.569,0.4358,0.4358,0.5166,0.5342,0.569,0.3832,0.7238,0.8759,0.8759,1.0,-0.0526,0.2072,0.3417,0.431,-0.0526,3.0,4.9704999999999995,0.434265,0.75691
-31.4,-50.8,,201,0.4064,0.5539,0.5951,0.4064,0.4064,0.515,0.5539,0.5951,0.3861,0.7036,0.8743,0.8743,1.0,-0.0203,0.1886,0.3204,0.4049,-0.0203,2.8,4.47,0.493,0.8693
-31.4,-50.6,,210,0.4423,0.5267,0.5617,0.4423,0.4423,0.5141,0.5267,0.5617,0.3797,0.7109,0.8401,0.8401,1.0,-0.0626,0.1968,0.3134,0.4383,-0.0626,3.0444999999999998,5.116499999999996,0.43374,0.727545
-31.2,-50.8,,211,0.3464,0.5222,0.5771,0.3464,0.3464,0.489,0.5222,0.5771,0.3889,0.6835,0.8424,0.8424,0.9954,0.0425,0.1945,0.3202,0.4183,0.0425,2.4450000000000003,3.92,0.52655,0.9531000000000001
-31.2,-50.6,,222,0.3765,0.5309,0.5766,0.3765,0.3765,0.5,0.5309,0.5766,0.3749,0.6853,0.8429,0.8429,1.0,-0.0016,0.1853,0.312,0.4234,-0.0016,2.67,4.327999999999999,0.46682999999999997,0.820755
-31.2,-50.4,,209,0.4295,0.5212,0.5512,0.4295,0.4295,0.5074,0.5212,0.5512,0.3728,0.7104,0.8398,0.8398,1.0,-0.0567,0.203,0.3186,0.4488,-0.0567,2.98,4.949999999999999,0.43086,0.7036399999999999
-31.0,-50.6,,195,0.3317,0.5201,0.5658,0.3317,0.3317,0.4664,0.5201,0.5658,0.3597,0.6783,0.8048,0.8048,0.9678,0.028,0.2119,0.2847,0.402,0.028,2.44,4.0,0.5045700000000001,0.92031
-31.0,-50.4,,222,0.3942,0.5315,0.5718,0.3942,0.3942,0.5044,0.5315,0.5718,0.3657,0.6786,0.8266,0.8266,1.0,-0.0285,0.1742,0.2951,0.4282,-0.0285,2.79,4.494999999999999,0.45793999999999996,0.802115
-31.0,-50.2,,205,0.4433,0.5186,0.5464,0.4433,0.4433,0.5073,0.5186,0.5464,0.3643,0.6945,0.8035,0.8035,1.0,-0.079,0.1872,0.2849,0.4536,-0.079,3.11,5.15,0.4359,0.6949399999999999
-30.8,-50.4,,207,0.3451,0.5183,0.5607,0.3451,0.3451,0.4816,0.5183,0.5607,0.356,0.6506,0.7928,0.7928,0.9563,0.0109,0.169,0.2745,0.3956,0.0109,2.51,4.109999999999998,0.49773999999999996,0.90383
-30.8,-50.2,,222,0.4147,0.5323,0.5752,0.4147,0.4147,0.5133,0.5323,0.5752,0.3611,0.685,0.794,0.794,0.9999,-0.0536,0.1717,0.2617,0.4247,-0.0536,2.92,4.716999999999999,0.460345,0.788195
-30.6,-50.4,,122,0.231,0.3827,0.5143,0.231,0.231,0.3515,0.3827,0.5143,0.3724,0.6761,0.7719,0.7719,0.8984,0.1414,0.3246,0.3892,0.3841,0.1414,1.95,3.14,0.53172,0.946495
-30.6,-50.2,,198,0.3546,0.5224,0.5549,0.3546,0.3546,0.488,0.5224,0.5549,0.3719,0.6572,0.7821,0.7821,0.945,0.0173,0.1692,0.2597,0.3901,0.0173,2.56,4.037499999999999,0.49844499999999997,0.88176
-30.6,-50.0,,216,0.4229,0.5278,0.5675,0.4229,0.4229,0.5128,0.5278,0.5675,0.3693,0.6898,0.7762,0.7762,0.999,-0.0536,0.177,0.2484,0.4315,-0.0536,2.96,4.7875,0.45835,0.764925
-30.4,-50.2,,152,0.258,0.4022,0.5424,0.258,0.258,0.3569,0.4022,0.5424,0.3676,0.6745,0.757,0.757,0.9453,0.1096,0.3176,0.3548,0.4029,0.1096,2.1155,3.2744999999999997,0.532635,0.9242149999999999
-30.4,-50.0,,210,0.3711,0.5222,0.5725,0.3711,0.3711,0.5,0.5222,0.5725,0.3641,0.6726,0.757,0.757,0.952,-0.007,0.1726,0.2348,0.3795,-0.007,2.67,4.1855,0.49064,0.8555149999999999
-30.4,-49.8,,214,0.4353,0.529,0.5635,0.4353,0.4353,0.5171,0.529,0.5635,0.3737,0.6898,0.7821,0.7821,1.0,-0.0616,0.1727,0.2531,0.4365,-0.0616,3.01,4.9605,0.45685,0.747505
-30.2,-50.0,,165,0.3289,0.4984,0.553,0.3289,0.3289,0.4427,0.4984,0.553,0.3778,0.6712,0.7741,0.7741,0.9923,0.0489,0.2285,0.2757,0.4393,0.0489,2.45,3.7559999999999993,0.51244,0.8959
-30.2,-49.8,,208,0.4069,0.5293,0.5778,0.4069,0.4069,0.5124,0.5293,0.5778,0.3629,0.6588,0.7486,0.7486,1.0,-0.044,0.1464,0.2193,0.4222,-0.044,2.8635,4.587499999999997,0.47634,0.8078249999999997
-30.0,-50.0,,131,0.2627,0.3971,0.5409,0.2627,0.2627,0.354,0.3971,0.5409,0.3869,0.6853,0.7658,0.7658,0.9421,0.1242,0.3313,0.3687,0.4012,0.1242,2.13,3.1950000000000003,0.5267,0.93355
-30.0,-49.8,,200,0.3783,0.5268,0.5886,0.3783,0.3783,0.5082,0.5268,0.5886,0.3631,0.6669,0.7812,0.7812,1.0,-0.0152,0.1587,0.2544,0.4114,-0.0152,2.69,4.2909999999999995,0.502375,0.8541449999999998
-29.8,-49.8,,195,0.3391,0.5065,0.5609,0.3391,0.3391,0.4682,0.5065,0.5609,0.3742,0.6741,0.7898,0.7898,1.0,0.0351,0.2059,0.2833,0.4391,0.0351,2.477,3.851999999999999,0.52308,0.8999199999999998
-29.8,-49.6,,226,0.3984,0.5277,0.5844,0.3984,0.3984,0.5111,0.5277,0.5844,0.3571,0.659,0.7653,0.7653,1.0,-0.0413,0.1479,0.2376,0.4156,-0.0413,2.8,4.595,0.484425,0.826075
-29.6,-49.8,,168,0.2769,0.4066,0.5455,0.2769,0.2769,0.3734,0.4066,0.5455,0.3699,0.6771,0.7413,0.7413,0.9636,0.093,0.3037,0.3347,0.4181,0.093,2.1835,3.333,0.5546800000000001,0.95314
-29.6,-49.6,,215,0.3713,0.5262,0.5681,0.3713,0.3713,0.5071,0.5262,0.5681,0.3719,0.6836,0.8024,0.8024,0.9907,0.0006,0.1765,0.2762,0.4226,0.0006,2.65,4.096999999999999,0.5147,0.8732
-29.6,-49.4,,233,0.4146,0.5279,0.5802,0.4146,0.4146,0.5128,0.5279,0.5802,0.3563,0.6837,0.7677,0.7677,1.0,-0.0583,0.1709,0.2398,0.4198,-0.0583,2.9,4.749999999999999,0.48042,0.7999399999999999
-29.4,-49.6,Passo de Torres,192,0.3227,0.4654,0.5681,0.3227,0.3227,0.444,0.4654,0.5681,0.3812,0.6668,0.7916,0.7916,0.9925,0.0585,0.2228,0.3262,0.4244,0.0585,2.4,3.6979999999999995,0.54516,0.9104099999999999
-29.4,-49.4,,231,0.3834,0.528,0.5777,0.3834,0.3834,0.5088,0.528,0.5777,0.3698,0.6789,0.7911,0.7911,0.9841,-0.0136,0.1701,0.2631,0.4064,-0.0136,2.7,4.27,0.5026999999999999,0.85245
-29.4,-49.2,,242,0.4217,0.526,0.5781,0.4217,0.4217,0.5115,0.526,0.5781,0.3537,0.6713,0.7431,0.7431,1.0,-0.068,0.1598,0.2171,0.4219,-0.068,2.97,4.844999999999999,0.47190499999999996,0.7769699999999999
-29.2,-49.4,Balneário Gaivota,227,0.3445,0.5025,0.5675,0.3445,0.3445,0.4826,0.5025,0.5675,0.3638,0.6658,0.787,0.787,0.9871,0.0193,0.1832,0.2845,0.4196,0.0193,2.51,3.937,0.52941,0.9118699999999998
-29.2,-49.2,,248,0.3943,0.5265,0.5922,0.3943,0.3943,0.5113,0.5265,0.5922,0.3559,0.6693,0.7757,0.7757,0.9963,-0.0384,0.158,0.2492,0.4041,-0.0384,2.7735,4.443,0.49717,0.83851
-29.2,-49.0,,243,0.4308,0.5272,0.5752,0.4308,0.4308,0.5153,0.5272,0.5752,0.3565,0.6782,0.7355,0.7355,1.0,-0.0743,0.1629,0.2083,0.4248,-0.0743,3.0109999999999997,4.962999999999998,0.47072,0.7580699999999999
-29.0,-49.4,Balneário Arroio do Silva,203,0.2749,0.4371,0.5582,0.2749,0.2749,0.3834,0.4371,0.5582,0.357,0.6711,0.7214,0.7214,1.0,0.0821,0.2877,0.2843,0.4418,0.0821,2.15,3.4,0.5635600000000001,0.9669599999999999
-29.0,-49.2,Içara/Balneário Rincão,254,0.3479,0.5108,0.567,0.3479,0.3479,0.4849,0.5108,0.567,0.3654,0.6779,0.7674,0.7674,0.9998,0.0175,0.193,0.2566,0.4328,0.0175,2.5265,3.9444999999999997,0.519365,0.89934
-29.0,-49.0,,251,0.4026,0.5246,0.5893,0.4026,0.4026,0.5118,0.5246,0.5893,0.3677,0.6851,0.7742,0.7742,1.0,-0.0349,0.1733,0.2496,0.4107,-0.0349,2.795,4.535,0.49165000000000003,0.8133
-29.0,-48.8,,242,0.4342,0.5252,0.5706,0.4342,0.4342,0.515,0.5252,0.5706,0.3598,0.6956,0.7649,0.7649,1.0,-0.0744,0.1806,0.2397,0.4294,-0.0744,3.0305,5.016999999999999,0.46763,0.735515
-29.0,-48.6,,217,0.4532,0.515,0.5469,0.4532,0.4532,0.508,0.515,0.5469,0.358,0.6549,0.7442,0.7442,1.0,-0.0952,0.1469,0.2292,0.4531,-0.0952,3.118,5.385999999999999,0.45554,0.6985799999999999
-28.8,-49.0,,268,0.3498,0.517,0.5688,0.3498,0.3498,0.4909,0.517,0.5688,0.366,0.6726,0.7591,0.7591,1.0,0.0162,0.1817,0.2421,0.4312,0.0162,2.53,3.9865,0.5168400000000001,0.9047399999999999
-28.8,-48.8,,258,0.4098,0.528,0.5876,0.4098,0.4098,0.5136,0.528,0.5876,0.3734,0.6875,0.7694,0.7694,1.0,-0.0364,0.1739,0.2414,0.4124,-0.0364,2.83,4.5915,0.48837,0.80462
-28.8,-48.6,,243,0.4433,0.5241,0.5641,0.4433,0.4433,0.5153,0.5241,0.5641,0.3753,0.6934,0.7887,0.7887,1.0,-0.068,0.1781,0.2646,0.4359,-0.068,3.0509999999999997,5.126999999999999,0.46507000000000004,0.71589
-28.8,-48.4,,206,0.4577,0.5133,0.5383,0.4577,0.4577,0.5056,0.5133,0.5383,0.3607,0.6699,0.7577,0.7577,1.0,-0.097,0.1643,0.2444,0.4617,-0.097,3.165,5.425,0.454125,0.6862250000000001
-28.6,-48.8,Laguna,277,0.3517,0.5251,0.5704,0.3517,0.3517,0.4901,0.5251,0.5704,0.3651,0.6818,0.7791,0.7791,1.0,0.0134,0.1917,0.254,0.4296,0.0134,2.5,4.057999999999999,0.53308,0.90704
-28.6,-48.6,,255,0.3997,0.5239,0.5807,0.3997,0.3997,0.511,0.5239,0.5807,0.3829,0.6877,0.7873,0.7873,1.0,-0.0168,0.1767,0.2634,0.4193,-0.0168,2.77,4.473999999999998,0.48687,0.7816399999999999
-28.6,-48.4,,221,0.442,0.5202,0.5537,0.442,0.442,0.5135,0.5202,0.5537,0.3776,0.6739,0.7935,0.7935,1.0,-0.0644,0.1604,0.2733,0.4463,-0.0644,3.01,5.08,0.4712,0.7078
-28.4,-48.6,,248,0.3142,0.4795,0.5455,0.3142,0.3142,0.4367,0.4795,0.5455,0.3774,0.6801,0.7832,0.7832,1.0,0.0632,0.2434,0.3037,0.4545,0.0632,2.37,3.715999999999999,0.51257,0.8413599999999999
-28.4,-48.4,,241,0.4162,0.5248,0.5692,0.4162,0.4162,0.5128,0.5248,0.5692,0.3822,0.6886,0.8057,0.8057,1.0,-0.034,0.1758,0.2809,0.4308,-0.034,2.87,4.62,0.4904,0.7441
-28.2,-48.6,Imbituba,211,0.2686,0.4039,0.5509,0.2686,0.2686,0.3598,0.4039,0.5509,0.3657,0.6667,0.7135,0.7135,0.9188,0.0971,0.3069,0.3096,0.3679,0.0971,2.16,3.33,0.5408999999999999,0.898
