grid_lat,grid_lon,compound_count_total,mean_integrated_severity,compound_count_annual_mean,mean_overlap_duration,mean_full_criterion_duration,mean_compound_intensity_norm,thr_hs_abs,thr_zos_abs,hat_m,Hazard_Frequency,Hazard_Severity,Hazard_Index,Hazard_Index_raw
-33.400002,-52.600006,94,0.680300,2.850000,1.260000,1.260000,0.510200,1.760000,0.673067,0.642206,0.949495,0.680300,0.814897,0.814897
-33.400002,-52.399994,90,0.713700,2.730000,1.330000,1.330000,0.514400,2.010000,0.586635,0.587714,0.909091,0.713700,0.811395,0.811395
-33.200001,-52.600006,96,0.587300,2.910000,1.210000,1.210000,0.463700,1.480000,0.723451,0.663173,0.969697,0.587300,0.778498,0.778498
-33.200001,-52.399994,93,0.643600,2.820000,1.260000,1.260000,0.484300,1.790000,0.649575,0.613792,0.939394,0.643600,0.791497,0.791497
-33.200001,-52.200012,87,0.679300,2.640000,1.370000,1.340000,0.490900,2.070000,0.563346,0.559928,0.878788,0.679300,0.779044,0.779044
-33.000000,-52.399994,96,0.510900,2.910000,1.170000,1.170000,0.407100,1.480000,0.682233,0.633565,0.969697,0.510900,0.740298,0.740298
-33.000000,-52.200012,91,0.620700,2.760000,1.310000,1.300000,0.463400,1.930000,0.612138,0.586189,0.919192,0.620700,0.769946,0.769946
-32.799999,-52.399994,92,0.512900,2.790000,1.170000,1.170000,0.408400,1.460000,0.707425,0.642113,0.929293,0.512900,0.721096,0.721096
-32.799999,-52.200012,92,0.534400,2.790000,1.210000,1.200000,0.419900,1.710000,0.646512,0.602867,0.929293,0.534400,0.731846,0.731846
-32.799999,-52.000000,90,0.620500,2.730000,1.320000,1.320000,0.461100,2.040000,0.580579,0.555541,0.909091,0.620500,0.764795,0.764795
-32.599998,-52.200012,87,0.491100,2.640000,1.170000,1.170000,0.397100,1.620000,0.666568,0.613080,0.878788,0.491100,0.684944,0.684944
-32.599998,-52.000000,92,0.581400,2.790000,1.250000,1.250000,0.453100,1.970000,0.610661,0.570541,0.929293,0.581400,0.755346,0.755346
-32.400002,-52.200012,81,0.493100,2.450000,1.160000,1.160000,0.400300,1.490000,0.695739,0.612179,0.818182,0.493100,0.655641,0.655641
-32.400002,-52.000000,88,0.582200,2.670000,1.260000,1.260000,0.444600,1.750000,0.644680,0.572813,0.888889,0.582200,0.735544,0.735544
-32.400002,-51.799988,91,0.643000,2.760000,1.300000,1.300000,0.480100,2.030000,0.588882,0.530149,0.919192,0.643000,0.781096,0.781096
-32.200001,-52.000000,91,0.595500,2.760000,1.210000,1.210000,0.469700,1.570000,0.696337,0.562711,0.919192,0.595500,0.757346,0.757346
-32.200001,-51.799988,93,0.638000,2.820000,1.270000,1.270000,0.483900,1.750000,0.640756,0.522609,0.939394,0.638000,0.788697,0.788697
