rank,thr_hs_pct,thr_ssh_pct,H,M,U,R_pos,B,F_soft,Score
45,0.8,0.55,37,19,4831,0.6607,1.0,3664.7222,-12.891865
46,0.55,0.8,47,9,4990,0.8393,1.0,3779.0073,-13.192883
47,0.75,0.65,39,17,4960,0.6964,1.0,3760.69,-13.213179
48,0.65,0.75,43,13,5074,0.7679,1.0,3852.4414,-13.498005
49,0.8,0.5,37,19,5114,0.6607,1.0,3881.7946,-13.667124
50,0.5,0.8,47,9,5181,0.8393,1.0,3913.4485,-13.67303
51,0.7,0.7,39,17,5163,0.6964,1.0,3922.5947,-13.79141
52,0.75,0.6,39,17,5263,0.6964,1.0,3985.0363,-14.014415
53,0.6,0.75,46,10,5459,0.8214,1.0,4146.6381,-14.516565
54,0.75,0.55,39,17,5569,0.6964,1.0,4215.3987,-14.837138
55,0.7,0.65,41,15,5587,0.7321,1.0,4235.4669,-14.887382
56,0.55,0.75,47,9,5672,0.8393,1.0,4293.9891,-15.032104
57,0.65,0.7,43,13,5642,0.7679,1.0,4286.4614,-15.048076
58,0.5,0.75,47,9,5903,0.8393,1.0,4462.6665,-15.634523
59,0.75,0.5,39,17,5907,0.6964,1.0,4475.9988,-15.767853
60,0.7,0.6,41,15,5938,0.7321,1.0,4499.2257,-15.829377
61,0.6,0.7,46,10,6032,0.8214,1.0,4575.2879,-16.047457
62,0.65,0.65,45,11,6123,0.8036,1.0,4644.4468,-16.305167
63,0.7,0.55,41,15,6261,0.7321,1.0,4740.3569,-16.69056
64,0.55,0.7,47,9,6290,0.8393,1.0,4761.897,-16.703204
65,0.5,0.7,47,9,6511,0.8393,1.0,4918.7721,-17.263472
66,0.65,0.6,45,11,6518,0.8036,1.0,4943.13,-17.371893
67,0.6,0.65,48,8,6551,0.8571,1.0,4960.9599,-17.403428
68,0.7,0.5,41,15,6617,0.7321,1.0,5011.5063,-17.658951
69,0.55,0.65,49,7,6770,0.875,1.0,5109.5415,-17.923363
70,0.65,0.55,45,11,6856,0.8036,1.0,5192.4135,-18.262191
71,0.6,0.6,48,8,6944,0.8571,1.0,5252.5798,-18.444928
72,0.5,0.65,49,7,6984,0.875,1.0,5261.5237,-18.466156
73,0.55,0.6,49,7,7196,0.875,1.0,5428.9865,-19.064238
74,0.65,0.5,45,11,7228,0.8036,1.0,5472.9707,-19.264181
75,0.6,0.55,48,8,7274,0.8571,1.0,5494.5657,-19.309163
76,0.5,0.6,49,7,7444,0.875,1.0,5611.5742,-19.716336
77,0.55,0.55,49,7,7518,0.875,1.0,5666.6797,-19.913142
78,0.6,0.5,48,8,7637,0.8571,1.0,5767.0265,-20.282238
79,0.5,0.55,49,7,7775,0.875,1.0,5857.8389,-20.595853
80,0.55,0.5,49,7,7912,0.875,1.0,5969.9156,-20.996127
81,0.5,0.5,49,7,8139,0.875,1.0,6132.3389,-21.57621
