event_idx,disaster_id,municipality,date,thr_hs_pct,thr_ssh_pct,captured,lag_from_event_day,hs_at_capture,ssh_total_at_capture,capture_time,n_admissible,n_compound,coastal_sector
53,44,Navegantes,2017-09-16,0.5,0.5,True,0.0,1.8799999952316284,0.5290719270706177,2017-09-16,4,2,Central-north
54,45,Balneário Barra do Sul,2017-09-18,0.5,0.5,True,-2.0,1.7300000190734863,0.5864969491958618,2017-09-16,4,4,North
55,46,Itapema,2017-09-30,0.5,0.5,False,,,,,4,0,Central-north
56,47,Garopaba,2017-10-01,0.5,0.5,False,,,,,4,0,Central-south
57,48,São Francisco do Sul,2017-10-07,0.5,0.5,True,-2.0,0.8799999952316284,0.7588544823229313,2017-10-05,4,3,North
58,49,Bombinhas,2017-12-10,0.5,0.5,False,,,,,4,0,Central-north
59,50,São Francisco do Sul,2017-12-11,0.5,0.5,False,,,,,4,0,North
60,51,Araquari,2017-12-17,0.5,0.5,True,1.0,1.5,0.6768755912780762,2017-12-18,4,1,North
61,52,Porto Belo,2018-04-14,0.5,0.5,True,-1.0,1.3299999237060547,0.5338769853115082,2018-04-13,4,3,Central-north
62,53,Itapoá,2018-05-21,0.5,0.5,True,-2.0,0.8899999856948853,0.7565028965473175,2018-05-19,4,3,North
63,54,Itapoá,2018-06-15,0.5,0.5,True,-1.0,1.0799999237060547,1.1304882168769836,2018-06-14,4,3,North
64,55,Balneário Barra do Sul,2018-07-07,0.5,0.5,True,-2.0,1.2699999809265137,0.6115604937076569,2018-07-05,4,1,North
65,56,Balneário Camboriú,2018-09-18,0.5,0.5,False,,,,,4,0,Central-north
66,57,Itapoá,2018-09-19,0.5,0.5,False,,,,,4,0,North
67,58,Itapoá,2018-10-08,0.5,0.5,True,-2.0,1.0,0.9690781235694885,2018-10-06,4,4,North
68,60,Balneário Barra do Sul,2018-12-03,0.5,0.5,True,0.0,1.9399999380111694,0.8145846724510193,2018-12-03,4,1,North
69,61,Balneário Camboriú,2019-03-21,0.5,0.5,True,-2.0,1.8399999141693115,0.5837300084531307,2019-03-19,4,4,Central-north
70,61,Barra Velha,2019-03-22,0.5,0.5,True,-2.0,1.899999976158142,0.9734940230846405,2019-03-20,4,4,Central-north
71,62,Balneário Barra do Sul,2019-03-27,0.5,0.5,True,-1.0,1.2699999809265137,0.7608701288700104,2019-03-26,4,2,North
72,63,Balneário Barra do Sul,2019-06-13,0.5,0.5,False,,,,,4,0,North
73,64,Itapoá,2019-07-21,0.5,0.5,False,,,,,4,0,North
74,65,Balneário Piçarras,2019-07-22,0.5,0.5,False,,,,,4,0,Central-north
75,66,Balneário Barra do Sul,2019-07-29,0.5,0.5,True,-1.0,1.5099999904632568,0.5986641645431519,2019-07-28,4,2,North
76,67,Itapoá,2019-08-04,0.5,0.5,True,-2.0,1.7400000095367432,0.9045427590608597,2019-08-02,4,3,North
77,68,São Francisco do Sul,2019-08-15,0.5,0.5,True,-2.0,1.2200000286102295,0.8481352627277374,2019-08-13,4,4,North
78,69,Navegantes,2019-09-19,0.5,0.5,True,-2.0,1.5299999713897705,0.5830119475722313,2019-09-17,4,3,Central-north
79,72,Balneário Camboriú,2020-03-03,0.5,0.5,False,,,,,4,0,Central-north
80,73,Balneário Rincão,2020-04-03,0.5,0.5,True,0.0,4.309999942779541,0.7856495976448059,2020-04-03,4,2,South
81,73,Florianópolis,2020-04-04,0.5,0.5,True,-1.0,2.3399999141693115,0.6392042338848114,2020-04-03,4,3,South
82,73,Porto Belo,2020-04-04,0.5,0.5,True,-1.0,1.3299999237060547,0.6248695850372314,2020-04-03,4,3,South
83,74,Porto Belo,2020-04-08,0.5,0.5,True,-2.0,1.209999918937683,0.6179628670215607,2020-04-06,4,4,Central-north
84,74,Balneário Barra do Sul,2020-04-08,0.5,0.5,True,-2.0,1.3299999237060547,0.7468327432870865,2020-04-06,4,4,Central-north
85,74,Balneário Rincão,2020-04-08,0.5,0.5,True,-2.0,2.309999942779541,0.4703739583492279,2020-04-06,4,4,Central-north
86,75,Itapoá,2020-04-09,0.5,0.5,True,-2.0,1.309999942779541,1.1070118844509125,2020-04-07,4,4,North
87,76,Barra Velha,2020-04-12,0.5,0.5,True,-2.0,1.2999999523162842,1.0241747200489044,2020-04-10,4,2,North
88,77,Balneário Camboriú,2020-05-07,0.5,0.5,True,-2.0,1.46999990940094,0.5027375388890505,2020-05-05,4,3,Central-north
