thr_hs_pct,thr_ssh_pct,municipality,F
0.5,0.6,Balneário Rincão,671
0.5,0.6,Florianópolis,694
0.5,0.6,Palhoça,694
0.5,0.6,Araranguá,708
0.5,0.6,Balneário Arroio do Silva,708
0.5,0.6,Balneário Gaivota,671
0.5,0.6,Passo de Torres,678
0.5,0.6,Garopaba,694
0.5,0.65,São Francisco do Sul,574
0.5,0.65,Itapoá,574
0.5,0.65,Balneário Piçarras,588
0.5,0.65,Balneário Barra do Sul,588
0.5,0.65,Barra Velha,588
0.5,0.65,Penha,588
0.5,0.65,Araquari,588
0.5,0.65,Balneário Camboriú,595
0.5,0.65,Navegantes,595
0.5,0.65,Itajaí,595
0.5,0.65,Itapema,595
0.5,0.65,Bombinhas,650
0.5,0.65,Porto Belo,650
0.5,0.65,Içara/Balneário Rincão,644
0.5,0.65,Balneário Rincão,644
0.5,0.65,Florianópolis,661
0.5,0.65,Palhoça,661
0.5,0.65,Araranguá,667
0.5,0.65,Balneário Arroio do Silva,667
0.5,0.65,Balneário Gaivota,638
0.5,0.65,Passo de Torres,651
0.5,0.65,Garopaba,665
0.5,0.7,São Francisco do Sul,546
0.5,0.7,Itapoá,546
0.5,0.7,Balneário Piçarras,554
0.5,0.7,Balneário Barra do Sul,554
0.5,0.7,Barra Velha,554
0.5,0.7,Penha,554
0.5,0.7,Araquari,554
0.5,0.7,Balneário Camboriú,548
0.5,0.7,Navegantes,548
0.5,0.7,Itajaí,548
0.5,0.7,Itapema,548
0.5,0.7,Bombinhas,586
0.5,0.7,Porto Belo,586
0.5,0.7,Içara/Balneário Rincão,602
0.5,0.7,Balneário Rincão,602
0.5,0.7,Florianópolis,616
0.5,0.7,Palhoça,616
0.5,0.7,Araranguá,626
0.5,0.7,Balneário Arroio do Silva,626
0.5,0.7,Balneário Gaivota,603
0.5,0.7,Passo de Torres,607
0.5,0.7,Garopaba,628
0.5,0.75,São Francisco do Sul,495
0.5,0.75,Itapoá,495
0.5,0.75,Balneário Piçarras,512
0.5,0.75,Balneário Barra do Sul,512
0.5,0.75,Barra Velha,512
0.5,0.75,Penha,512
0.5,0.75,Araquari,512
0.5,0.75,Balneário Camboriú,504
0.5,0.75,Navegantes,504
0.5,0.75,Itajaí,504
0.5,0.75,Itapema,504
0.5,0.75,Bombinhas,536
0.5,0.75,Porto Belo,536
0.5,0.75,Içara/Balneário Rincão,560
0.5,0.75,Balneário Rincão,560
0.5,0.75,Florianópolis,558
0.5,0.75,Palhoça,558
0.5,0.75,Araranguá,583
0.5,0.75,Balneário Arroio do Silva,583
0.5,0.75,Balneário Gaivota,557
0.5,0.75,Passo de Torres,565
0.5,0.75,Garopaba,565
0.5,0.8,São Francisco do Sul,436
0.5,0.8,Itapoá,436
0.5,0.8,Balneário Piçarras,446
0.5,0.8,Balneário Barra do Sul,446
0.5,0.8,Barra Velha,446
0.5,0.8,Penha,446
0.5,0.8,Araquari,446
0.5,0.8,Balneário Camboriú,445
0.5,0.8,Navegantes,445
0.5,0.8,Itajaí,445
0.5,0.8,Itapema,445
0.5,0.8,Bombinhas,470
0.5,0.8,Porto Belo,470
0.5,0.8,Içara/Balneário Rincão,492
0.5,0.8,Balneário Rincão,492
0.5,0.8,Florianópolis,490
0.5,0.8,Palhoça,490
0.5,0.8,Araranguá,522
0.5,0.8,Balneário Arroio do Silva,522
0.5,0.8,Balneário Gaivota,494
0.5,0.8,Passo de Torres,501
0.5,0.8,Garopaba,502
0.5,0.85,São Francisco do Sul,369
0.5,0.85,Itapoá,369
0.5,0.85,Balneário Piçarras,377
0.5,0.85,Balneário Barra do Sul,377
0.5,0.85,Barra Velha,377
0.5,0.85,Penha,377
0.5,0.85,Araquari,377
0.5,0.85,Balneário Camboriú,359
0.5,0.85,Navegantes,359
0.5,0.85,Itajaí,359
0.5,0.85,Itapema,359
0.5,0.85,Bombinhas,398
0.5,0.85,Porto Belo,398
0.5,0.85,Içara/Balneário Rincão,419
0.5,0.85,Balneário Rincão,419
0.5,0.85,Florianópolis,423
0.5,0.85,Palhoça,423
0.5,0.85,Araranguá,442
0.5,0.85,Balneário Arroio do Silva,442
0.5,0.85,Balneário Gaivota,425
0.5,0.85,Passo de Torres,421
0.5,0.85,Garopaba,417
0.5,0.9,São Francisco do Sul,297
0.5,0.9,Itapoá,297
0.5,0.9,Balneário Piçarras,293
0.5,0.9,Balneário Barra do Sul,293
0.5,0.9,Barra Velha,293
0.5,0.9,Penha,293
0.5,0.9,Araquari,293
0.5,0.9,Balneário Camboriú,267
0.5,0.9,Navegantes,267
0.5,0.9,Itajaí,267
0.5,0.9,Itapema,267
0.5,0.9,Bombinhas,302
0.5,0.9,Porto Belo,302
0.5,0.9,Içara/Balneário Rincão,334
0.5,0.9,Balneário Rincão,334
0.5,0.9,Florianópolis,327
0.5,0.9,Palhoça,327
0.5,0.9,Araranguá,354
0.5,0.9,Balneário Arroio do Silva,354
0.5,0.9,Balneário Gaivota,340
0.5,0.9,Passo de Torres,336
0.5,0.9,Garopaba,334
0.55,0.5,São Francisco do Sul,668
0.55,0.5,Itapoá,668
0.55,0.5,Balneário Piçarras,694
0.55,0.5,Balneário Barra do Sul,694
0.55,0.5,Barra Velha,694
0.55,0.5,Penha,694
0.55,0.5,Araquari,694
0.55,0.5,Balneário Camboriú,688
0.55,0.5,Navegantes,688
0.55,0.5,Itajaí,688
0.55,0.5,Itapema,688
0.55,0.5,Bombinhas,730
0.55,0.5,Porto Belo,730
0.55,0.5,Içara/Balneário Rincão,706
0.55,0.5,Balneário Rincão,706
0.55,0.5,Florianópolis,729
0.55,0.5,Palhoça,729
0.55,0.5,Araranguá,730
0.55,0.5,Balneário Arroio do Silva,730
0.55,0.5,Balneário Gaivota,707
0.55,0.5,Passo de Torres,709
0.55,0.5,Garopaba,723
0.55,0.55,São Francisco do Sul,636
0.55,0.55,Itapoá,636
0.55,0.55,Balneário Piçarras,654
0.55,0.55,Balneário Barra do Sul,654
0.55,0.55,Barra Velha,654
0.55,0.55,Penha,654
0.55,0.55,Araquari,654
0.55,0.55,Balneário Camboriú,650
0.55,0.55,Navegantes,650
0.55,0.55,Itajaí,650
0.55,0.55,Itapema,650
0.55,0.55,Bombinhas,689
0.55,0.55,Porto Belo,689
0.55,0.55,Içara/Balneário Rincão,676
0.55,0.55,Balneário Rincão,676
0.55,0.55,Florianópolis,698
0.55,0.55,Palhoça,698
0.55,0.55,Araranguá,702
0.55,0.55,Balneário Arroio do Silva,702
0.55,0.55,Balneário Gaivota,679
0.55,0.55,Passo de Torres,684
0.55,0.55,Garopaba,702
0.55,0.6,São Francisco do Sul,603
0.55,0.6,Itapoá,603
0.55,0.6,Balneário Piçarras,628
0.55,0.6,Balneário Barra do Sul,628
0.55,0.6,Barra Velha,628
0.55,0.6,Penha,628
0.55,0.6,Araquari,628
0.55,0.6,Balneário Camboriú,620
0.55,0.6,Navegantes,620
0.55,0.6,Itajaí,620
0.55,0.6,Itapema,620
0.55,0.6,Bombinhas,655
0.55,0.6,Porto Belo,655
0.55,0.6,Içara/Balneário Rincão,647
0.55,0.6,Balneário Rincão,647
0.55,0.6,Florianópolis,666
0.55,0.6,Palhoça,666
0.55,0.6,Araranguá,679
0.55,0.6,Balneário Arroio do Silva,679
0.55,0.6,Balneário Gaivota,652
0.55,0.6,Passo de Torres,651
0.55,0.6,Garopaba,681
0.55,0.65,São Francisco do Sul,563
0.55,0.65,Itapoá,563
0.55,0.65,Balneário Piçarras,580
0.55,0.65,Balneário Barra do Sul,580
0.55,0.65,Barra Velha,580
0.55,0.65,Penha,580
0.55,0.65,Araquari,580
0.55,0.65,Balneário Camboriú,574
0.55,0.65,Navegantes,574
0.55,0.65,Itajaí,574
0.55,0.65,Itapema,574
0.55,0.65,Bombinhas,625
0.55,0.65,Porto Belo,625
0.55,0.65,Içara/Balneário Rincão,622
0.55,0.65,Balneário Rincão,622
0.55,0.65,Florianópolis,639
0.55,0.65,Palhoça,639
0.55,0.65,Araranguá,638
0.55,0.65,Balneário Arroio do Silva,638
0.55,0.65,Balneário Gaivota,622
0.55,0.65,Passo de Torres,625
0.55,0.65,Garopaba,650
0.55,0.7,São Francisco do Sul,537
0.55,0.7,Itapoá,537
0.55,0.7,Balneário Piçarras,543
0.55,0.7,Balneário Barra do Sul,543
0.55,0.7,Barra Velha,543
0.55,0.7,Penha,543
0.55,0.7,Araquari,543
0.55,0.7,Balneário Camboriú,529
0.55,0.7,Navegantes,529
0.55,0.7,Itajaí,529
0.55,0.7,Itapema,529
0.55,0.7,Bombinhas,567
0.55,0.7,Porto Belo,567
0.55,0.7,Içara/Balneário Rincão,577
0.55,0.7,Balneário Rincão,577
0.55,0.7,Florianópolis,603
0.55,0.7,Palhoça,603
0.55,0.7,Araranguá,603
0.55,0.7,Balneário Arroio do Silva,603
0.55,0.7,Balneário Gaivota,584
0.55,0.7,Passo de Torres,572
0.55,0.7,Garopaba,607
0.55,0.75,São Francisco do Sul,486
0.55,0.75,Itapoá,486
0.55,0.75,Balneário Piçarras,498
0.55,0.75,Balneário Barra do Sul,498
0.55,0.75,Barra Velha,498
0.55,0.75,Penha,498
0.55,0.75,Araquari,498
0.55,0.75,Balneário Camboriú,477
0.55,0.75,Navegantes,477
0.55,0.75,Itajaí,477
0.55,0.75,Itapema,477
0.55,0.75,Bombinhas,513
0.55,0.75,Porto Belo,513
0.55,0.75,Içara/Balneário Rincão,533
0.55,0.75,Balneário Rincão,533
0.55,0.75,Florianópolis,540
0.55,0.75,Palhoça,540
0.55,0.75,Araranguá,558
0.55,0.75,Balneário Arroio do Silva,558
0.55,0.75,Balneário Gaivota,535
0.55,0.75,Passo de Torres,531
0.55,0.75,Garopaba,543
0.55,0.8,São Francisco do Sul,426
0.55,0.8,Itapoá,426
0.55,0.8,Balneário Piçarras,434
0.55,0.8,Balneário Barra do Sul,434
0.55,0.8,Barra Velha,434
0.55,0.8,Penha,434
0.55,0.8,Araquari,434
0.55,0.8,Balneário Camboriú,425
0.55,0.8,Navegantes,425
0.55,0.8,Itajaí,425
0.55,0.8,Itapema,425
0.55,0.8,Bombinhas,449
0.55,0.8,Porto Belo,449
0.55,0.8,Içara/Balneário Rincão,472
0.55,0.8,Balneário Rincão,472
0.55,0.8,Florianópolis,471
0.55,0.8,Palhoça,471
0.55,0.8,Araranguá,505
0.55,0.8,Balneário Arroio do Silva,505
0.55,0.8,Balneário Gaivota,479
0.55,0.8,Passo de Torres,469
0.55,0.8,Garopaba,481
0.55,0.85,São Francisco do Sul,357
0.55,0.85,Itapoá,357
0.55,0.85,Balneário Piçarras,362
0.55,0.85,Balneário Barra do Sul,362
0.55,0.85,Barra Velha,362
0.55,0.85,Penha,362
0.55,0.85,Araquari,362
0.55,0.85,Balneário Camboriú,342
0.55,0.85,Navegantes,342
0.55,0.85,Itajaí,342
0.55,0.85,Itapema,342
0.55,0.85,Bombinhas,377
0.55,0.85,Porto Belo,377
0.55,0.85,Içara/Balneário Rincão,404
0.55,0.85,Balneário Rincão,404
0.55,0.85,Florianópolis,403
0.55,0.85,Palhoça,403
0.55,0.85,Araranguá,425
0.55,0.85,Balneário Arroio do Silva,425
0.55,0.85,Balneário Gaivota,408
0.55,0.85,Passo de Torres,396
0.55,0.85,Garopaba,401
0.55,0.9,São Francisco do Sul,287
0.55,0.9,Itapoá,287
0.55,0.9,Balneário Piçarras,278
0.55,0.9,Balneário Barra do Sul,278
0.55,0.9,Barra Velha,278
0.55,0.9,Penha,278
0.55,0.9,Araquari,278
0.55,0.9,Balneário Camboriú,252
0.55,0.9,Navegantes,252
0.55,0.9,Itajaí,252
0.55,0.9,Itapema,252
0.55,0.9,Bombinhas,284
0.55,0.9,Porto Belo,284
0.55,0.9,Içara/Balneário Rincão,325
0.55,0.9,Balneário Rincão,325
0.55,0.9,Florianópolis,312
0.55,0.9,Palhoça,312
0.55,0.9,Araranguá,338
0.55,0.9,Balneário Arroio do Silva,338
0.55,0.9,Balneário Gaivota,329
0.55,0.9,Passo de Torres,325
0.55,0.9,Garopaba,316
0.6,0.5,São Francisco do Sul,668
0.6,0.5,Itapoá,668
0.6,0.5,Balneário Piçarras,656
0.6,0.5,Balneário Barra do Sul,656
0.6,0.5,Barra Velha,656
0.6,0.5,Penha,656
0.6,0.5,Araquari,656
0.6,0.5,Balneário Camboriú,660
0.6,0.5,Navegantes,660
0.6,0.5,Itajaí,660
0.6,0.5,Itapema,660
0.6,0.5,Bombinhas,703
0.6,0.5,Porto Belo,703
0.6,0.5,Içara/Balneário Rincão,666
0.6,0.5,Balneário Rincão,666
0.6,0.5,Florianópolis,711
0.6,0.5,Palhoça,711
0.6,0.5,Araranguá,709
0.6,0.5,Balneário Arroio do Silva,709
0.6,0.5,Balneário Gaivota,676
0.6,0.5,Passo de Torres,669
0.6,0.5,Garopaba,712
0.6,0.55,São Francisco do Sul,631
0.6,0.55,Itapoá,631
0.6,0.55,Balneário Piçarras,615
0.6,0.55,Balneário Barra do Sul,615
0.6,0.55,Barra Velha,615
0.6,0.55,Penha,615
0.6,0.55,Araquari,615
0.6,0.55,Balneário Camboriú,626
0.6,0.55,Navegantes,626
0.6,0.55,Itajaí,626
0.6,0.55,Itapema,626
0.6,0.55,Bombinhas,669
0.6,0.55,Porto Belo,669
0.6,0.55,Içara/Balneário Rincão,641
0.6,0.55,Balneário Rincão,641
0.6,0.55,Florianópolis,680
0.6,0.55,Palhoça,680
0.6,0.55,Araranguá,673
0.6,0.55,Balneário Arroio do Silva,673
0.6,0.55,Balneário Gaivota,646
0.6,0.55,Passo de Torres,645
0.6,0.55,Garopaba,686
0.6,0.6,São Francisco do Sul,598
0.6,0.6,Itapoá,598
0.6,0.6,Balneário Piçarras,591
0.6,0.6,Balneário Barra do Sul,591
0.6,0.6,Barra Velha,591
0.6,0.6,Penha,591
0.6,0.6,Araquari,591
0.6,0.6,Balneário Camboriú,597
0.6,0.6,Navegantes,597
0.6,0.6,Itajaí,597
0.6,0.6,Itapema,597
0.6,0.6,Bombinhas,634
0.6,0.6,Porto Belo,634
0.6,0.6,Içara/Balneário Rincão,612
0.6,0.6,Balneário Rincão,612
0.6,0.6,Florianópolis,647
0.6,0.6,Palhoça,647
0.6,0.6,Araranguá,652
0.6,0.6,Balneário Arroio do Silva,652
0.6,0.6,Balneário Gaivota,620
0.6,0.6,Passo de Torres,615
0.6,0.6,Garopaba,664
0.6,0.65,São Francisco do Sul,556
0.6,0.65,Itapoá,556
0.6,0.65,Balneário Piçarras,545
0.6,0.65,Balneário Barra do Sul,545
0.6,0.65,Barra Velha,545
0.6,0.65,Penha,545
0.6,0.65,Araquari,545
0.6,0.65,Balneário Camboriú,555
0.6,0.65,Navegantes,555
0.6,0.65,Itajaí,555
0.6,0.65,Itapema,555
0.6,0.65,Bombinhas,605
0.6,0.65,Porto Belo,605
0.6,0.65,Içara/Balneário Rincão,592
0.6,0.65,Balneário Rincão,592
0.6,0.65,Florianópolis,623
0.6,0.65,Palhoça,623
0.6,0.65,Araranguá,612
0.6,0.65,Balneário Arroio do Silva,612
0.6,0.65,Balneário Gaivota,592
0.6,0.65,Passo de Torres,593
0.6,0.65,Garopaba,633
0.6,0.7,São Francisco do Sul,522
0.6,0.7,Itapoá,522
0.6,0.7,Balneário Piçarras,508
0.6,0.7,Balneário Barra do Sul,508
0.6,0.7,Barra Velha,508
0.6,0.7,Penha,508
0.6,0.7,Araquari,508
0.6,0.7,Balneário Camboriú,509
0.6,0.7,Navegantes,509
0.6,0.7,Itajaí,509
0.6,0.7,Itapema,509
0.6,0.7,Bombinhas,553
0.6,0.7,Porto Belo,553
0.6,0.7,Içara/Balneário Rincão,552
0.6,0.7,Balneário Rincão,552
0.6,0.7,Florianópolis,580
0.6,0.7,Palhoça,580
0.6,0.7,Araranguá,577
0.6,0.7,Balneário Arroio do Silva,577
0.6,0.7,Balneário Gaivota,553
0.6,0.7,Passo de Torres,546
0.6,0.7,Garopaba,588
0.6,0.75,São Francisco do Sul,472
0.6,0.75,Itapoá,472
0.6,0.75,Balneário Piçarras,470
0.6,0.75,Balneário Barra do Sul,470
0.6,0.75,Barra Velha,470
0.6,0.75,Penha,470
0.6,0.75,Araquari,470
0.6,0.75,Balneário Camboriú,459
0.6,0.75,Navegantes,459
0.6,0.75,Itajaí,459
0.6,0.75,Itapema,459
0.6,0.75,Bombinhas,498
0.6,0.75,Porto Belo,498
0.6,0.75,Içara/Balneário Rincão,508
0.6,0.75,Balneário Rincão,508
0.6,0.75,Florianópolis,521
0.6,0.75,Palhoça,521
0.6,0.75,Araranguá,531
0.6,0.75,Balneário Arroio do Silva,531
0.6,0.75,Balneário Gaivota,507
0.6,0.75,Passo de Torres,507
0.6,0.75,Garopaba,526
0.6,0.8,São Francisco do Sul,414
0.6,0.8,Itapoá,414
0.6,0.8,Balneário Piçarras,406
0.6,0.8,Balneário Barra do Sul,406
0.6,0.8,Barra Velha,406
0.6,0.8,Penha,406
0.6,0.8,Araquari,406
0.6,0.8,Balneário Camboriú,403
0.6,0.8,Navegantes,403
0.6,0.8,Itajaí,403
0.6,0.8,Itapema,403
0.6,0.8,Bombinhas,434
0.6,0.8,Porto Belo,434
0.6,0.8,Içara/Balneário Rincão,455
0.6,0.8,Balneário Rincão,455
0.6,0.8,Florianópolis,452
0.6,0.8,Palhoça,452
0.6,0.8,Araranguá,479
0.6,0.8,Balneário Arroio do Silva,479
0.6,0.8,Balneário Gaivota,456
0.6,0.8,Passo de Torres,451
0.6,0.8,Garopaba,466
0.6,0.85,São Francisco do Sul,344
0.6,0.85,Itapoá,344
0.6,0.85,Balneário Piçarras,340
0.6,0.85,Balneário Barra do Sul,340
0.6,0.85,Barra Velha,340
0.6,0.85,Penha,340
0.6,0.85,Araquari,340
0.6,0.85,Balneário Camboriú,320
0.6,0.85,Navegantes,320
0.6,0.85,Itajaí,320
0.6,0.85,Itapema,320
0.6,0.85,Bombinhas,362
0.6,0.85,Porto Belo,362
0.6,0.85,Içara/Balneário Rincão,390
0.6,0.85,Balneário Rincão,390
0.6,0.85,Florianópolis,382
0.6,0.85,Palhoça,382
0.6,0.85,Araranguá,409
0.6,0.85,Balneário Arroio do Silva,409
0.6,0.85,Balneário Gaivota,392
0.6,0.85,Passo de Torres,382
0.6,0.85,Garopaba,388
0.6,0.9,São Francisco do Sul,264
0.6,0.9,Itapoá,264
0.6,0.9,Balneário Piçarras,263
0.6,0.9,Balneário Barra do Sul,263
0.6,0.9,Barra Velha,263
0.6,0.9,Penha,263
0.6,0.9,Araquari,263
0.6,0.9,Balneário Camboriú,234
0.6,0.9,Navegantes,234
0.6,0.9,Itajaí,234
0.6,0.9,Itapema,234
0.6,0.9,Bombinhas,273
0.6,0.9,Porto Belo,273
0.6,0.9,Içara/Balneário Rincão,316
0.6,0.9,Balneário Rincão,316
0.6,0.9,Florianópolis,294
0.6,0.9,Palhoça,294
0.6,0.9,Araranguá,329
0.6,0.9,Balneário Arroio do Silva,329
0.6,0.9,Balneário Gaivota,326
0.6,0.9,Passo de Torres,316
0.6,0.9,Garopaba,307
0.65,0.5,São Francisco do Sul,608
0.65,0.5,Itapoá,608
0.65,0.5,Balneário Piçarras,611
0.65,0.5,Balneário Barra do Sul,611
0.65,0.5,Barra Velha,611
0.65,0.5,Penha,611
0.65,0.5,Araquari,611
0.65,0.5,Balneário Camboriú,599
0.65,0.5,Navegantes,599
0.65,0.5,Itajaí,599
0.65,0.5,Itapema,599
0.65,0.5,Bombinhas,657
0.65,0.5,Porto Belo,657
0.65,0.5,Içara/Balneário Rincão,625
0.65,0.5,Balneário Rincão,625
0.65,0.5,Florianópolis,678
0.65,0.5,Palhoça,678
0.65,0.5,Araranguá,651
0.65,0.5,Balneário Arroio do Silva,651
0.65,0.5,Balneário Gaivota,633
0.65,0.5,Passo de Torres,626
0.65,0.5,Garopaba,661
0.65,0.55,São Francisco do Sul,573
0.65,0.55,Itapoá,573
0.65,0.55,Balneário Piçarras,572
0.65,0.55,Balneário Barra do Sul,572
0.65,0.55,Barra Velha,572
0.65,0.55,Penha,572
0.65,0.55,Araquari,572
0.65,0.55,Balneário Camboriú,571
0.65,0.55,Navegantes,571
0.65,0.55,Itajaí,571
0.65,0.55,Itapema,571
0.65,0.55,Bombinhas,624
0.65,0.55,Porto Belo,624
0.65,0.55,Içara/Balneário Rincão,600
0.65,0.55,Balneário Rincão,600
0.65,0.55,Florianópolis,644
0.65,0.55,Palhoça,644
0.65,0.55,Araranguá,621
0.65,0.55,Balneário Arroio do Silva,621
0.65,0.55,Balneário Gaivota,604
0.65,0.55,Passo de Torres,594
0.65,0.55,Garopaba,642
0.65,0.6,São Francisco do Sul,544
0.65,0.6,Itapoá,544
0.65,0.6,Balneário Piçarras,545
0.65,0.6,Balneário Barra do Sul,545
0.65,0.6,Barra Velha,545
0.65,0.6,Penha,545
0.65,0.6,Araquari,545
0.65,0.6,Balneário Camboriú,542
0.65,0.6,Navegantes,542
0.65,0.6,Itajaí,542
0.65,0.6,Itapema,542
0.65,0.6,Bombinhas,591
0.65,0.6,Porto Belo,591
0.65,0.6,Içara/Balneário Rincão,573
0.65,0.6,Balneário Rincão,573
0.65,0.6,Florianópolis,613
0.65,0.6,Palhoça,613
0.65,0.6,Araranguá,601
0.65,0.6,Balneário Arroio do Silva,601
0.65,0.6,Balneário Gaivota,582
0.65,0.6,Passo de Torres,566
0.65,0.6,Garopaba,625
0.65,0.65,São Francisco do Sul,507
0.65,0.65,Itapoá,507
0.65,0.65,Balneário Piçarras,498
0.65,0.65,Balneário Barra do Sul,498
0.65,0.65,Barra Velha,498
0.65,0.65,Penha,498
0.65,0.65,Araquari,498
0.65,0.65,Balneário Camboriú,500
0.65,0.65,Navegantes,500
0.65,0.65,Itajaí,500
0.65,0.65,Itapema,500
0.65,0.65,Bombinhas,560
0.65,0.65,Porto Belo,560
0.65,0.65,Içara/Balneário Rincão,555
0.65,0.65,Balneário Rincão,555
0.65,0.65,Florianópolis,588
0.65,0.65,Palhoça,588
0.65,0.65,Araranguá,568
0.65,0.65,Balneário Arroio do Silva,568
0.65,0.65,Balneário Gaivota,553
0.65,0.65,Passo de Torres,544
0.65,0.65,Garopaba,596
0.65,0.7,São Francisco do Sul,481
0.65,0.7,Itapoá,481
0.65,0.7,Balneário Piçarras,461
0.65,0.7,Balneário Barra do Sul,461
0.65,0.7,Barra Velha,461
0.65,0.7,Penha,461
0.65,0.7,Araquari,461
0.65,0.7,Balneário Camboriú,454
0.65,0.7,Navegantes,454
0.65,0.7,Itajaí,454
0.65,0.7,Itapema,454
0.65,0.7,Bombinhas,509
0.65,0.7,Porto Belo,509
0.65,0.7,Içara/Balneário Rincão,518
0.65,0.7,Balneário Rincão,518
0.65,0.7,Florianópolis,549
0.65,0.7,Palhoça,549
0.65,0.7,Araranguá,533
0.65,0.7,Balneário Arroio do Silva,533
0.65,0.7,Balneário Gaivota,527
0.65,0.7,Passo de Torres,502
0.65,0.7,Garopaba,551
0.65,0.75,São Francisco do Sul,429
0.65,0.75,Itapoá,429
0.65,0.75,Balneário Piçarras,428
0.65,0.75,Balneário Barra do Sul,428
0.65,0.75,Barra Velha,428
0.65,0.75,Penha,428
0.65,0.75,Araquari,428
0.65,0.75,Balneário Camboriú,412
0.65,0.75,Navegantes,412
0.65,0.75,Itajaí,412
0.65,0.75,Itapema,412
0.65,0.75,Bombinhas,456
0.65,0.75,Porto Belo,456
0.65,0.75,Içara/Balneário Rincão,477
0.65,0.75,Balneário Rincão,477
0.65,0.75,Florianópolis,489
0.65,0.75,Palhoça,489
0.65,0.75,Araranguá,490
0.65,0.75,Balneário Arroio do Silva,490
0.65,0.75,Balneário Gaivota,484
0.65,0.75,Passo de Torres,465
0.65,0.75,Garopaba,496
0.65,0.8,São Francisco do Sul,379
0.65,0.8,Itapoá,379
0.65,0.8,Balneário Piçarras,371
0.65,0.8,Balneário Barra do Sul,371
0.65,0.8,Barra Velha,371
0.65,0.8,Penha,371
0.65,0.8,Araquari,371
0.65,0.8,Balneário Camboriú,363
0.65,0.8,Navegantes,363
0.65,0.8,Itajaí,363
0.65,0.8,Itapema,363
0.65,0.8,Bombinhas,401
0.65,0.8,Porto Belo,401
0.65,0.8,Içara/Balneário Rincão,427
0.65,0.8,Balneário Rincão,427
0.65,0.8,Florianópolis,425
0.65,0.8,Palhoça,425
0.65,0.8,Araranguá,440
0.65,0.8,Balneário Arroio do Silva,440
0.65,0.8,Balneário Gaivota,432
0.65,0.8,Passo de Torres,416
0.65,0.8,Garopaba,440
0.65,0.85,São Francisco do Sul,321
0.65,0.85,Itapoá,321
0.65,0.85,Balneário Piçarras,308
0.65,0.85,Balneário Barra do Sul,308
0.65,0.85,Barra Velha,308
0.65,0.85,Penha,308
0.65,0.85,Araquari,308
0.65,0.85,Balneário Camboriú,298
0.65,0.85,Navegantes,298
0.65,0.85,Itajaí,298
0.65,0.85,Itapema,298
0.65,0.85,Bombinhas,335
0.65,0.85,Porto Belo,335
0.65,0.85,Içara/Balneário Rincão,371
0.65,0.85,Balneário Rincão,371
0.65,0.85,Florianópolis,359
0.65,0.85,Palhoça,359
0.65,0.85,Araranguá,378
0.65,0.85,Balneário Arroio do Silva,378
0.65,0.85,Balneário Gaivota,370
0.65,0.85,Passo de Torres,358
0.65,0.85,Garopaba,367
0.65,0.9,São Francisco do Sul,246
0.65,0.9,Itapoá,246
0.65,0.9,Balneário Piçarras,242
0.65,0.9,Balneário Barra do Sul,242
0.65,0.9,Barra Velha,242
0.65,0.9,Penha,242
0.65,0.9,Araquari,242
0.65,0.9,Balneário Camboriú,218
0.65,0.9,Navegantes,218
0.65,0.9,Itajaí,218
0.65,0.9,Itapema,218
