municipality_code,municipality_name,state,grid_lat,grid_lon,has_association,has_svi,has_hazard_value,has_risk_value,absence_reason,compound_count_total,mean_integrated_severity,n_candidate_events,n_rejected_by_hat,point_accepted_zero_events,pop_municipality,pop_10km,degenerate_exposure,Exposure_Index,exposure_at_floor,SVI_Coast_2022,Hazard_Index_mun,Risk_Hazard,risk_rank
3304755,São Francisco de Itabapoana,RJ,-21.6,-40.8,True,True,True,True,,22.0,0.2161,53.0,31.0,False,44839,32815,False,0.678484,False,54.533996,0.2756,0.690523,53.0
4202305,Biguaçu,SC,-27.4,-48.4,True,True,True,True,,56.0,0.327,57.0,1.0,False,76590,74252,False,0.834128,False,21.326041,0.558213,0.683833,54.0
3300233,Armação dos Búzios,RJ,-22.8,-41.8,True,True,True,True,,36.0,0.3323,63.0,27.0,False,39919,39919,False,0.806409,False,27.751236,0.437285,0.680183,55.0
4206009,Governador Celso Ramos,SC,-27.4,-48.4,True,True,True,True,,56.0,0.327,57.0,1.0,False,16638,16638,False,0.745168,False,23.480803,0.558213,0.679704,56.0
3301850,Guapimirim,RJ,-23.0,-43.0,True,True,True,True,,56.0,0.6881,66.0,10.0,False,51557,12068,False,0.349017,False,34.802755,0.790201,0.675373,57.0
3302403,Macaé,RJ,-22.4,-41.6,True,True,True,True,,34.0,0.3921,62.0,28.0,False,245856,231563,False,0.890093,False,23.234014,0.463271,0.674915,58.0
3510500,Caraguatatuba,SP,-23.6,-45.2,True,True,True,True,,67.0,0.3216,73.0,6.0,False,134675,134661,False,0.884437,False,17.26561,0.623128,0.673225,59.0
2105104,Icatu,MA,-2.4,-44.0,True,True,True,True,,1.0,0.2044,25.0,24.0,False,24618,22405,False,0.731277,False,91.701862,0.137532,0.665551,60.0
3301900,Itaboraí,RJ,-23.0,-43.0,True,True,True,True,,56.0,0.6881,66.0,10.0,False,223854,29916,False,0.287611,False,39.610935,0.790201,0.65966,61.0
4216206,São Francisco do Sul,SC,-26.4,-48.4,True,True,True,True,,43.0,0.3065,56.0,13.0,False,52658,52658,False,0.824843,False,23.402807,0.464227,0.65855,62.0
2100204,Alcântara,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,18355,18298,False,0.750896,False,75.042712,0.15867,0.658,63.0
3303302,Niterói,RJ,-23.0,-43.0,True,True,True,True,,56.0,0.6881,66.0,10.0,False,480647,480647,False,0.959404,False,11.666588,0.790201,0.655386,64.0
4208450,Itapoá,SC,-26.2,-48.4,True,True,True,True,,40.0,0.2921,56.0,16.0,False,30679,30679,False,0.788486,False,25.684303,0.436325,0.655158,65.0
2104909,Guimarães,MA,-2.0,-44.4,True,True,True,True,,1.0,0.2827,31.0,30.0,False,10285,10033,False,0.69864,False,67.308972,0.187837,0.655066,66.0
3202801,Itapemirim,ES,-21.0,-40.8,True,True,True,True,,25.0,0.2345,52.0,27.0,False,39949,31338,False,0.699651,False,40.41588,0.306071,0.650171,67.0
3520426,Ilha Comprida,SP,-25.0,-47.8,True,True,True,True,,48.0,0.316,75.0,27.0,False,13414,13414,False,0.729308,False,23.392542,0.501413,0.647381,68.0
3203320,Marataízes,ES,-21.0,-40.8,True,True,True,True,,25.0,0.2345,52.0,27.0,False,41520,41520,False,0.809052,False,32.954795,0.306071,0.636233,69.0
4216602,São José,SC,-27.8,-48.4,True,True,True,True,,70.0,0.4653,70.0,0.0,False,271013,269900,False,0.924272,False,11.76247,0.734097,0.631028,70.0
4109609,Guaratuba,PR,-26.0,-48.4,True,True,True,True,,37.0,0.2931,52.0,15.0,False,41972,40665,False,0.79498,False,23.876362,0.418318,0.629838,71.0
3305000,São João da Barra,RJ,-21.8,-40.8,True,True,True,True,,25.0,0.2647,58.0,33.0,False,36489,30827,False,0.725039,False,33.640207,0.325472,0.629786,72.0
3304524,Rio das Ostras,RJ,-22.6,-41.8,True,True,True,True,,33.0,0.2655,60.0,27.0,False,155775,154030,False,0.887679,False,23.71822,0.37572,0.628967,73.0
2102408,Cajapió,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,10057,7299,False,0.58144,False,84.752576,0.15867,0.62627,74.0
3200409,Anchieta,ES,-21.0,-40.8,True,True,True,True,,25.0,0.2345,52.0,27.0,False,29477,25542,False,0.722132,False,33.991585,0.306071,0.617092,75.0
2101103,Axixá,MA,-2.4,-44.0,True,True,True,True,,1.0,0.2044,25.0,24.0,False,12102,11670,False,0.705918,False,77.374716,0.137532,0.617065,76.0
2109452,Raposa,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,30845,30845,False,0.788858,False,59.373007,0.15867,0.614611,77.0
4205407,Florianópolis,SC,-27.8,-48.4,True,True,True,True,,70.0,0.4653,70.0,0.0,False,536876,536876,False,0.965644,False,10.153633,0.734097,0.607373,78.0
4119954,Pontal do Paraná,PR,-25.6,-48.4,True,True,True,True,,37.0,0.3292,64.0,27.0,False,30413,30362,False,0.78711,False,19.939038,0.44151,0.598869,79.0
2111201,São José de Ribamar,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,243840,243840,False,0.920204,False,47.220152,0.15867,0.597757,80.0
2107506,Paço do Lumiar,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,145384,145384,False,0.889173,False,48.511105,0.15867,0.596132,81.0
2103109,Cedral,MA,-1.8,-44.4,True,True,True,True,,1.0,0.2181,28.0,27.0,False,9914,8996,False,0.665791,False,70.157168,0.146334,0.595843,82.0
2101905,Bequimão,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,19566,11618,False,0.55368,False,77.493204,0.15867,0.594958,83.0
4201307,Araquari,SC,-26.6,-48.6,True,True,True,True,,35.0,0.2807,40.0,5.0,False,45211,29276,False,0.631896,False,26.998449,0.397919,0.594328,84.0
4202107,Barra Velha,SC,-26.6,-48.6,True,True,True,True,,35.0,0.2807,40.0,5.0,False,45128,44994,False,0.813215,False,20.396678,0.397919,0.588147,85.0
3548500,Santos,SP,-24.0,-46.4,True,True,True,True,,72.0,0.5442,80.0,8.0,False,418360,418350,False,0.951506,False,8.686797,0.797219,0.587789,86.0
4218004,Tijucas,SC,-27.2,-48.4,True,True,True,True,,37.0,0.3252,39.0,2.0,False,51595,49288,False,0.801926,False,18.60561,0.43894,0.586449,87.0
1502905,Curuçá,PA,-0.4,-47.8,True,True,True,True,,4.0,0.1784,23.0,19.0,False,41000,32395,False,0.704199,False,64.837156,0.139479,0.580373,88.0
3304151,Quissamã,RJ,-22.2,-41.4,True,True,True,True,,37.0,0.3683,67.0,30.0,False,22189,7919,False,0.411586,False,33.144585,0.466631,0.580282,89.0
1504307,Maracanã,PA,-0.4,-47.6,True,True,True,True,,5.0,0.154,18.0,13.0,False,25442,19480,False,0.662015,False,73.862817,0.13002,0.580012,90.0
4202057,Balneário Barra do Sul,SC,-26.6,-48.6,True,True,True,True,,35.0,0.2807,40.0,5.0,False,14876,14876,False,0.736968,False,21.674023,0.397919,0.579952,91.0
4202453,Bombinhas,SC,-27.2,-48.4,True,True,True,True,,37.0,0.3252,39.0,2.0,False,24956,24956,False,0.774141,False,18.683031,0.43894,0.579698,92.0
4213500,Porto Belo,SC,-27.2,-48.4,True,True,True,True,,37.0,0.3252,39.0,2.0,False,27606,27606,False,0.781186,False,18.370313,0.43894,0.578012,93.0
1502509,Chaves,PA,0.0,-50.4,True,True,True,True,,7.0,0.0719,57.0,50.0,False,19848,17151,False,0.694746,False,100.0,0.089709,0.575728,94.0
1506112,Quatipuru,PA,-0.6,-47.0,True,True,True,True,,4.0,0.1607,16.0,12.0,False,11238,10693,False,0.694747,False,69.939083,0.128108,0.575462,95.0
2109056,Porto Rico do Maranhão,MA,-1.8,-44.4,True,True,True,True,,1.0,0.2181,28.0,27.0,False,6050,5578,False,0.634473,False,66.647732,0.146334,0.57419,96.0
2111300,São Luís,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,1038019,1038019,False,1.0,False,37.603585,0.15867,0.566441,97.0
4212809,Balneário Piçarras,SC,-26.8,-48.4,True,True,True,True,,37.0,0.3373,46.0,9.0,False,27180,26868,False,0.774815,False,16.759901,0.446714,0.560516,98.0
3202405,Guarapari,ES,-20.6,-40.4,True,True,True,True,,20.0,0.1929,50.0,30.0,False,124017,120091,False,0.863427,False,26.400476,0.248262,0.555351,99.0
3204203,Piúma,ES,-21.0,-40.8,True,True,True,True,,25.0,0.2345,52.0,27.0,False,21986,21986,False,0.765204,False,24.12759,0.306071,0.555049,100.0
4212502,Penha,SC,-26.8,-48.4,True,True,True,True,,37.0,0.3373,46.0,9.0,False,33389,33389,False,0.794293,False,15.75951,0.446714,0.552872,101.0
4115705,Matinhos,PR,-26.0,-48.4,True,True,True,True,,37.0,0.2931,52.0,15.0,False,39200,39200,False,0.805184,False,16.547095,0.418318,0.552191,102.0
3301306,Casimiro de Abreu,RJ,-22.6,-41.8,True,True,True,True,,33.0,0.2655,60.0,27.0,False,46635,22720,False,0.535727,False,27.276571,0.37572,0.549093,103.0
1504406,Marapanim,PA,-0.4,-47.6,True,True,True,True,,5.0,0.154,18.0,13.0,False,26801,19274,False,0.640945,False,65.395821,0.13002,0.547572,104.0
2109403,Primeira Cruz,MA,-2.2,-43.4,True,True,True,True,,1.0,0.1757,20.0,19.0,False,13521,7269,False,0.500186,False,91.28812,0.119095,0.547127,105.0
2109601,Rosário,MA,-2.4,-44.0,True,True,True,True,,1.0,0.2044,25.0,24.0,False,38345,20520,False,0.556179,False,69.257286,0.137532,0.541791,106.0
4211306,Navegantes,SC,-27.0,-48.4,True,True,True,True,,32.0,0.3273,39.0,7.0,False,86269,81474,False,0.829038,False,15.334001,0.409206,0.538099,107.0
2927705,Santa Cruz Cabrália,BA,-16.2,-38.8,True,True,True,True,,1.0,0.2223,42.0,41.0,False,29244,24723,False,0.711185,False,48.340153,0.149033,0.535037,108.0
2101350,Bacurituba,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,5272,2503,False,0.407416,False,77.05901,0.15867,0.529409,109.0
1507474,São João de Pirabas,PA,-0.6,-47.2,True,True,True,True,,4.0,0.1202,19.0,15.0,False,20716,18928,False,0.721209,False,66.364867,0.102089,0.52558,110.0
2925501,Prado,BA,-17.2,-39.0,True,True,True,True,,2.0,0.1764,46.0,44.0,False,34522,25237,False,0.662569,False,57.920574,0.125761,0.523141,111.0
3204302,Presidente Kennedy,ES,-21.2,-40.8,True,True,True,True,,23.0,0.2086,50.0,27.0,False,13883,5686,False,0.423883,False,40.501575,0.276997,0.520237,112.0
1506203,Salinópolis,PA,-0.6,-47.2,True,True,True,True,,4.0,0.1202,19.0,15.0,False,44759,44759,False,0.814076,False,56.919158,0.102089,0.519203,113.0
4208302,Itapema,SC,-27.2,-48.4,True,True,True,True,,37.0,0.3252,39.0,2.0,False,75330,75330,False,0.848081,False,12.572659,0.43894,0.51712,114.0
2103703,Cururupu,MA,-1.4,-44.8,True,True,True,True,,1.0,0.1283,14.0,13.0,False,31127,29741,False,0.768639,False,68.390622,0.088643,0.516263,115.0
2925303,Porto Seguro,BA,-16.6,-39.0,True,True,True,True,,2.0,0.1946,46.0,44.0,False,167827,150434,False,0.843809,False,39.099706,0.137454,0.511002,116.0
4208203,Itajaí,SC,-27.0,-48.4,True,True,True,True,,32.0,0.3273,39.0,7.0,False,263998,217579,False,0.829271,False,12.919344,0.409206,0.504509,117.0
2900801,Alcobaça,BA,-17.6,-39.0,True,True,True,True,,2.0,0.1873,50.0,48.0,False,24297,12289,False,0.514014,False,59.539148,0.132764,0.490184,118.0
3205002,Serra,ES,-20.4,-40.2,True,True,True,True,,16.0,0.1549,53.0,37.0,False,520895,448882,False,0.887022,False,22.915455,0.198981,0.489335,119.0
1500909,Augusto Corrêa,PA,-0.8,-46.4,True,True,True,True,,3.0,0.0797,21.0,18.0,False,44304,31267,False,0.66349,False,83.814396,0.069853,0.481885,120.0
2906907,Caravelas,BA,-17.8,-39.0,True,True,True,True,,3.0,0.1961,54.0,51.0,False,21619,10657,False,0.499879,False,53.114928,0.144634,0.479785,121.0
1501709,Bragança,PA,-0.8,-46.6,True,True,True,True,,3.0,0.0724,18.0,15.0,False,122951,107114,False,0.812339,False,69.716898,0.065163,0.472571,122.0
1504109,Magalhães Barata,PA,-0.4,-47.6,True,True,True,True,,5.0,0.154,18.0,13.0,False,7974,4235,False,0.464764,False,60.853067,0.13002,0.471927,123.0
4317301,Santa Vitória do Palmar,RS,-33.6,-53.0,True,True,True,True,,96.0,0.6276,96.0,0.0,False,30912,2795,False,0.180817,False,19.975454,1.0,0.468709,124.0
2923001,Nova Viçosa,BA,-18.0,-39.4,True,True,True,True,,4.0,0.2546,60.0,56.0,False,39480,9605,False,0.347245,False,54.217889,0.188434,0.465507,125.0
4321436,Terra de Areia,RS,-29.6,-49.8,True,True,True,True,,80.0,0.4995,80.0,0.0,False,10368,765,True,0.127672,False,33.605767,0.818235,0.463648,126.0
2101251,Bacabeira,MA,-2.4,-44.0,True,True,True,True,,1.0,0.2044,25.0,24.0,False,16990,5775,False,0.386898,False,61.73008,0.137532,0.451991,127.0
3205200,Vila Velha,ES,-20.4,-40.2,True,True,True,True,,16.0,0.1549,53.0,37.0,False,464614,456334,False,0.947902,False,17.306213,0.198981,0.450906,128.0
2919207,Lauro de Freitas,BA,-13.0,-38.2,True,True,True,True,,1.0,0.1641,27.0,26.0,False,203236,203189,False,0.909277,False,31.479104,0.111642,0.447243,129.0
2905800,Camamu,BA,-13.8,-38.8,True,True,True,True,,1.0,0.1165,29.0,28.0,False,30603,21927,False,0.647555,False,59.550549,0.081062,0.443474,130.0
2906303,Canavieiras,BA,-15.6,-38.8,True,True,True,True,,1.0,0.125,32.0,31.0,False,32663,27990,False,0.724037,False,49.76622,0.086523,0.443022,131.0
2105005,Humberto de Campos,MA,-2.2,-43.6,True,True,True,True,,1.0,0.077,18.0,17.0,False,25901,17154,False,0.608235,False,88.976296,0.055685,0.437273,132.0
2917300,Ituberá,BA,-13.8,-38.8,True,True,True,True,,1.0,0.1165,29.0,28.0,False,21999,19876,False,0.720509,False,51.229256,0.081062,0.436069,133.0
3200607,Aracruz,ES,-19.8,-40.0,True,True,True,True,,18.0,0.2356,51.0,33.0,False,94786,26952,False,0.415671,False,27.252041,0.26326,0.435512,134.0
2913457,Igrapiúna,BA,-13.8,-38.8,True,True,True,True,,1.0,0.1165,29.0,28.0,False,12838,7790,False,0.53567,False,68.595586,0.081062,0.43531,135.0
2922003,Mucuri,BA,-18.2,-39.4,True,True,True,True,,3.0,0.2277,59.0,56.0,False,37290,10555,False,0.378399,False,47.571783,0.164935,0.43477,136.0
4313508,Osório,RS,-30.0,-50.0,True,True,True,True,,71.0,0.4684,71.0,0.0,False,47228,4581,False,0.200692,False,19.33367,0.742305,0.429708,137.0
2933208,Vera Cruz,BA,-13.2,-38.6,True,True,True,True,,1.0,0.1063,30.0,29.0,False,42537,42537,False,0.810674,False,46.638134,0.074509,0.426044,138.0
3202207,Fundão,ES,-20.0,-40.0,True,True,True,True,,15.0,0.1658,47.0,32.0,False,17898,6341,False,0.399524,False,33.070934,0.199768,0.415437,139.0
2917805,Jaguaripe,BA,-13.2,-38.6,True,True,True,True,,1.0,0.1063,30.0,29.0,False,17676,8703,False,0.488626,False,72.477952,0.074509,0.415391,140.0
2112506,Tutóia,MA,-2.6,-42.4,True,True,True,True,,1.0,0.0637,18.0,17.0,False,52212,38971,False,0.695293,False,80.221717,0.04714,0.414819,141.0
1508035,Tracuateua,PA,-0.6,-46.8,True,True,True,True,,4.0,0.1424,16.0,12.0,False,28849,4977,False,0.270536,False,81.52382,0.116351,0.410919,142.0
2922607,Nilo Peçanha,BA,-13.8,-38.8,True,True,True,True,,1.0,0.1165,29.0,28.0,False,12345,6282,False,0.478278,False,65.672449,0.081062,0.409672,143.0
2111789,Serrano do Maranhão,MA,-1.4,-44.8,True,True,True,True,,1.0,0.1283,14.0,13.0,False,10137,2892,False,0.322826,False,85.44964,0.088643,0.403278,144.0
2903409,Belmonte,BA,-16.0,-38.8,True,True,True,True,,2.0,0.1391,42.0,40.0,False,20092,10104,False,0.502004,False,47.846495,0.101797,0.403268,145.0
2112407,Turiaçu,MA,-1.4,-45.2,True,True,True,True,,2.0,0.0441,17.0,15.0,False,37274,25437,False,0.640619,False,84.936311,0.040765,0.388211,146.0
3205309,Vitória,ES,-20.4,-40.2,True,True,True,True,,16.0,0.1549,53.0,37.0,False,322636,322636,False,0.936578,False,11.791797,0.198981,0.386798,147.0
2108058,Paulino Neves,MA,-2.6,-42.4,True,True,True,True,,1.0,0.0637,18.0,17.0,False,17355,8954,False,0.501774,False,91.099805,0.04714,0.383834,148.0
3201605,Conceição da Barra,ES,-18.6,-39.6,True,True,True,True,,3.0,0.1039,49.0,46.0,False,27366,15252,False,0.551553,False,45.167266,0.085401,0.381916,149.0
2927408,Salvador,BA,-13.0,-38.4,True,True,True,True,,1.0,0.1053,34.0,33.0,False,2416356,2403202,False,0.997274,False,28.163933,0.073866,0.378161,150.0
2403608,Extremoz,RN,-5.6,-35.0,True,True,True,True,,1.0,0.0833,23.0,22.0,False,61569,44507,False,0.691827,False,50.154051,0.059732,0.378011,151.0
2932903,Valença,BA,-13.4,-38.8,True,True,True,True,,1.0,0.0702,29.0,28.0,False,85560,65916,False,0.736846,False,48.297213,0.051316,0.359592,152.0
2401404,Baía Formosa,RN,-6.4,-34.8,True,True,True,True,,1.0,0.0662,24.0,23.0,False,8817,8755,False,0.69437,False,53.613708,0.048747,0.358693,153.0
2111003,São João Batista,MA,-2.4,-44.2,True,True,True,True,,1.0,0.2373,28.0,27.0,False,18979,1303,False,0.138335,False,81.199948,0.15867,0.356137,154.0
2905404,Cairu,BA,-13.6,-38.8,True,True,True,True,,1.0,0.0725,28.0,27.0,False,17106,17106,False,0.747186,False,41.985491,0.052794,0.345891,155.0
2920700,Maraú,BA,-14.0,-38.8,True,True,True,True,,1.0,0.0575,29.0,28.0,False,24460,17327,False,0.629656,False,59.966176,0.043157,0.343657,156.0
