municipality_code,municipality_name,state,grid_lat,grid_lon,has_association,has_svi,has_hazard_value,has_risk_value,absence_reason,compound_count_total,mean_integrated_severity,n_candidate_events,n_rejected_by_hat,point_accepted_zero_events,pop_municipality,pop_10km,degenerate_exposure,Exposure_Index,exposure_at_floor,SVI_Coast_2022,Hazard_Index_mun,Risk_Hazard,risk_rank,category
2704500,Maragogi,AL,-9.0,-35.0,True,True,True,True,,0.0,0.0,17.0,17.0,True,32034,29706,False,0.757155,False,62.526558,0.0,0.204674,195.0,hazard point accepted zero compound events
2704708,Marechal Deodoro,AL,-9.8,-35.8,True,True,True,True,,0.0,0.0,21.0,21.0,True,60303,60303,False,0.833717,False,45.859463,0.0,0.185934,221.0,hazard point accepted zero compound events
2921005,Mata de São João,BA,-12.6,-37.8,True,True,True,True,,0.0,0.0,21.0,21.0,True,42296,17191,False,0.476583,False,45.805553,0.0,0.142679,271.0,hazard point accepted zero compound events
2407500,Maxaranguape,RN,-5.4,-35.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,10371,7993,False,0.605481,False,62.581466,0.0,0.185175,222.0,hazard point accepted zero compound events
2609600,Olinda,PE,-8.0,-34.8,True,True,True,True,,0.0,0.0,22.0,22.0,True,346407,346407,False,0.940689,False,35.15898,0.0,0.173958,249.0,hazard point accepted zero compound events
2804904,Pacatuba,SE,-10.6,-36.6,True,True,True,True,,0.0,0.0,27.0,27.0,True,12380,6035,False,0.465844,False,74.814255,0.0,0.178217,237.0,hazard point accepted zero compound events
2310209,Paracuru,CE,-3.8,-38.2,True,True,True,True,,0.0,0.0,24.0,24.0,True,38921,33006,False,0.730724,False,57.880859,0.0,0.194621,209.0,hazard point accepted zero compound events
2310258,Paraipaba,CE,-3.2,-39.0,True,True,True,True,,0.0,0.0,24.0,24.0,True,32235,13540,False,0.473119,False,56.124732,0.0,0.156887,264.0,hazard point accepted zero compound events
2706448,Paripueira,AL,-9.6,-35.6,True,True,True,True,,0.0,0.0,19.0,19.0,True,13842,13621,False,0.724592,False,50.619838,0.0,0.182444,228.0,hazard point accepted zero compound events
2706505,Passo de Camaragibe,AL,-9.6,-35.6,True,True,True,True,,0.0,0.0,19.0,19.0,True,13661,5034,False,0.395963,False,65.64441,0.0,0.155293,268.0,hazard point accepted zero compound events
2610707,Paulista,PE,-8.0,-34.8,True,True,True,True,,0.0,0.0,22.0,22.0,True,341519,340942,False,0.938977,False,37.060776,0.0,0.178093,239.0,hazard point accepted zero compound events
2409506,Pedra Grande,RN,-4.8,-35.8,True,True,True,True,,0.0,0.0,15.0,15.0,True,3659,3099,False,0.561915,False,61.95013,0.0,0.17812,238.0,hazard point accepted zero compound events
2706802,Piaçabuçu,AL,-10.4,-36.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,15918,12759,False,0.649598,False,56.794773,0.0,0.182933,225.0,hazard point accepted zero compound events
2805307,Pirambu,SE,-10.8,-36.6,True,True,True,True,,0.0,0.0,21.0,21.0,True,7810,7810,False,0.687868,False,51.970344,0.0,0.18031,234.0,hazard point accepted zero compound events
2707404,Porto de Pedras,AL,-9.2,-35.2,True,True,True,True,,0.0,0.0,19.0,19.0,True,9326,8012,False,0.639435,False,63.077415,0.0,0.190499,214.0,hazard point accepted zero compound events
2410256,Porto do Mangue,RN,-4.8,-36.8,True,True,True,True,,0.0,0.0,20.0,20.0,True,5177,4040,False,0.559817,False,64.808171,0.0,0.181536,231.0,hazard point accepted zero compound events
2611606,Recife,PE,-8.2,-34.8,True,True,True,True,,0.0,0.0,21.0,21.0,True,1489975,1487647,False,0.999218,False,27.460838,0.0,0.15936,263.0,hazard point accepted zero compound events
2408953,Rio do Fogo,RN,-5.4,-35.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,9870,9533,False,0.691312,False,62.281766,0.0,0.196187,205.0,hazard point accepted zero compound events
2707800,Roteiro,AL,-10.0,-35.8,True,True,True,True,,0.0,0.0,20.0,20.0,True,6474,6474,False,0.672899,False,50.485504,0.0,0.176127,246.0,hazard point accepted zero compound events
1506302,Salvaterra,PA,-0.8,-48.4,True,True,True,True,,0.0,0.0,28.0,28.0,True,24094,23831,False,0.76668,False,68.032548,0.0,0.213622,192.0,hazard point accepted zero compound events
2513703,Santa Rita,PB,-7.0,-34.8,True,True,True,True,,0.0,0.0,25.0,25.0,True,148951,138679,False,0.85518,False,51.050057,0.0,0.197409,204.0,hazard point accepted zero compound events
2614204,Sirinhaém,PE,-8.8,-35.0,True,True,True,True,,0.0,0.0,20.0,20.0,True,37353,28996,False,0.691274,False,60.232206,0.0,0.193252,212.0,hazard point accepted zero compound events
2411601,São Bento do Norte,RN,-4.8,-36.0,True,True,True,True,,0.0,0.0,17.0,17.0,True,3028,2526,False,0.540816,False,61.473357,0.0,0.174377,248.0,hazard point accepted zero compound events
1507102,São Caetano de Odivelas,PA,-0.6,-48.0,True,True,True,True,,0.0,0.0,32.0,32.0,True,17150,14433,False,0.674029,False,63.323204,0.0,0.195419,207.0,hazard point accepted zero compound events
2312403,São Gonçalo do Amarante,CE,-3.8,-38.2,True,True,True,True,,0.0,0.0,24.0,24.0,True,53955,22668,False,0.497387,False,53.129316,0.0,0.156526,265.0,hazard point accepted zero compound events
2613404,São José da Coroa Grande,PE,-9.0,-35.0,True,True,True,True,,0.0,0.0,17.0,17.0,True,17956,17834,False,0.747655,False,57.552962,0.0,0.196133,206.0,hazard point accepted zero compound events
2412559,São Miguel do Gostoso,RN,-5.0,-35.6,True,True,True,True,,0.0,0.0,11.0,11.0,True,10382,7298,False,0.572218,False,63.53694,0.0,0.18171,230.0,hazard point accepted zero compound events
2708709,São Miguel dos Milagres,AL,-9.6,-35.6,True,True,True,True,,0.0,0.0,19.0,19.0,True,8427,8386,False,0.691772,False,53.418023,0.0,0.183067,224.0,hazard point accepted zero compound events
2614857,Tamandaré,PE,-8.8,-35.0,True,True,True,True,,0.0,0.0,20.0,20.0,True,23547,19600,False,0.690656,False,52.965979,0.0,0.182223,229.0,hazard point accepted zero compound events
2411056,Tibau,RN,-4.8,-37.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,5827,5063,False,0.608469,False,52.21888,0.0,0.170746,254.0,hazard point accepted zero compound events
2414407,Touros,RN,-5.2,-35.4,True,True,True,True,,0.0,0.0,19.0,19.0,True,32894,21001,False,0.608815,False,65.285199,0.0,0.189239,216.0,hazard point accepted zero compound events
2313500,Trairi,CE,-3.2,-39.2,True,True,True,True,,0.0,0.0,24.0,24.0,True,58274,38037,False,0.648878,False,69.208688,0.0,0.19992,202.0,hazard point accepted zero compound events
2932507,Una,BA,-15.2,-38.8,True,True,True,True,,0.0,0.0,29.0,29.0,True,18049,11985,False,0.587424,False,49.816882,0.0,0.164289,261.0,hazard point accepted zero compound events
1508308,Viseu,PA,-1.0,-46.0,True,True,True,True,,0.0,0.0,18.0,18.0,True,58873,33687,False,0.601292,False,85.714332,0.0,0.212503,193.0,hazard point accepted zero compound events
1600204,Calçoene,AP,2.6,-50.8,True,True,True,True,,0.0,0.0,33.0,33.0,True,10554,101,True,0.01,True,73.215782,0.0,0.0,280.0,hazard point accepted zero compound events; pop_10km < 1000
1600501,Oiapoque,AP,4.2,-51.2,True,True,True,True,,2.0,0.0594,14.0,12.0,False,27264,518,True,0.058249,False,72.771775,0.050594,0.141437,272.0,pop_10km < 1000
2110203,Santa Rita,MA,-2.4,-44.0,True,True,True,True,,1.0,0.2044,25.0,24.0,False,36789,4,True,0.01,True,72.245788,0.137532,0.094079,279.0,pop_10km < 1000
4321436,Terra de Areia,RS,-29.6,-49.8,True,True,True,True,,80.0,0.4995,80.0,0.0,False,10368,765,True,0.127672,False,33.605767,0.818235,0.463648,126.0,pop_10km < 1000
