municipality,state,role,expectation_hazard,verdict_hazard,hazard_rank,Hazard_Index_mun,expectation_risk,verdict_risk,risk_rank,Risk_Hazard,Hazard_Frequency,Hazard_Severity,Exposure_absolute,Exposure_relative,Exposure_Index,Vulnerability_CDF_PC1,pop_municipality,pop_eff,distance_km,coverage_status,risk_zero_cause,evidence,rationale
Chaves,PA,negative_control,low,diverges,138.0,0.071304,ambiguous,not scored (expectation is ambiguous by design),52.0,0.339802,0.070707,0.0719,0.517395,0.591374,0.553149,0.994764,19848,11737.6,3.528482218061098,associated_with_hazard,nonzero,"thr_hs 0.24 m; normalised intensity 0.203, near the domain minimum; hotspot driven purely by SVI = 100","Marajó erosion is documented but driven by tide and currents, not by compound wave-surge events. Hazard should be low; risk may still be high through vulnerability, which is legitimate but must be explained"
Duque de Caxias,RJ,negative_control,low,diverges,29.0,0.626878,low,diverges,25.0,0.385615,0.565657,0.6881,0.79705,0.191074,0.390251,0.234388,807233,154241.2,35.22508557392514,associated_with_hazard,nonzero,As Magé,As Magé
Guapimirim,RJ,negative_control,low,diverges,29.0,0.626878,low,diverges,53.0,0.337326,0.565657,0.6881,0.436198,0.107772,0.216818,0.282405,51557,5556.4,30.303119069339676,associated_with_hazard,nonzero,As Magé,As Magé
Magé,RJ,negative_control,low,diverges,29.0,0.626878,low,diverges,3.0,0.468027,0.565657,0.6881,0.698477,0.272705,0.436438,0.374721,228147,62216.9,34.65066709174607,associated_with_hazard,nonzero,"Inner Guanabara Bay, sheltered from swell; receives an open-shelf point 35 km away","These municipalities do flood, but fluvially and pluvially, not by wave. Baseline review: confidence VERY LOW, clear support error"
Paraty,RJ,negative_control,low,diverges,39.0,0.612684,ambiguous,not scored (expectation is ambiguous by design),5.0,0.440631,0.686869,0.5385,0.592569,0.528327,0.559527,0.249556,44399,23457.2,14.816366098208608,associated_with_hazard,nonzero,"Baía da Ilha Grande, sheltered; recurrent flooding of the historic centre driven by spring tide plus rain, not swell","Partial agreement only: the flooding is real, the mechanism is not the one detected"
Linhares,ES,positive_control,high,diverges,104.0,0.135157,low,meets,188.0,0.129568,0.141414,0.1289,0.389764,0.021734,0.092038,0.174859,166694,3622.9,10.753327834465761,associated_with_hazard,nonzero,"Contains Regência, Rio Doce mouth; recurrent erosion and flooding",Same mechanism as Campos dos Goytacazes
Araruama,RJ,positive_control,high,meets,50.0,0.571022,high,meets,67.0,0.32018,0.434343,0.7077,0.508313,0.083221,0.205675,0.279478,129723,10795.7,7.486786491917022,associated_with_hazard,nonzero,"Região dos Lagos, as above",As Maricá
Campos dos Goytacazes,RJ,positive_control,high,meets,80.0,0.327813,low,diverges,159.0,0.191218,0.262626,0.393,0.48643,0.018253,0.094228,0.226351,483486,8825.1,18.47249576598277,associated_with_hazard,nonzero,"Contains Farol de São Tomé, among the most documented erosion cases in Brazil","Hazard should be high. Risk is expected LOW and that is not a failure: 483k residents with only ~9k in the effective coastal band, so the relative exposure term legitimately dominates. AUD-08 measures this as declared MAUP, not as error"
Maricá,RJ,positive_control,high,meets,36.0,0.622428,high,meets,11.0,0.426837,0.555556,0.6893,0.704616,0.333913,0.485057,0.257575,197166,65836.2,4.384206323511792,associated_with_hazard,nonzero,Região dos Lagos: documented ressacas and erosion; published local coastal-flood vulnerability assessment,"Straight coast exposed to S/SW swell, narrow shelf, favourable orientation. Baseline review rates confidence HIGH with no suspected artefact"
Saquarema,RJ,positive_control,high,meets,49.0,0.584224,high,meets,9.0,0.430434,0.484848,0.6836,0.633119,0.38042,0.490766,0.278143,89580,34078.0,7.447966708993958,associated_with_hazard,nonzero,"Região dos Lagos, as above",As Maricá
Rio Grande,RS,positive_control,high,meets,17.0,0.655641,high,meets,12.0,0.421935,0.818182,0.4931,0.792949,0.779852,0.786373,0.145694,190452,148524.3,10.893575651485603,associated_with_hazard,nonzero,Same sector; documented surge extremes and coastal erosion,As São José do Norte
São José do Norte,RS,positive_control,high,meets,3.0,0.773697,high,meets,1.0,0.566342,0.939394,0.608,0.580573,0.841925,0.699141,0.335814,24947,21003.5,8.759956697088182,associated_with_hazard,nonzero,RS is the best-studied Brazilian sector for surge-driven ressacas and erosion,Maximum event frequency of the domain; phase random against spring tide. Confidence HIGH
Balneário Camboriú,SC,positive_control,high,meets,81.0,0.325266,ambiguous,not scored (expectation is ambiguous by design),186.0,0.130837,0.323232,0.3273,0.697792,0.453514,0.562547,0.01224,136326,61825.8,16.818520493376234,associated_with_hazard,nonzero,Beach nourishment of BRL 31 million in 2021; chronic erosion documented,"The most visible beach-nourishment case in Brazil. Hazard should be high: exposed central SC coast. Integrated risk is ambiguous by construction, because the municipality is among the wealthiest in the country and the vulnerability layer is a material-deprivation axis"
Itajaí,SC,positive_control,high,meets,81.0,0.325266,ambiguous,not scored (expectation is ambiguous by design),175.0,0.170952,0.323232,0.3273,0.640096,0.137652,0.296834,0.051745,263998,36339.8,23.090992250202838,associated_with_hazard,nonzero,Port access channel closed for 5 days by a ressaca; over BRL 1 million lost by shipowners,"Documented operational disruption. Hazard should be high. Risk is ambiguous: the loss is to assets and operations, a dimension this index does not measure"
Itapema,SC,positive_control,high,meets,72.0,0.349469,ambiguous,not scored (expectation is ambiguous by design),139.0,0.226699,0.373737,0.3252,0.674048,0.659514,0.666741,0.050002,75330,49681.2,19.379718004242427,associated_with_hazard,nonzero,"Central SC coast, same sector as the documented closures",Weaker individual evidence than Itajaí; included because the baseline review treats the four SC municipalities as one failure block
Laguna,SC,positive_control,high,meets,4.0,0.75754,high,meets,26.0,0.38399,0.79798,0.7171,0.638735,0.838623,0.731887,0.10212,42793,35887.2,1.2231858750877374,associated_with_hazard,nonzero,"Exposed southern SC coast, high wave energy",Included as an exposed-coast control against the sheltered SC cases
Navegantes,SC,positive_control,high,meets,81.0,0.325266,ambiguous,not scored (expectation is ambiguous by design),149.0,0.213029,0.323232,0.3273,0.615809,0.336808,0.455422,0.065263,86269,29056.1,25.35067793437217,associated_with_hazard,nonzero,Same closure event; shoreline erosion documented,Same sector and same event as Itajaí
Bertioga,SP,positive_control,high,meets,6.0,0.719189,high,meets,16.0,0.406928,0.777778,0.6606,0.64108,0.571344,0.605208,0.154812,64183,36670.6,6.363267695132873,associated_with_hazard,nonzero,"North coast of São Paulo, as above",As São Sebastião
São Sebastião,SP,positive_control,high,meets,7.0,0.714088,high,meets,8.0,0.432443,0.767677,0.6605,0.676138,0.622624,0.648829,0.174543,81344,50646.7,0.2231822906912678,associated_with_hazard,nonzero,North coast of São Paulo: ressaca history and the São Sebastião port,"Baseline review records the municipal maximum of hazard here, confidence HIGH, no suspected artefact"
Itaboraí,RJ,underestimation_watch,high,meets,29.0,0.626878,low,diverges,118.0,0.252394,0.565657,0.6881,0.368976,0.013364,0.070221,0.365246,223854,2991.6,18.9301872546007,associated_with_hazard,nonzero,"223k residents, hazard 0.63, but the urban core sits back from the shore; the 1 km band counts zero residents",Included to test the effective-population decision of AUD-08 at its worst case
Osório,RS,underestimation_watch,high,meets,40.0,0.592786,low,diverges,156.0,0.197916,0.717172,0.4684,0.354177,0.055272,0.139915,0.093472,47228,2610.4,13.689918791077819,associated_with_hazard,nonzero,"RS has the highest event frequency in the domain, yet the baseline review records this municipality as depressed by low SVI and low relative exposure",Included to test whether the exposure-vulnerability compensation still acts against the physical evidence
Santa Vitória do Palmar,RS,underestimation_watch,high,meets,1.0,0.798648,low,diverges,131.0,0.234787,0.969697,0.6276,0.345518,0.077973,0.164137,0.098732,30912,2410.3,11.08459467176764,associated_with_hazard,nonzero,As Osório,As Osório
