grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,n_hs_episodes,n_zos_episodes,n_candidate_events,hat_m,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-32.2,-51.6,2.52,0.311231,0.098206,603,623,266,0.475387,50,216,6.55,1.69,4.0,5.0,1.51,3.0,0.3976,0.8393,1.0,0.5845,1.692,2.7545
-32.0,-51.8,1.52,0.383822,0.111584,617,678,268,0.50218,36,232,7.03,1.47,3.0,5.0,1.4,3.0,0.3733,0.7124,0.984,0.5145,1.3243,2.5407
-32.0,-51.6,2.0,0.346131,0.102784,588,649,251,0.460966,28,223,6.76,1.59,3.0,5.0,1.5,3.0,0.3951,0.7497,1.0,0.5689,1.4758,2.6552
-32.0,-51.4,2.56,0.303084,0.093313,586,611,256,0.421791,31,225,6.82,1.67,4.0,5.0,1.56,3.0,0.4074,0.8822,1.0,0.6101,1.6521,2.84
-32.0,-51.2,2.88,0.254321,0.085132,594,563,254,0.388714,49,205,6.21,1.79,4.0,5.0,1.62,3.0,0.4068,0.8578,1.0,0.6261,1.9839,2.8129
-31.8,-51.4,2.02,0.352066,0.09802,600,647,255,0.402355,7,248,7.52,1.54,3.0,5.0,1.51,3.0,0.4069,0.77,1.0,0.5932,1.5563,2.7597
-31.8,-51.2,2.63,0.298127,0.088323,587,597,252,0.381555,21,231,7.0,1.68,3.0,5.0,1.59,3.0,0.4222,0.8856,1.0,0.6381,1.6718,2.842
-31.8,-51.0,2.92,0.240462,0.082398,582,546,245,0.383175,58,187,5.67,1.85,4.0,5.0,1.61,3.0,0.4001,0.839,1.0,0.6136,1.8479,2.6911
-31.6,-51.2,2.03,0.345728,0.094876,598,634,249,0.376494,6,243,7.36,1.54,3.0,5.0,1.52,3.0,0.4014,0.7755,1.0,0.5911,1.5445,2.7951
-31.6,-51.0,2.63,0.283773,0.086368,580,580,246,0.380624,29,217,6.58,1.69,3.2,5.0,1.59,3.0,0.398,0.8865,1.0,0.6054,1.7572,2.7677
-31.6,-50.8,2.97,0.227201,0.089498,593,533,241,0.382144,77,164,4.97,1.9,4.0,5.0,1.6,3.0,0.3632,0.7905,1.0,0.5587,1.8078,2.4352
-31.4,-50.8,2.73,0.272576,0.088925,571,562,221,0.381983,32,189,5.73,1.7,3.6,5.0,1.57,3.0,0.3916,0.8631,1.0,0.5839,1.6896,2.6172
-31.4,-50.6,3.0,0.22405,0.097127,585,548,243,0.38644,99,144,4.36,1.97,4.0,5.0,1.58,3.0,0.3493,0.7472,0.9454,0.5219,1.6805,2.208
-31.2,-50.8,2.41,0.320875,0.093651,586,609,229,0.380958,10,219,6.64,1.53,3.0,5.0,1.51,3.0,0.3882,0.8075,1.0,0.561,1.4713,2.7106
-31.2,-50.6,2.61,0.259785,0.095343,589,548,240,0.387122,55,185,5.61,1.78,4.0,5.0,1.56,3.8,0.3503,0.7494,0.9809,0.5186,1.5678,2.6045
-31.2,-50.4,2.93,0.220443,0.104889,600,578,250,0.39104,131,119,3.61,1.94,4.1,5.0,1.51,3.0,0.3277,0.6944,0.8565,0.4831,1.5385,2.009
-31.0,-50.6,2.4,0.300475,0.09754,575,590,206,0.388655,21,185,5.61,1.57,3.0,5.0,1.5,3.0,0.3515,0.7942,0.9525,0.5037,1.3097,2.4751
-31.0,-50.4,2.73,0.251092,0.102053,597,552,234,0.392952,71,163,4.94,1.82,4.0,5.0,1.56,3.9,0.3366,0.7531,0.9621,0.5002,1.4735,2.8432
-31.0,-50.2,3.028,0.218686,0.107627,594,589,245,0.39588,146,99,3.0,2.05,5.0,5.0,1.55,3.0,0.3361,0.6794,0.817,0.499,1.499,2.2899
-30.8,-50.4,2.48,0.290833,0.102161,577,565,216,0.395301,34,182,5.52,1.64,3.0,5.0,1.53,3.0,0.346,0.7728,0.931,0.5063,1.2982,3.0224
-30.8,-50.2,2.85,0.247742,0.103453,585,555,240,0.398879,83,157,4.76,1.83,4.0,5.0,1.53,4.0,0.3322,0.7505,0.9207,0.4877,1.482,2.8264
-30.6,-50.4,1.94,0.322103,0.104434,571,592,129,0.39741,13,116,3.52,1.46,3.0,5.0,1.42,3.0,0.3149,0.6676,0.7928,0.4302,1.1266,2.4298
-30.6,-50.2,2.53,0.282551,0.102945,569,553,214,0.404066,40,174,5.27,1.68,3.0,5.0,1.53,3.0,0.3293,0.7061,0.8851,0.4726,1.2546,2.9707
-30.6,-50.0,2.89,0.244868,0.106092,580,552,235,0.406059,97,138,4.18,1.93,4.0,6.0,1.55,3.15,0.3394,0.7385,0.9097,0.4961,1.5296,2.766
-30.4,-50.2,2.1,0.30499,0.1047,556,570,157,0.412557,24,133,4.03,1.56,3.0,5.0,1.44,2.4,0.3083,0.6492,0.796,0.426,1.1164,2.4513
-30.4,-50.0,2.62,0.266964,0.106848,579,547,217,0.413877,59,158,4.79,1.79,4.0,6.0,1.51,3.0,0.3276,0.6946,0.8792,0.4727,1.2915,2.8617
-30.4,-49.8,2.97,0.235741,0.104427,587,571,238,0.413275,110,128,3.88,1.98,4.0,6.0,1.56,3.0,0.3451,0.7118,0.9019,0.5027,1.5568,2.7034
-30.2,-50.0,2.4,0.281295,0.105923,555,548,172,0.423298,36,136,4.12,1.72,3.0,5.0,1.51,3.0,0.3234,0.7238,0.8311,0.4459,1.274,2.7678
-30.2,-49.8,2.8,0.250672,0.103083,572,553,220,0.421627,79,141,4.27,1.87,4.0,6.0,1.55,3.0,0.3405,0.6876,0.9466,0.4938,1.318,2.7988
-30.0,-50.0,2.1,0.296335,0.1054,535,561,129,0.431692,29,100,3.03,1.59,3.0,5.0,1.42,2.05,0.3216,0.6795,0.7311,0.4325,1.1684,2.3238
-30.0,-49.8,2.64,0.261981,0.101242,574,548,206,0.430222,54,152,4.61,1.8,3.0,6.0,1.51,3.0,0.3306,0.7032,0.8946,0.4734,1.2863,2.9006
-29.8,-49.8,2.43,0.279454,0.100544,548,555,199,0.438053,36,163,4.94,1.67,3.0,6.0,1.47,3.0,0.3251,0.7338,0.8828,0.4538,1.3174,2.9714
