grid_lat,grid_lon,surge_q90_anomaly_cm,surge_q99_anomaly_cm,springneap_swing_cm,surge_q99_over_swing,zos_seasonal_amplitude_cm,zos_synoptic_residual_std_cm,seasonal_over_synoptic,latitude_band,hs_q99_m,wave_setup_proxy_cm,storm_component_cm,q_storm_over_tide,n_compound_zos,n_compound_ssh_total,rayleigh_R_compound_zos,rayleigh_p_compound_zos,rayleigh_R_compound_ssh_total,rayleigh_p_compound_ssh_total,branch,selected_R,selected_p,selected_locked
-33.2,-52.4,23.67250134978816,53.843533420901736,56.31073564291,0.9561859351713352,16.73090006473106,17.265914807143925,0.9690132409206896,RS,3.3147999382019,66.295998764038,120.13953218493974,2.13351025898143,279,252,0.0327889339523297,0.7411887907344674,0.1084348959807155,0.0515144170578791,keep_tide_SSH_total,0.1084348959807155,0.0515144170578791,False
-33.2,-52.2,19.149229076867357,45.63428094721336,51.820383965969086,0.8806241377366444,15.194865617119085,13.938494276388724,1.090136805010467,RS,3.9096000862121496,78.192001724243,123.82628267145637,2.3895284672682897,286,245,0.0239062011171628,0.8494310467702572,0.0931803421274178,0.1191338736215081,keep_tide_SSH_total,0.0931803421274178,0.1191338736215081,False
-33.0,-52.4,25.60227294819903,56.76534589188645,58.86615142226219,0.9643121644677242,16.905926673362,18.52742139112851,0.912481360274834,RS,2.640000104904175,52.800002098083496,109.56534798996995,1.8612622932324767,235,208,0.0512935112061423,0.5393551057367756,0.1296138502739801,0.0301770340264831,keep_tide_SSH_total,0.1296138502739801,0.0301770340264831,False
-33.0,-52.2,21.55196523008752,50.170686119178974,54.63690645992756,0.9182563466688172,15.97495725161186,15.651944315101543,1.0206372403330533,RS,3.549999952316284,70.99999904632568,121.17068516550466,2.2177442504797575,254,226,0.0287379689990385,0.8110694139169842,0.0881739647877895,0.1726315437652233,keep_tide_SSH_total,0.0881739647877895,0.1726315437652233,False
-32.8,-52.4,27.574975161044343,59.295463590113805,59.60876233875752,0.994744082306839,17.05271638414564,19.95056412669353,0.8547485813360727,RS,2.630000114440918,52.60000228881836,111.89546587893216,1.8771647235859132,207,192,0.0365369286428653,0.7589959617490897,0.1294873265618512,0.0397793213456863,keep_tide_SSH_total,0.1294873265618512,0.0397793213456863,False
-32.8,-52.2,23.77725878423396,53.36758843129813,56.43955245614052,0.9455707231691884,16.30775990922922,17.1789381373413,0.9492880048145448,RS,3.109999895095825,62.199997901916504,115.56758633321463,2.0476347048113612,226,200,0.0406135419227306,0.689280661367461,0.1006686239332907,0.13174312770136,keep_tide_SSH_total,0.1006686239332907,0.13174312770136,False
-32.8,-52.0,20.3558361305668,47.33981297153966,52.71204728633165,0.8980833681983544,15.453130330492016,14.67758514669078,1.052838745341981,RS,3.7699999809265137,75.39999961853027,122.73981259006993,2.3284964046899512,256,229,0.0449636039210442,0.5964188487103247,0.0963633835045018,0.1192223325095131,keep_tide_SSH_total,0.0963633835045018,0.1192223325095131,False
-32.6,-52.2,24.85916773040185,55.14018479545005,58.25765933841467,0.9464881600399456,16.357187293195512,17.93324879862136,0.91211511516268,RS,2.930000066757202,58.60000133514404,113.74018613059408,1.9523645031786343,196,177,0.0112006811123826,0.975771028367996,0.1031448467438327,0.1521689259325145,keep_tide_SSH_total,0.1031448467438327,0.1521689259325145,False
-32.6,-52.0,21.8298481256425,50.1312530786454,55.14350086450577,0.9091053758415508,15.789117610886466,15.728685396744948,1.0038421656112484,RS,3.6548000907897906,73.09600181579582,123.22725489444122,2.234665064106565,238,208,0.0479430013277504,0.5791377029578598,0.0886938942735197,0.1948480100571993,keep_tide_SSH_total,0.0886938942735197,0.1948480100571993,False
-32.4,-52.2,26.804782731357054,57.82972131473107,58.52934420108795,0.9880466303542852,16.653081082983505,19.298714938813344,0.8629113977683058,RS,2.7200000286102295,54.40000057220459,112.22972188693566,1.917494949223257,185,173,0.0413483567398443,0.7293713406872305,0.0864989600324673,0.2744260922921723,keep_tide_SSH_total,0.0864989600324673,0.2744260922921723,False
-32.4,-52.0,23.75533801621627,53.45668632096472,55.01067098230124,0.9717512141992144,16.20267761486026,17.227018647521714,0.9405386936869186,RS,3.1700000762939453,63.400001525878906,116.85668784684363,2.1242549083693287,229,208,0.0554235961981633,0.4953752680366194,0.1211327549579385,0.047080396615011,keep_tide_SSH_total,0.1211327549579385,0.047080396615011,False
-32.4,-51.8,21.53434236968345,49.0091546388942,51.7127700150013,0.9477186123403792,15.89239965608445,15.536005370550612,1.0229398920142885,RS,3.740000009536743,74.80000019073486,123.80915482962907,2.394169849994758,257,234,0.064748977066896,0.340791057541327,0.0780384700908649,0.2407051683328319,keep_tide_SSH_total,0.0780384700908649,0.2407051683328319,False
-32.2,-52.0,26.88178424704825,58.191578673012586,54.18990235775709,1.0738454239839144,16.90048226058296,19.42254874249972,0.8701475014760517,RS,2.8447999095916705,56.895998191833414,115.087576864846,2.1237826948837752,254,234,0.0429789422088515,0.6259536878348465,0.1144136711804723,0.0465758037689527,keep_tide_SSH_total,0.1144136711804723,0.0465758037689527,False
-32.2,-51.8,24.13974153353716,53.55047559096352,50.833879970014095,1.0534406506556628,16.54216291303932,17.534062282625467,0.9434301445039908,RS,3.130000114440918,62.60000228881836,116.15047787978187,2.2849028629783277,268,245,0.0498872569028118,0.5136815326038878,0.0848845673396476,0.1712046541635035,keep_tide_SSH_total,0.0848845673396476,0.1712046541635035,False
-32.2,-51.6,21.302492571360293,48.31274039793646,46.41580656170845,1.0408682726154097,16.06435844783709,15.28736519288231,1.0508258450786891,RS,3.619999885559082,72.39999771118164,120.7127381091181,2.6006816869299487,280,253,0.0446766438363982,0.5722603936822043,0.0790853834493543,0.2056185360544886,keep_tide_SSH_total,0.0790853834493543,0.2056185360544886,False
-32.0,-51.8,27.22385594789827,58.43548617307982,48.845090717077255,1.1963430779881747,17.31457267669847,19.589848271802648,0.8838543533601955,RS,2.190000057220459,43.80000114440918,102.235487317489,2.0930555316124195,279,253,0.0488513456913145,0.5142611793522697,0.0827289114564092,0.1770914522493852,keep_tide_SSH_total,0.0827289114564092,0.1770914522493852,False
