municipality_name,state,compound_c,mean_overl,mean_compo,Hazard_Index,frequency_minmax,duration_minmax,intensity_minmax,hazard_former_count_only,hazard_current_multimetric_raw,hazard_current_multimetric,hazard_count_only_minus_multimetric
Maceió,AL,51.000000,2.020000,0.325000,0.349340,0.028674,0.608000,0.412120,0.000000,0.349598,0.349340,-0.349340
Porto de Pedras,AL,54.000000,2.060000,0.364500,0.422669,0.039427,0.640000,0.474948,0.012048,0.384792,0.422669,-0.410621
Maragogi,AL,53.000000,2.000000,0.419100,0.447160,0.035842,0.592000,0.561794,0.008032,0.396545,0.447160,-0.439128
Barreiros,PE,55.000000,2.000000,0.391100,0.421206,0.043011,0.592000,0.517258,0.016064,0.384090,0.421206,-0.405142
Cabo de Santo Agostinho,PE,61.000000,2.030000,0.385000,0.446073,0.064516,0.616000,0.507555,0.040161,0.396024,0.446073,-0.405912
Recife,PE,62.000000,2.020000,0.406100,0.466315,0.068100,0.608000,0.541117,0.044177,0.405739,0.466315,-0.422138
Olinda,PE,65.000000,2.000000,0.377000,0.430524,0.078853,0.592000,0.494831,0.056225,0.388561,0.430524,-0.374299
Igarassu,PE,69.000000,1.990000,0.343600,0.398028,0.093190,0.584000,0.441705,0.072289,0.372965,0.398028,-0.325739
Goiana,PE,63.000000,1.780000,0.284200,0.200790,0.071685,0.416000,0.347224,0.048193,0.278303,0.200790,-0.152597
Pitimbu,PB,64.000000,1.910000,0.368000,0.368086,0.075269,0.520000,0.480515,0.052209,0.358595,0.368086,-0.315877
Cabedelo,PB,67.000000,1.760000,0.257300,0.169919,0.086022,0.400000,0.304438,0.064257,0.263486,0.169919,-0.105662
Rio Tinto,PB,61.000000,1.930000,0.268500,0.261812,0.064516,0.536000,0.322252,0.040161,0.307589,0.261812,-0.221651
Mataraca,PB,60.000000,1.950000,0.349800,0.360248,0.060932,0.552000,0.451567,0.036145,0.354833,0.360248,-0.324103
Baía Formosa,RN,57.000000,2.040000,0.388200,0.445206,0.050179,0.624000,0.512645,0.024096,0.395608,0.445206,-0.421110
