Disaster ID,Dates of occurrence (mm/dd/yyyy),Months,Municipalities,Coastal Sectors,EM or SPC,hgt,Wspd (m/s),Wdir (m/s),Hs (m),Hsdir (°),HsPp (s),WP,Number of Human Damage,Material Damage (BRL),Environmental Damage (BRL),Public Economic Losses (BRL),Private Economic Losses (BRL)
43,2017-09-13 00:00:00,September,Barra Velha,North,EM,1805.453125,5.314169737597775,325.8912860032285,1.46625,89.81374,9.1775,2,10000,2088784.97,0,2088784.97,0
44,2017-09-16 00:00:00,September,Navegantes,Central-north,*,1902.25390625,11.18844046326386,354.6664814330251,1.49875,96.55625,9.45875,2,1900,385846.3,0,385846.3,0
45,2017-09-18 00:00:00,September,Balneário Barra do Sul,North,*,1863.4296875,8.054594961883558,341.0926585166359,1.27625,104.86125,9.23625,2,621,0,0,200000,980000
46,2017-09-30 00:00:00,September,Itapema,Central-north,*,1477.12109375,9.76426136479355,277.5326014009473,1.86875,95.43625,7.8725004,4,3,0,0,0,0
47,2017-10-01 00:00:00,October,Garopaba,Central-south,*,368.421875,3.12313944613429,34.30065662569586,2.31375,104.534996,9.9475,4,220,1750000,0,600000,0
48,2017-10-07 00:00:00,October,São Francisco do Sul,North,EM,1561.428466796875,7.404120474438541,298.1225587094444,1.0875,95.0875,8.13625,4,1000,870000,0,24500,0
49,2017-12-10 00:00:00,October,Bombinhas,Central-north,*,684.55908203125,3.807282495428991,329.191096549024,1.1175,112.73,9.393751,5,15000,491965.81,0,498096.44,150000
50,2017-12-11 00:00:00,November,São Francisco do Sul,North,*,269.90478515625,8.278508319739736,207.2460062280869,1.10375,116.81,7.7599998,3,5000,30000,0,5000,0
50,11/26/2017,November,Balneário Barra do Sul,North,*,1088.424560546875,4.024835400361113,231.9627057929651,0.75625,93.76375,8.0625,2,1299,0,0,0,0
51,2017-12-17 00:00:00,December,Araquari,North,*,944.94921875,8.326325720268214,221.2506588174259,0.925,75.355,5.53125,2,53,0,0,0,0
52,2018-04-14 00:00:00,April,Porto Belo,Central-north,*,1820.0849609375,13.59011773311769,351.1961413076469,1.525,140.22,6.8412495,1,0,0,0,0,0
53,2018-05-21 00:00:00,May,Itapoá,North,*,1275.59765625,7.143703521283621,15.00891367665866,1.1925,151.60625,13.585001,3,0,0,0,0,0
54,2018-06-15 00:00:00,June,Itapoá,North,*,2186.58984375,4.915495905806453,327.3768298705876,0.8,146.385,14.630001,5,0,80000,0,0,0
55,2018-07-07 00:00:00,July,Balneário Barra do Sul,North,*,1691.496826171875,3.240385779502187,338.264259000095,1.025,134.4325,13.003749,1,0,0,0,0,0
56,2018-09-18 00:00:00,September,Balneário Camboriú,Central-north,*,975.0234375,3.023789013803708,235.1011183477082,2.19875,110.20874,11.875,4,0,0,0,0,0
57,2018-09-19 00:00:00,September,Itapoá,North,EM,834.46484375,3.876209488662861,210.2032377549426,1.5050001,110.14,13.06625,4,302,3917462.82,0,3882462.82,0
58,2018-10-08 00:00:00,October,Itapoá,North,*,1435.22265625,4.408559855553738,212.2120273451977,0.95375,93.54875,7.6650004,5,0,0,0,0,0
