municipality,date,source,near_match_flag
Balneário Barra do Sul,2017-08-26,legacy,False
Navegantes,2017-09-07,legacy,False
Balneário Barra do Sul,2017-09-09,legacy,False
Florianópolis,2017-09-13,legacy,False
Barra Velha,2017-09-13,legacy,False
Navegantes,2017-09-16,legacy,False
Balneário Barra do Sul,2017-09-18,legacy,False
Itapema,2017-09-30,legacy,False
Garopaba,2017-10-01,legacy,False
São Francisco do Sul,2017-10-07,legacy,False
Bombinhas,2017-12-10,legacy,False
São Francisco do Sul,2017-12-11,legacy,False
Araquari,2017-12-17,legacy,False
Porto Belo,2018-04-14,legacy,False
Itapoá,2018-05-21,legacy,False
Itapoá,2018-06-15,legacy,False
Balneário Barra do Sul,2018-07-07,legacy,False
Balneário Camboriú,2018-09-18,legacy,False
Itapoá,2018-09-19,legacy,False
Itapoá,2018-10-08,legacy,False
Balneário Barra do Sul,2018-12-03,legacy,False
Balneário Camboriú,2019-03-21,legacy,False
Barra Velha,2019-03-22,legacy,False
Balneário Barra do Sul,2019-03-27,legacy,False
Balneário Barra do Sul,2019-06-13,legacy,False
Itapoá,2019-07-21,legacy,False
Balneário Piçarras,2019-07-22,legacy,False
Balneário Barra do Sul,2019-07-29,legacy,False
Itapoá,2019-08-04,legacy,False
São Francisco do Sul,2019-08-15,legacy,False
Navegantes,2019-09-19,legacy,False
Balneário Camboriú,2020-03-03,legacy,False
Balneário Rincão,2020-04-03,legacy,False
Florianópolis,2020-04-04,legacy,True
Porto Belo,2020-04-04,legacy,False
Porto Belo,2020-04-08,legacy,False
Balneário Barra do Sul,2020-04-08,legacy,False
Balneário Rincão,2020-04-08,legacy,False
Itapoá,2020-04-09,legacy,False
Barra Velha,2020-04-12,legacy,False
Balneário Camboriú,2020-05-07,legacy,False
Bombinhas,2020-06-30,legacy,False
Balneário Barra do Sul,2020-06-30,legacy,False
