thr_hs_pct,thr_ssh_pct,H,M,U,R_pos,B,F_soft,Score
0.85,0.9,45,102,4145,0.3061,0.5779,3178.9734,-4.257033
0.9,0.5,53,94,6978,0.3605,0.9697,5291.0486,-7.176315
0.9,0.55,53,94,6627,0.3605,0.9213,5028.0493,-6.808811
0.9,0.6,52,95,6269,0.3537,0.8718,4758.7884,-6.436649
0.9,0.65,49,98,5928,0.3333,0.8243,4509.5953,-6.100367
0.9,0.7,46,101,5446,0.3129,0.7574,4142.7139,-5.600076
0.9,0.75,46,101,5009,0.3129,0.6972,3820.5983,-5.14977
0.9,0.8,42,105,4530,0.2857,0.6305,3462.9123,-4.666126
0.9,0.85,38,109,3928,0.2585,0.547,3015.8326,-4.057466
0.9,0.9,35,112,3069,0.2381,0.4281,2364.1803,-3.159332
