municipality,date,source,near_match_flag,source_expanded,source_legacy,source_class
São Francisco do Sul,2017-10-07,legacy,False,False,True,legacy_only
Bombinhas,2017-12-10,legacy,False,False,True,legacy_only
São Francisco do Sul,2017-12-11,legacy,False,False,True,legacy_only
Araquari,2017-12-17,legacy,False,False,True,legacy_only
Porto Belo,2018-04-14,legacy,False,False,True,legacy_only
Itapoá,2018-05-21,legacy,False,False,True,legacy_only
Itapoá,2018-06-15,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2018-07-07,legacy,False,False,True,legacy_only
Balneário Camboriú,2018-09-18,legacy,False,False,True,legacy_only
Itapoá,2018-09-19,legacy,False,False,True,legacy_only
Itapoá,2018-10-08,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2018-12-03,legacy,False,False,True,legacy_only
Balneário Camboriú,2019-03-21,legacy,False,False,True,legacy_only
Barra Velha,2019-03-22,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2019-03-27,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2019-06-13,legacy,False,False,True,legacy_only
Itapoá,2019-07-21,legacy,False,False,True,legacy_only
Balneário Piçarras,2019-07-22,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2019-07-29,legacy,False,False,True,legacy_only
Itapoá,2019-08-04,legacy,False,False,True,legacy_only
São Francisco do Sul,2019-08-15,legacy,False,False,True,legacy_only
Navegantes,2019-09-19,legacy,False,False,True,legacy_only
Balneário Camboriú,2020-03-03,legacy,False,False,True,legacy_only
Balneário Rincão,2020-04-03,legacy,False,False,True,legacy_only
Florianópolis,2020-04-04,legacy,True,False,True,legacy_only
Porto Belo,2020-04-04,legacy,False,False,True,legacy_only
Porto Belo,2020-04-08,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2020-04-08,legacy,False,False,True,legacy_only
Balneário Rincão,2020-04-08,legacy,False,False,True,legacy_only
Itapoá,2020-04-09,legacy,False,False,True,legacy_only
Barra Velha,2020-04-12,legacy,False,False,True,legacy_only
Balneário Camboriú,2020-05-07,legacy,False,False,True,legacy_only
Bombinhas,2020-06-30,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2020-06-30,legacy,False,False,True,legacy_only
