municipality_code,municipality_name,state,pop_municipality,dom_municipality,pop_1km,dom_1km,pop_2km,dom_2km,pop_5km,dom_5km,pop_10km,dom_10km
3304151,Quissamã,RJ,22189,8062,1482,549,1520,562,1763,656,7919,2874
3301009,Campos dos Goytacazes,RJ,483486,175874,7566,3038,8619,3456,9978,4027,12174,4935
3305000,São João da Barra,RJ,36489,14437,12542,4936,19107,7570,27655,10977,30827,12176
3304755,São Francisco de Itabapoana,RJ,44839,17216,6320,2383,13324,5060,20759,7894,32815,12632
3204302,Presidente Kennedy,ES,13883,5197,784,296,1269,454,2327,833,5686,2053
3203320,Marataízes,ES,41520,14825,30759,11225,35295,12716,39676,14191,41520,14825
3202405,Guarapari,ES,124017,46515,59803,23485,92118,35652,116184,43742,120091,44997
3205309,Vitória,ES,322636,128456,128430,52460,221060,90452,322636,128456,322636,128456
3202207,Fundão,ES,17898,6680,1637,629,6217,2321,6284,2342,6341,2366
3200607,Aracruz,ES,94786,32817,6929,2461,17159,6045,24940,8539,26952,9151
3203205,Linhares,ES,166694,58789,2041,759,4221,1514,5008,1767,5386,1884
3204906,São Mateus,ES,123809,45296,5401,2143,15615,5974,22373,8471,32354,12073
3201605,Conceição da Barra,ES,27366,9627,9842,3530,11241,4016,14332,5070,15252,5378
2922003,Mucuri,BA,37290,13152,6822,2509,9283,3379,9607,3481,10555,3806
2923001,Nova Viçosa,BA,39480,13701,8297,2896,9362,3259,9435,3286,9605,3348
2906907,Caravelas,BA,21619,7646,207,84,2145,776,4086,1447,10657,3778
2900801,Alcobaça,BA,24297,8508,6199,2236,9239,3251,11021,3873,12289,4324
2925501,Prado,BA,34522,11464,4410,1628,13539,4703,23577,7889,25237,8397
2925303,Porto Seguro,BA,167827,60435,2315,942,20027,8105,126322,46252,150434,54511
2927705,Santa Cruz Cabrália,BA,29244,10579,3320,1280,10567,3922,22045,8031,24723,8930
2903409,Belmonte,BA,20092,7258,1381,506,9394,3430,9615,3506,10104,3701
2906303,Canavieiras,BA,32663,12036,811,352,7489,2837,26237,9554,27990,10228
2932507,Una,BA,18049,6941,780,281,1470,551,2772,1037,11985,4562
2913606,Ilhéus,BA,178354,66588,90290,33968,142989,53254,151902,56681,162788,60653
2932705,Uruçuca,BA,21444,7894,1535,624,4172,1561,4951,1855,5022,1890
2920700,Maraú,BA,24460,8571,10467,3677,14433,5082,15991,5613,17327,6072
2905800,Camamu,BA,30603,10502,791,293,2098,763,10958,3817,21927,7409
2905404,Cairu,BA,17106,6316,12783,4797,17024,6290,17106,6316,17106,6316
2932903,Valença,BA,85560,32369,13326,4875,39836,14988,63206,24009,65916,25039
2917805,Jaguaripe,BA,17676,6423,3747,1406,5873,2197,7616,2831,8703,3221
2927408,Salvador,BA,2416356,959254,574767,230602,1125461,451543,2078448,829621,2403202,954477
2919207,Lauro de Freitas,BA,203236,75360,12810,4638,45904,16330,148489,55457,203189,75343
2905701,Camaçari,BA,300589,110168,6133,2373,27400,10212,109758,40341,114610,42092
2921005,Mata de São João,BA,42296,15266,752,263,4296,1559,16108,5751,17191,6147
