longitude,latitude,compound_event_count_total,compound_event_rate_per_year
-49.6,0.2,100,3.0303030303030303
-49.4,0.2,103,3.121212121212121
-49.2,0.2,103,3.121212121212121
-49.0,0.2,106,3.212121212121212
-48.8,0.2,99,3.0
-48.6,0.2,100,3.0303030303030303
-50.0,0.4,147,4.454545454545454
-49.8,0.4,104,3.1515151515151514
-49.6,0.4,97,2.9393939393939394
-49.4,0.4,94,2.8484848484848486
-49.2,0.4,97,2.9393939393939394
-29.4,0.4,69,2.090909090909091
-50.4,0.6,121,3.6666666666666665
-50.2,0.6,121,3.6666666666666665
-50.0,0.6,106,3.212121212121212
-49.8,0.6,99,3.0
-49.6,0.6,95,2.878787878787879
-49.4,0.6,92,2.787878787878788
-49.2,0.6,92,2.787878787878788
-29.8,0.6,71,2.1515151515151514
-29.6,0.6,72,2.1818181818181817
-29.4,0.6,70,2.121212121212121
-29.2,0.6,72,2.1818181818181817
-29.0,0.6,70,2.121212121212121
-50.2,0.8,118,3.5757575757575757
-50.0,0.8,115,3.484848484848485
-49.8,0.8,108,3.272727272727273
-49.6,0.8,99,3.0
-49.4,0.8,91,2.757575757575758
-29.8,0.8,68,2.0606060606060606
-29.6,0.8,70,2.121212121212121
-29.4,0.8,70,2.121212121212121
-29.2,0.8,68,2.0606060606060606
-29.0,0.8,67,2.0303030303030303
-50.0,1.0,117,3.5454545454545454
-49.8,1.0,97,2.9393939393939394
-49.6,1.0,92,2.787878787878788
-29.8,1.0,68,2.0606060606060606
-29.6,1.0,72,2.1818181818181817
-29.4,1.0,71,2.1515151515151514
-29.2,1.0,70,2.121212121212121
-29.0,1.0,69,2.090909090909091
-49.8,1.2,85,2.5757575757575757
-49.6,1.2,75,2.272727272727273
-29.6,1.2,71,2.1515151515151514
-29.4,1.2,71,2.1515151515151514
-29.2,1.2,68,2.0606060606060606
-49.8,1.4,66,2.0
-49.6,1.4,70,2.121212121212121
-49.8,1.6,56,1.696969696969697
-49.6,1.6,57,1.7272727272727273
-50.0,1.8,62,1.878787878787879
-49.8,1.8,66,2.0
-49.6,1.8,63,1.9090909090909092
-50.2,2.0,60,1.8181818181818181
-50.0,2.0,61,1.8484848484848484
-49.8,2.0,62,1.878787878787879
-49.6,2.0,64,1.9393939393939394
-50.6,2.2,64,1.9393939393939394
-50.4,2.2,61,1.8484848484848484
-50.2,2.2,61,1.8484848484848484
-50.0,2.2,58,1.7575757575757576
-50.6,2.4,65,1.9696969696969697
-50.4,2.4,61,1.8484848484848484
-50.2,2.4,64,1.9393939393939394
-50.8,2.6,65,1.9696969696969697
-50.6,2.6,65,1.9696969696969697
-50.4,2.6,62,1.878787878787879
-50.8,2.8,62,1.878787878787879
-50.6,2.8,60,1.8181818181818181
-50.8,3.0,60,1.8181818181818181
-50.6,3.0,59,1.7878787878787878
-50.8,3.2,62,1.878787878787879
-50.6,3.2,65,1.9696969696969697
-50.8,3.4,59,1.7878787878787878
-51.0,3.6,66,2.0
-50.8,3.6,63,1.9090909090909092
-51.0,3.8,66,2.0
-50.8,3.8,68,2.0606060606060606
-51.0,4.0,70,2.121212121212121
-50.8,4.0,65,1.9696969696969697
-51.2,4.2,75,2.272727272727273
-51.0,4.2,70,2.121212121212121
-50.8,4.2,60,1.8181818181818181
-51.6,4.4,73,2.212121212121212
-51.4,4.4,69,2.090909090909091
-51.2,4.4,72,2.1818181818181817
-51.0,4.4,68,2.0606060606060606
-51.6,4.6,62,1.878787878787879
-51.4,4.6,65,1.9696969696969697
-51.2,4.6,63,1.9090909090909092
-51.0,4.6,58,1.7575757575757576
-52.0,4.8,69,2.090909090909091
-51.8,4.8,64,1.9393939393939394
-51.6,4.8,63,1.9090909090909092
-51.4,4.8,62,1.878787878787879
-52.2,5.0,71,2.1515151515151514
-52.0,5.0,66,2.0
-51.8,5.0,62,1.878787878787879
-51.6,5.0,62,1.878787878787879
-52.6,5.2,73,2.212121212121212
-52.4,5.2,66,2.0
-52.2,5.2,61,1.8484848484848484
-52.0,5.2,61,1.8484848484848484
-52.6,5.4,68,2.0606060606060606
-52.4,5.4,64,1.9393939393939394
-53.4,5.6,73,2.212121212121212
-53.2,5.6,68,2.0606060606060606
-53.0,5.6,66,2.0
-52.8,5.6,68,2.0606060606060606
-52.6,5.6,65,1.9696969696969697
-53.6,5.8,67,2.0303030303030303
-53.4,5.8,69,2.090909090909091
-53.2,5.8,64,1.9393939393939394
-53.0,5.8,66,2.0
-52.8,5.8,68,2.0606060606060606
-54.2,6.0,58,1.7575757575757576
-54.0,6.0,59,1.7878787878787878
-53.8,6.0,63,1.9090909090909092
-53.6,6.0,62,1.878787878787879
-53.4,6.0,60,1.8181818181818181
-53.2,6.0,62,1.878787878787879
