grid_lat,grid_lon,municipality,hs_valid_frac,ssh_valid_frac,dist_to_coast_km,thr_hs_pct,thr_hs_abs,thr_ssh_total_pct,thr_ssh_total_abs,n_hs_storms,n_ssh_total_storms,skip_reason_hs,skip_reason_ssh
-28.600000381469727,-48.399993896484375,,1.0,1.0,35.76,0.9,2.95,0.9,0.461786,553,534,,
-28.399999618530273,-48.600006103515625,,1.0,1.0,11.45,0.9,2.34,0.9,0.504572,550,550,,
-28.399999618530273,-48.399993896484375,,1.0,1.0,29.83,0.9,2.81,0.9,0.480016,556,563,,
-28.399999618530273,-48.20001220703125,,1.0,1.0,46.8,0.9,2.98,0.9,0.466885,558,516,,
-28.200000762939453,-48.600006103515625,Imbituba,1.0,1.0,4.86,0.9,2.14,0.9,0.5274,566,567,,
-28.200000762939453,-48.399993896484375,,1.0,1.0,23.42,0.9,2.58,0.9,0.499477,568,574,,
-28.200000762939453,-48.20001220703125,,1.0,1.0,42.86,0.9,2.87,0.9,0.483843,564,548,,
-28.0,-48.399993896484375,,1.0,1.0,19.98,0.9,2.46,0.9,0.520857,560,566,,
-28.0,-48.20001220703125,,1.0,1.0,37.65,0.9,2.78,0.9,0.502951,567,575,,
-27.799999237060547,-48.399993896484375,,1.0,1.0,8.93,0.9,2.23,0.9,0.544138,563,560,,
-27.799999237060547,-48.20001220703125,,1.0,1.0,28.09,0.9,2.64,0.9,0.523793,578,572,,
-27.799999237060547,-48.0,,1.0,1.0,46.66,0.9,2.86,0.9,0.509357,564,533,,
-27.600000381469727,-48.399993896484375,Palhoça,1.0,1.0,1.53,0.9,1.9,0.9,0.572124,560,564,,
-27.600000381469727,-48.20001220703125,,1.0,1.0,20.49,0.9,2.55,0.9,0.551046,569,577,,
-27.600000381469727,-48.0,,1.0,1.0,40.09,0.9,2.81,0.9,0.531471,572,540,,
-27.399999618530273,-48.399993896484375,Biguaçu,1.0,1.0,0.86,0.9,1.5,0.9,0.627894,602,552,,
-27.399999618530273,-48.20001220703125,,1.0,1.0,18.12,0.9,2.5,0.9,0.587243,576,570,,
-27.399999618530273,-48.0,,1.0,1.0,37.54,0.9,2.77,0.9,0.558743,583,546,,
-27.200000762939453,-48.399993896484375,Tijucas,1.0,1.0,8.53,0.9,1.64,0.9,0.663706,597,566,,
-27.200000762939453,-48.20001220703125,,1.0,1.0,27.61,0.9,2.29,0.9,0.627804,580,564,,
-27.200000762939453,-48.0,,1.0,1.0,45.49,0.9,2.68,0.9,0.59299,581,531,,
-27.0,-48.399993896484375,Navegantes,1.0,1.0,17.31,0.9,1.82,0.9,0.701233,543,551,,
-27.0,-48.20001220703125,,1.0,1.0,32.07,0.9,2.33,0.9,0.668202,584,547,,
-27.0,-48.0,,1.0,1.0,49.82,0.9,2.63,0.9,0.629571,593,530,,
-26.799999237060547,-48.399993896484375,,1.0,1.0,17.68,0.9,1.93,0.9,0.738105,568,551,,
-26.799999237060547,-48.20001220703125,,1.0,1.0,37.23,0.9,2.32,0.9,0.708005,580,537,,
-26.600000381469727,-48.600006103515625,Penha,1.0,1.0,7.44,0.9,1.69,0.9,0.804596,565,568,,
-26.600000381469727,-48.399993896484375,,1.0,1.0,25.82,0.9,1.94,0.9,0.777364,570,545,,
-26.600000381469727,-48.20001220703125,,1.0,1.0,41.92,0.9,2.29,0.9,0.746706,588,527,,
-26.399999618530273,-48.399993896484375,,1.0,1.0,15.49,0.9,1.63,0.9,0.822534,598,546,,
-26.399999618530273,-48.20001220703125,,1.0,1.0,33.6,0.9,2.24,0.9,0.790578,573,526,,
-26.200000762939453,-48.399993896484375,São Francisco do Sul,1.0,1.0,9.38,0.9,1.34,0.9,0.887295,592,543,,
-26.200000762939453,-48.20001220703125,,1.0,1.0,28.68,0.9,2.0,0.9,0.839095,590,530,,
-26.200000762939453,-48.0,,1.0,1.0,48.24,0.9,2.4,0.9,0.797728,589,518,,
-26.0,-48.399993896484375,,1.0,1.0,18.06,0.9,1.26,0.9,0.946672,609,541,,
-26.0,-48.20001220703125,,1.0,1.0,36.89,0.9,1.85,0.9,0.894102,595,534,,
