grid_lat,grid_lon,municipality,event_id,date_start,date_end,duration_days,peak_value,peak_date,integrated_intensity
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19971101,1997-11-01,1997-11-01,1,2.54,1997-11-01,0.192
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19971105,1997-11-05,1997-11-06,2,2.63,1997-11-06,0.444
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19971213,1997-12-13,1997-12-14,2,2.37,1997-12-13,0.024
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980102,1998-01-02,1998-01-03,2,2.57,1998-01-03,0.374
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980119,1998-01-19,1998-01-19,1,2.6,1998-01-19,0.252
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980311,1998-03-11,1998-03-14,4,2.97,1998-03-14,1.278
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980318,1998-03-18,1998-03-19,2,3.11,1998-03-18,1.334
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980325,1998-03-25,1998-03-27,3,2.69,1998-03-27,0.816
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980407,1998-04-07,1998-04-07,1,2.71,1998-04-07,0.362
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980425,1998-04-25,1998-04-28,4,3.05,1998-04-26,1.648
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980514,1998-05-14,1998-05-18,5,3.44,1998-05-17,2.77
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980611,1998-06-11,1998-06-12,2,3.59,1998-06-11,1.814
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980616,1998-06-16,1998-06-16,1,2.4,1998-06-16,0.052
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980724,1998-07-24,1998-07-25,2,2.57,1998-07-25,0.394
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980810,1998-08-10,1998-08-11,2,2.43,1998-08-10,0.094
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980823,1998-08-23,1998-08-23,1,2.81,1998-08-23,0.462
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980827,1998-08-27,1998-08-28,2,2.59,1998-08-28,0.424
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980919,1998-09-19,1998-09-20,2,3.31,1998-09-20,1.914
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19980923,1998-09-23,1998-09-27,4,2.95,1998-09-23,1.578
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19981026,1998-10-26,1998-10-26,1,2.42,1998-10-26,0.072
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19981118,1998-11-18,1998-11-18,1,3.21,1998-11-18,0.862
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19981218,1998-12-18,1998-12-19,2,2.72,1998-12-18,0.724
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990108,1999-01-08,1999-01-08,1,2.37,1999-01-08,0.022
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990202,1999-02-02,1999-02-03,2,2.52,1999-02-02,0.314
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990328,1999-03-28,1999-03-28,1,2.53,1999-03-28,0.182
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990403,1999-04-03,1999-04-04,2,2.57,1999-04-03,0.364
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990417,1999-04-17,1999-04-19,3,3.23,1999-04-18,1.786
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990520,1999-05-20,1999-05-22,3,3.72,1999-05-20,3.006
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990530,1999-05-30,1999-06-01,3,3.63,1999-05-30,3.116
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990604,1999-06-04,1999-06-04,1,2.36,1999-06-04,0.012
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990609,1999-06-09,1999-06-10,2,2.75,1999-06-09,0.674
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990630,1999-06-30,1999-07-01,2,2.9,1999-07-01,0.954
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990814,1999-08-14,1999-08-15,2,3.29,1999-08-15,1.594
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19990923,1999-09-23,1999-09-26,4,3.28,1999-09-25,1.658
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19991002,1999-10-02,1999-10-03,2,2.56,1999-10-03,0.254
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19991007,1999-10-07,1999-10-10,4,2.85,1999-10-08,0.988
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19991027,1999-10-27,1999-10-28,2,2.5,1999-10-27,0.244
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19991101,1999-11-01,1999-11-05,4,2.69,1999-11-02,0.558
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19991202,1999-12-02,1999-12-03,2,2.51,1999-12-02,0.224
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000103,2000-01-03,2000-01-04,2,2.5,2000-01-04,0.294
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000126,2000-01-26,2000-01-28,2,2.52,2000-01-26,0.174
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000201,2000-02-01,2000-02-02,2,2.69,2000-02-01,0.414
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000214,2000-02-14,2000-02-17,4,2.8,2000-02-15,0.998
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000516,2000-05-16,2000-05-19,4,3.12,2000-05-18,1.538
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000528,2000-05-28,2000-05-30,3,2.98,2000-05-28,1.286
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000713,2000-07-13,2000-07-17,4,2.93,2000-07-16,1.348
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000913,2000-09-13,2000-09-19,6,3.27,2000-09-14,3.672
