grid_lat,grid_lon,municipality,thr_hs_abs,thr_ssh_total_abs,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_peak_lag_days,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_compound_intensity_norm_abspeak,p95_compound_intensity_norm_abspeak,max_compound_intensity_norm_abspeak
-29.4,-49.6,Passo de Torres,2.348,0.526944,192,5.82,1.56,3.0,6,-0.01,0.367,0.77,0.9401,0.3227,0.4654,0.5681
-29.4,-49.4,,2.66,0.490445,231,7.0,1.63,3.0,7,-0.09,0.3688,0.7539,0.974,0.3834,0.528,0.5777
-29.4,-49.2,,2.86,0.463402,242,7.33,1.67,3.0,7,-0.21,0.3767,0.7572,1.0,0.4217,0.526,0.5781
-29.2,-49.4,Balneário Gaivota,2.47,0.51803,227,6.88,1.62,3.0,7,-0.04,0.3602,0.7797,0.9474,0.3445,0.5025,0.5675
-29.2,-49.2,,2.7,0.48393,248,7.52,1.68,3.65,7,-0.09,0.3735,0.7421,0.9853,0.3943,0.5265,0.5922
-29.2,-49.0,,2.9,0.459714,243,7.36,1.67,3.0,7,-0.21,0.3819,0.7536,1.0,0.4308,0.5272,0.5752
-29.0,-49.4,Balneário Arroio do Silva,2.12,0.54999,203,6.15,1.5,3.0,6,0.01,0.3433,0.7105,0.955,0.2749,0.4371,0.5582
-29.0,-49.2,Içara/Balneário Rincão,2.48,0.508942,254,7.7,1.67,3.0,7,-0.02,0.3616,0.744,0.955,0.3479,0.5108,0.567
-29.0,-49.0,,2.72,0.477205,251,7.61,1.72,3.5,7,-0.12,0.3855,0.7409,1.0,0.4026,0.5246,0.5893
-29.0,-48.8,,2.92,0.458207,242,7.33,1.71,3.0,7,-0.16,0.3777,0.7452,1.0,0.4342,0.5252,0.5706
-29.0,-48.6,,3.06,0.447448,217,6.58,1.69,3.0,7,-0.03,0.377,0.7049,0.9093,0.4532,0.515,0.5469
-28.8,-49.0,,2.468,0.51014,268,8.12,1.68,3.0,7,0.01,0.37,0.7677,0.9646,0.3498,0.517,0.5688
-28.8,-48.8,,2.74,0.477725,258,7.82,1.71,3.15,7,-0.17,0.3912,0.7573,1.0,0.4098,0.528,0.5876
-28.8,-48.6,,2.96,0.459467,243,7.36,1.68,3.0,7,-0.11,0.3836,0.7304,0.9981,0.4433,0.5241,0.5641
-28.8,-48.4,,3.08,0.449542,206,6.24,1.67,3.0,7,-0.04,0.3771,0.699,0.8548,0.4577,0.5133,0.5383
-28.6,-48.8,Laguna,2.45,0.516035,277,8.39,1.7,4.0,7,-0.06,0.3812,0.7974,0.989,0.3517,0.5251,0.5704
-28.6,-48.6,,2.71,0.480004,255,7.73,1.71,3.3,7,-0.16,0.3712,0.7361,0.9784,0.3997,0.5239,0.5807
-28.6,-48.4,,2.95,0.461786,221,6.7,1.67,3.0,7,-0.05,0.3795,0.7024,0.9328,0.442,0.5202,0.5537
-28.4,-48.6,,2.34,0.504572,248,7.52,1.6,3.0,7,-0.07,0.3339,0.7204,0.9302,0.3142,0.4795,0.5455
-28.4,-48.4,,2.81,0.480016,241,7.3,1.63,3.0,7,-0.11,0.3623,0.71,0.9485,0.4162,0.5248,0.5692
-28.2,-48.6,Imbituba,2.14,0.5274,211,6.39,1.44,3.0,7,-0.13,0.3192,0.6526,0.8578,0.2686,0.4039,0.5509
-28.2,-48.4,,2.58,0.499477,245,7.43,1.58,3.0,7,-0.16,0.341,0.6957,0.9221,0.3673,0.519,0.5596
-28.2,-48.2,,2.87,0.483843,220,6.67,1.63,3.0,7,-0.08,0.3632,0.6878,0.8794,0.4306,0.5209,0.5573
-28.0,-48.4,,2.46,0.520857,243,7.36,1.51,3.0,7,-0.14,0.325,0.7162,0.9522,0.3374,0.4957,0.5689
-28.0,-48.2,,2.78,0.502951,229,6.94,1.58,3.0,7,-0.11,0.3561,0.7119,0.9102,0.414,0.5266,0.5583
-27.8,-48.4,,2.23,0.544138,220,6.67,1.42,3.0,7,-0.18,0.3091,0.657,0.8873,0.2899,0.4161,0.5506
-27.8,-48.2,,2.64,0.523793,231,7.0,1.55,3.0,7,-0.18,0.3395,0.7143,0.9393,0.3838,0.5215,0.5674
-27.6,-48.4,Palhoça,1.9,0.572124,194,5.88,1.37,2.0,7,-0.18,0.2928,0.5992,0.8337,0.2218,0.3346,0.4893
-27.6,-48.2,,2.55,0.551046,220,6.67,1.49,3.0,7,-0.19,0.3288,0.677,0.9624,0.3658,0.5113,0.5767
-27.6,-48.0,,2.81,0.531472,206,6.24,1.57,3.0,7,-0.18,0.3422,0.6762,0.9142,0.4179,0.5265,0.5647
-27.4,-48.4,Biguaçu,1.5,0.627894,163,4.94,1.31,2.0,5,-0.29,0.2528,0.5268,0.6784,0.1414,0.2301,0.3388
-27.4,-48.2,,2.5,0.587243,197,5.97,1.48,3.0,7,-0.21,0.3237,0.6409,0.9049,0.3597,0.5135,0.549
-27.4,-48.0,,2.77,0.558743,210,6.36,1.53,3.0,7,-0.09,0.3326,0.6634,0.9277,0.4104,0.5284,0.5725
-27.2,-48.4,Tijucas,1.64,0.663706,149,4.52,1.28,2.0,4,-0.29,0.2611,0.5214,0.6879,0.1783,0.267,0.4285
-27.2,-48.2,,2.29,0.627804,181,5.49,1.41,3.0,6,-0.25,0.2967,0.592,0.7625,0.3164,0.4447,0.5546
-27.2,-48.0,,2.68,0.59299,201,6.09,1.48,3.0,7,-0.1,0.3254,0.6472,0.9331,0.3986,0.5307,0.5803
-27.0,-48.4,Navegantes,1.82,0.701233,122,3.7,1.27,2.0,4,-0.25,0.2656,0.5163,0.7107,0.226,0.3296,0.5152
-27.0,-48.2,,2.33,0.668202,172,5.21,1.43,3.0,6,-0.2,0.311,0.6521,0.7936,0.337,0.4714,0.5511
-26.8,-48.4,,1.93,0.738105,148,4.49,1.33,2.0,4,-0.2,0.275,0.5623,0.7765,0.2575,0.3788,0.5474
-26.8,-48.2,,2.32,0.708005,182,5.52,1.42,2.95,6,-0.25,0.3037,0.6438,0.8059,0.3396,0.4876,0.5457
-26.6,-48.6,Penha,1.69,0.804596,140,4.24,1.26,2.0,4,-0.27,0.2731,0.5386,0.7333,0.2227,0.317,0.5495
-26.6,-48.4,,1.94,0.777364,161,4.88,1.33,2.0,5,-0.07,0.287,0.5662,0.7954,0.2722,0.3947,0.5571
-26.6,-48.2,,2.29,0.746706,176,5.33,1.45,3.0,6,-0.18,0.3108,0.6441,0.8175,0.3427,0.4946,0.5518
-26.4,-48.4,,1.63,0.822534,166,5.03,1.38,2.0,5,-0.16,0.283,0.5599,0.7582,0.2187,0.3251,0.5191
-26.4,-48.2,,2.24,0.790578,178,5.39,1.4,2.0,5,-0.07,0.3182,0.6379,0.8256,0.3452,0.4888,0.5575
-26.2,-48.4,São Francisco do Sul,1.34,0.887295,160,4.85,1.32,2.0,5,-0.27,0.2786,0.5551,0.6985,0.1725,0.2644,0.4179
-26.2,-48.2,,2.0,0.839095,185,5.61,1.36,2.0,5,-0.04,0.3208,0.6216,0.7929,0.3073,0.434,0.5723
-26.0,-48.4,,1.26,0.946672,152,4.61,1.3,2.0,5,-0.19,0.2803,0.5788,0.7059,0.1693,0.2673,0.3775
-26.0,-48.2,,1.85,0.894102,177,5.36,1.37,3.0,5,-0.12,0.3153,0.606,0.7514,0.2851,0.3867,0.5899
-25.8,-48.2,,1.8,0.946518,187,5.67,1.32,2.0,4,-0.14,0.3195,0.5948,0.7417,0.2852,0.3908,0.6091
-25.8,-48.0,,2.15,0.889751,199,6.03,1.42,3.0,6,-0.16,0.3469,0.6582,0.825,0.3538,0.4825,0.59
-25.6,-48.4,,1.33,1.042799,186,5.64,1.36,2.0,4,-0.16,0.3076,0.5841,0.7761,0.206,0.2972,0.5021
-25.6,-48.2,,1.67,0.990614,194,5.88,1.36,2.0,4,-0.19,0.3253,0.6043,0.7507,0.2691,0.3754,0.6302
-25.6,-48.0,,2.06,0.931026,196,5.94,1.43,3.0,4,-0.06,0.346,0.6579,0.8641,0.3446,0.4699,0.6079
-25.6,-47.8,,2.27,0.878688,203,6.15,1.43,3.0,6,-0.17,0.3637,0.7127,0.8676,0.3825,0.5279,0.6158
-25.4,-48.0,,1.89,0.960932,204,6.18,1.43,3.0,5,-0.07,0.3456,0.6574,0.8531,0.3146,0.4341,0.6231
-25.4,-47.8,,2.06,0.915769,203,6.15,1.43,3.0,5,-0.13,0.3564,0.6935,0.868,0.3421,0.4686,0.6058
-25.4,-47.6,,2.31,0.86519,204,6.18,1.45,3.0,5,-0.14,0.3694,0.72,0.8852,0.3897,0.5429,0.6173
-25.2,-47.8,,1.85,0.946431,204,6.18,1.44,3.0,5,-0.08,0.3482,0.6744,0.8513,0.3025,0.4183,0.5897
-25.2,-47.6,,2.18,0.90061,205,6.21,1.45,3.0,5,-0.07,0.37,0.7149,0.8713,0.3688,0.5228,0.6044
-25.0,-47.8,,1.29,0.962728,197,5.97,1.4,3.0,4,-0.11,0.3078,0.6007,0.7272,0.1823,0.2778,0.3544
-25.0,-47.6,,2.04,0.926354,212,6.42,1.46,3.0,5,-0.1,0.3576,0.7075,0.8887,0.3412,0.4824,0.6181
-25.0,-47.4,,2.2,0.880617,217,6.58,1.48,3.0,5,-0.13,0.3649,0.7222,0.8934,0.3677,0.5282,0.603
